detail_id,event_id,event_name,category,order,time,heading_label,value,content,source,source_link,submission_id,added_by,reviewed_by
DET-001,hist001,Deir Yassin,casualty,1,,Deaths (scholarly consensus),≈107,"Includes women, children, elderly; some sources cite up to 250","Morris, Benny. 'The Birth of the Palestinian Refugee Problem Revisited' (2004)",https://www.cambridge.org/core/books/birth-of-the-palestinian-refugee-problem-revisited/4A0958EED322D2FAC1D245128A1D44CB,,,
DET-002,hist001,Deir Yassin,casualty,2,,Injured,Dozens,"Gunshot, blast trauma; systematic medical records not preserved",,,,,
DET-003,hist001,Deir Yassin,casualty,3,,Displaced,≈710,Entire village population; not reconstituted,Zochrot - Dayr Yasin Village File,https://www.zochrot.org/villages/village_details/49106/en,,,
DET-004,hist001,Deir Yassin,historical_impact,1,,Immediate Impact,,"Symbolic turning point in 1948 war; widely publicized, fueling panic and flight in surrounding areas",,,,,
DET-005,hist001,Deir Yassin,historical_impact,1,,Long-term Significance,,Central symbol in Palestinian collective memory of the Nakba; commemorated annually April 9,,,,,
DET-006,hist001,Deir Yassin,historical_impact,1,,Accountability,,✘ No perpetrators prosecuted under any legal framework,,,,,
DET-007,hist001,Deir Yassin,historical_impact,2,,Immediate Impact,,"≈250,000 Palestinians fled homes in following weeks (1/3 of total Nakba refugees)",,,,,
DET-008,hist001,Deir Yassin,historical_impact,2,,Long-term Significance,,Subject of ongoing historiographical debate (New Historians vs. traditional narratives),,,,,
DET-009,hist001,Deir Yassin,historical_impact,2,,Accountability,,✘ Menachem Begin (Irgun commander) became Israeli PM (1977–1983); Nobel Peace Prize (1978),,,,,
DET-010,hist001,Deir Yassin,historical_impact,3,,Immediate Impact,,"70,000 Palestinians fled Haifa citing Deir Yassin as reason",,,,,
DET-011,hist001,Deir Yassin,historical_impact,3,,Long-term Significance,,Relevant to contemporary discussions of Palestinian right of return,,,,,
DET-012,hist001,Deir Yassin,historical_impact,3,,Accountability,,"✘ Yitzhak Shamir (Lehi leader) became Israeli PM (1983–1984, 1986–1992)",,,,,
