detail_id,_anchor,event_id,heading_label_ar,content_ar
DET-001,DET-001,hist001,الوفيات (إجماع علمي),يشمل ذلك النساء والأطفال وكبار السن؛ وتشير بعض المصادر إلى ما يصل إلى 250
DET-002,DET-002,hist001,مصاب,إصابات ناجمة عن طلقات نارية وانفجارات؛ لم يتم حفظ السجلات الطبية المنهجية.
DET-003,DET-003,hist001,#ERROR!,جميع سكان القرية؛ لم يتم إعادة تشكيلهم
DET-004,DET-004,hist001,#ERROR!,نقطة تحول رمزية في حرب 1948؛ تم الترويج لها على نطاق واسع، مما أدى إلى تأجيج الذعر والفرار في المناطق المحيطة.
DET-005,DET-005,hist001,الأهمية على المدى الطويل,رمز مركزي في الذاكرة الجماعية الفلسطينية للنكبة؛ يتم إحياء ذكراها سنوياً في 9 أبريل
DET-006,DET-006,hist001,#ERROR!,✘ لم تتم مقاضاة أي من الجناة بموجب أي إطار قانوني
DET-007,DET-007,hist001,#ERROR!,نزح حوالي 250 ألف فلسطيني من منازلهم في الأسابيع التالية (ثلث إجمالي لاجئي النكبة).
DET-008,DET-008,hist001,الأهمية على المدى الطويل,موضوع نقاش تاريخي مستمر (المؤرخون الجدد مقابل الروايات التقليدية)
DET-009,DET-009,hist001,#ERROR!,✘ أصبح مناحيم بيغن (قائد منظمة الإرجون) رئيس وزراء إسرائيل (1977-1983)؛ وحصل على جائزة نوبل للسلام (1978).
DET-010,DET-010,hist001,#ERROR!,#ERROR!
DET-011,DET-011,hist001,الأهمية على المدى الطويل,ذات صلة بالمناقشات المعاصرة حول حق العودة الفلسطيني
DET-012,DET-012,hist001,#ERROR!,#ERROR!
DET-013,DET-013,hist001,#ERROR!,#ERROR!
DET-014,DET-014,hist001,#ERROR!,#ERROR!
DET-015,DET-015,hist001,القانون الساري في أبريل 1948,اتفاقية لاهاي الرابعة (1907): أصبحت عرفية بحلول عام 1948. المادة 23 (ج): قتل الأعداء الذين ألقوا السلاح؛ المادة 25: الهجوم على الأماكن غير المحصنة؛ المادة 28: النهب؛ المادة 46: حماية شرف العائلة والأرواح والممتلكات.
DET-016,DET-016,hist001,#ERROR!,#ERROR!
DET-017,DET-017,hist001,إمكانية معارضة المعاهدة,#ERROR!
DET-018,DET-018,hist001,القانون الساري في أبريل 1948,#ERROR!
DET-019,DET-019,hist001,#ERROR!,#ERROR!
DET-020,DET-020,hist001,إمكانية معارضة المعاهدة,القانون الدولي الإنساني العرفي: اتفاقية لاهاي لعام 1907 + بند مارتنز يلزم جميع الأطراف في عام 1948 بغض النظر عن التصديق.
