detail_id,_anchor,event_id,heading_label_de,content_de
DET-001,DET-001,hist001,Todesfälle (wissenschaftlicher Konsens),"Beinhaltet Frauen, Kinder und ältere Menschen; einige Quellen nennen bis zu 250."
DET-002,DET-002,hist001,Verletzt,"Schuss-, Explosionstrauma; systematische medizinische Aufzeichnungen nicht erhalten"
DET-003,DET-003,hist001,Verdrängt,Gesamte Dorfbevölkerung; nicht wiederhergestellt
DET-011,DET-004,hist001,Unmittelbare Auswirkungen,"Symbolischer Wendepunkt im Krieg von 1948; breite mediale Aufmerksamkeit, die Panik und Flucht in den umliegenden Gebieten auslöste."
DET-012,DET-005,hist001,Langfristige Bedeutung,Zentrales Symbol im kollektiven Gedächtnis der Palästinenser an die Nakba; jährlich begangen am 9. April
DET-013,DET-006,hist001,Rechenschaftspflicht,✘ Es wurden keine Täter nach irgendeinem Rechtsrahmen strafrechtlich verfolgt.
DET-014,DET-007,hist001,Unmittelbare Auswirkungen,In den darauffolgenden Wochen flohen rund 250.000 Palästinenser aus ihren Häusern (ein Drittel aller Nakba-Flüchtlinge).
DET-015,DET-008,hist001,Langfristige Bedeutung,Gegenstand einer anhaltenden historiographischen Debatte (Neue Historiker vs. traditionelle Geschichtsschreibung)
DET-016,DET-009,hist001,Rechenschaftspflicht,✘ Menachem Begin (Kommandant der Irgun) wurde israelischer Premierminister (1977–1983); Friedensnobelpreis (1978)
DET-017,DET-010,hist001,Unmittelbare Auswirkungen,70.000 Palästinenser flohen aus Haifa und gaben Deir Yassin als Grund an.
DET-018,DET-011,hist001,Langfristige Bedeutung,Relevant für die aktuellen Diskussionen über das palästinensische Rückkehrrecht
DET-019,DET-012,hist001,Rechenschaftspflicht,"✘ Jitzchak Schamir (Lehi-Führer) wurde israelischer Premierminister (1983–1984, 1986–1992)"
DET-020,DET-013,hist001,Unmittelbare Auswirkungen,Vollständige Entvölkerung von Deir Yassin; Eingliederung der Gebiete in Westjerusalem
DET-021,DET-014,hist001,Rechenschaftspflicht,✘ Das Dorfgelände wurde nie wiederhergestellt; die psychiatrische Klinik Kfar Shaul wurde 1951 auf Dorfland errichtet.
DET-022,DET-015,hist001,Im April 1948 geltendes Recht,"Viertes Haager Übereinkommen (1907): Seit 1948 üblich. Art. 23(c): Tötung von Feinden, die die Waffen niederlegen; Art. 25: Angriff auf unverteidigte Orte; Art. 28: Plünderung; Art. 46: Schutz der Familienehre, des Lebens und des Eigentums."
DET-023,DET-016,hist001,Kontext nach 1949 (Beschreibend),Viertes Genfer Abkommen (1949): Verabschiedet am 12. August 1949 (16 Monate nach Deir Yassin). Israel ratifizierte es am 6. Juli 1951; Jordanien am 29. Mai 1951. Nicht rückwirkend anwendbar auf die Ereignisse vom April 1948.
DET-024,DET-017,hist001,Vertragsanfechtbarkeit,Grundsatz des Wiener Übereinkommens: Verträge haben keine Rückwirkungswirkung (Art. 28). Das Genfer Übereinkommen IV kann nicht auf Ereignisse vor seiner Annahme angewendet werden.
DET-025,DET-018,hist001,Im April 1948 geltendes Recht,"Martens-Klausel (1899/1907): Humanitäre Prinzipien sind auch dann verbindlich, wenn sie nicht explizit kodifiziert sind."
DET-026,DET-019,hist001,Kontext nach 1949 (Beschreibend),Römisches Statut (1998): Moderner Rahmen zur Charakterisierung von Handlungen als Verbrechen gegen die Menschlichkeit und Kriegsverbrechen. Wird deskriptiv verwendet; keine rückwirkende Anwendung.
