id,event_name,event_type,date_start,date_end,date_context,deaths,injured,forced_displacement,location_lat,location_lng,location_historical,location_current,perpetrators,classification,last_updated,author,summary_para_1,summary_para_2,summary_para_3,hero_1_label,hero_1_value,hero_2_label,hero_2_value,hero_3_label,hero_3_value,hero_4_label,hero_4_value
hist001,Deir Yassin,Massacre,1948-04-09 00:00:00,1948-04-09,Under British Mandate,≈107–250,Dozens (not systematically recorded),≈710,31.7857,35.1547,"Deir Yassin (Dayr Yasin), Jerusalem, British Mandate of Palestine","Givat Shaul neighborhood, West Jerusalem, Israel, Village demolished; site integrated into Israeli neighborhoods",Irgun (Etzel); Lehi (Stern Gang); Haganah/Palmach (support),War Crime (1907 Hague); Crimes Against Humanity (modern),2025-10-12 00:00:00,aliattia02,"The Deir Yassin massacre occurred during intense fighting around Jerusalem in early April 1948 (Operation Nachshon context). The village had previously concluded a local non-aggression understanding with nearby Jewish communities; nonetheless, Irgun and Lehi launched a multi-axis assault at dawn. Haganah/Palmach elements later provided support.","Killings of civilians—including women, children and elderly—were documented by Israeli and international witnesses; surviving captives were paraded in Jerusalem and later released. Death estimates vary; most research centers near ≈107, with higher claims (≈200–250) appearing in contemporary accounts.",The entire village population (≈710 in 1948) was displaced; Deir Yassin's lands were later absorbed into West Jerusalem neighborhoods. No perpetrators were prosecuted; Irgun commander Menachem Begin later became Prime Minister (1977–1983).,Date,"April 9, 1948",Historical Location,"Deir Yassin, west of Jerusalem",Deaths,≈107–250,Displaced,≈710
hist002,Tantura ,Massacre,1948-05-22 00:00:00,1948-05-23,"1948 Arab-Israeli War, coastal operations",≈200-250,Unknown (most male captives were killed),"≈1,500",32.5167,34.9167,"Tantura (Al-Tantura), British Mandate of Palestine, Haifa District","Dor Beach area, Haifa District, Israel; Kibbutz Nahsholim built on village ruins; Dor Beach parking lot over mass grave; Village demolished; mass graves undisturbed",Alexandroni Brigade (Haganah/IDF),War Crime (1907 Hague); Crimes Against Humanity (modern),2025-10-12 00:00:00,aliattia02,"On May 22-23, 1948, the Alexandroni Brigade of the Haganah (which became the IDF) attacked the Palestinian coastal village of Tantura. The village had a population of approximately 1,500 and was known for its fishing industry. Despite attempts at surrender and raising white flags, Israeli forces conducted house-to-house searches, separated men from women and children, and executed male villagers.","An estimated 200-250 Palestinian men were systematically executed after the village surrendered. Bodies were buried in multiple mass graves, including one beneath what is now the parking lot of Dor Beach. The massacre remained largely unknown until 1998 when Israeli graduate student Teddy Katz documented it through interviews with both Palestinian survivors and Israeli soldiers who participated.","Despite initial confirmation by veterans, Katz faced a libel lawsuit and was forced under pressure to sign an 'apology' (later withdrawn). Israeli authorities have consistently refused to excavate the mass graves or conduct official investigations. No perpetrators were prosecuted. The village was demolished and Kibbutz Nahsholim was built on its ruins.",Date,"May 22-23, 1948",Historical Location,"Tantura Village, Mediterranean Coast",Deaths,≈200-250,Displaced,"≈1,500"
hist003,Lydda and Ramle,"Massacre, Forced Expulsion, Death March",1948-07-09 00:00:00,1948-07-13,"Operation Dani, 1948 Arab-Israeli War","≈400–1,000",Unknown (not systematically recorded),"≈50,000–70,000",31.951,34.8881,"Lydda (Al-Lydd) and Ramle (Al-Ramla), British Mandate of Palestine (under Israeli occupation from July 11-12, 1948)","Lod and Ramla, Central District, Israel; Cities renamed and repopulated; small Palestinian minority remains",IDF Yiftach Brigade (11th Brigade); IDF 8th Armored Brigade; Operation Dani command structure,War Crime; Crimes Against Humanity; Ethnic Cleansing (Nakba),2025-10-12 00:00:00,Yassin,"On July 9–13, 1948, during Operation Dani under the command of Yigal Allon (with Yitzhak Rabin as deputy), Israeli forces captured Lydda and Ramle. In Lydda, city-wide shootings killed hundreds of civilians; the Dahmash Mosque massacre alone claimed 70–250+ lives (estimates vary). Moshe Dayan's 89th Battalion participated in ground operations.","Immediately after the takeover, expulsion orders were executed: the entire Palestinian populations of both towns—approximately 50,000–70,000 people, including refugees—were forced to march on foot toward Ramallah in extreme July heat. This 'death march' saw numerous deaths from thirst, heat exhaustion, and deprivation; survivors reported infants dying, people chewing grass for moisture, and soldiers preventing access to water.","Total deaths are estimated at 400–1,000 (including in-city killings and march fatalities). No perpetrators were prosecuted. Allon became Deputy Prime Minister; Rabin became Prime Minister and Nobel Peace Prize laureate (1994); Dayan became Defense Minister and Foreign Minister. Rabin's memoir passages describing the expulsion order were censored in 1979, later restored.",Date,"July 9–13, 1948",Historical Location,"Lydda & Ramle, Central Palestine",Deaths,"≈400–1,000",Displaced,"≈50,000–70,000"
hist004,Qibya ,Massacre,1953-10-14 00:00:00,19647,Jordanian-controlled West Bank,69,15 documented,Temporary evacuation during attack,31.9167,35.0667,"Qibya (Qibyā), Jordanian West Bank","Qibya, West Bank, Palestinian Territories; Village rebuilt; under Israeli occupation since 1967",IDF Unit 101 (Commander: Ariel Sharon); Paratroop companies; Supporting Israeli regular army units,War Crime; Crimes Against Humanity (UNSC Res 101),2025-10-18 00:00:00,Yassin,"The Qibya massacre occurred during heightened tensions along the Jordan-Israel armistice line. Following the October 12, 1953 killing of an Israeli woman and her two children in Yehud, Israel launched 'Operation Shoshana'—a large-scale reprisal attack on the Jordanian village of Qibya.","Unit 101, led by 25-year-old Major Ariel Sharon, attacked with approximately half a battalion of soldiers. After a mortar barrage, demolition squads systematically destroyed homes with inhabitants inside using explosives and grenades. Sharon later wrote the operation was meant to be 'an example for everyone' with orders for 'maximal killing and damage to property.'","The UN Mixed Armistice Commission condemned the attack as a breach of the Israel-Jordan armistice agreement. The UN Security Council passed Resolution 101 expressing 'strongest censure.' The US State Department called it 'shocking' and suspended economic aid to Israel. Despite international condemnation, no perpetrators were prosecuted.",Date,14-15 Oct 1953,Historical Location,"Qibya, West Bank",Deaths,69,Destruction,45 houses
hist005,Khan Yunis Massacre,Massacre,1956-11-03 00:00:00,20771,During Israeli occupation of Gaza in Suez Crisis,275-525,Unknown number; not systematically documented,Temporary displacement during operations,31.3461,34.3063,"Khan Yunis (Khān Yūnis), Egyptian-administered Gaza Strip","Khan Yunis, Gaza Strip, Palestine; Major city; heavily damaged in 2023-2024 conflict",Israel Defense Forces; IDF Intelligence units; Shin Bet security forces,War Crime; Crimes Against Humanity (UNRWA/UN GA Doc A/3512),2025-10-18 00:00:00,Yassin,"In October-November 1956, Israel launched Operation Kadesh in coordination with France and the UK's invasion of Egypt during the Suez Crisis. Israeli forces rapidly occupied the Gaza Strip and Sinai Peninsula. During the occupation of Gaza, IDF conducted systematic 'screening' operations ostensibly to identify Egyptian soldiers and Palestinian fighters (fedayeen) who had infiltrated Israel.","On November 3, 1956, in Khan Yunis and its refugee camp, Israeli forces conducted mass roundups of male residents. During screenings, curfews, and arbitrary detentions, IDF personnel systematically executed civilians. UNRWA Director for Gaza Affairs compiled detailed victim lists and reported to UN General Assembly that 275 men were killed in Khan Yunis and 111 in nearby Rafah. Palestinian sources documented 415 killed with 57 missing. Methods included shooting during curfew, execution after screening, and arbitrary killings.","Bodies were buried in mass graves, including in the streets of Khan Yunis. UNRWA provided names, ages, and circumstances of death for verified victims. Despite international documentation and UN reports, no Israeli personnel were prosecuted. Israel withdrew from Gaza in March 1957 under international pressure, particularly from the United States and Soviet Union.",Date,3-12 Nov 1956,Historical Location,"Khan Yunis, Gaza",Deaths,275-525,Mass Graves,Multiple sites
hist006,Six-Day War / Al-Naksa,Mass Displacement,1967-06-05 00:00:00,24633,"Six-Day War (Israel vs Egypt, Jordan, Syria)","10,000-15,000 combatants total (all sides); civilian deaths not systematically recorded",Thousands (not systematically recorded),"300,000-400,000 Palestinians",,,"West Bank, Gaza Strip, Golan Heights, Sinai Peninsula, Jordanian West Bank, Egyptian Gaza, Syrian Golan, Egyptian Sinai","Occupied Palestinian Territories; Annexed Golan Heights, West Bank and Gaza under Israeli occupation since 1967; East Jerusalem annexed; Golan annexed 1981; Ongoing military occupation; UN recognizes territories as occupied",Israel Defense Forces; Israeli government policy; Military administration of occupied territories,War Crimes; Violations of IHL; Unlawful Occupation (UNSC Res 242),2025-10-18 00:00:00,Yassin,"The Six-Day War erupted on June 5, 1967 when Israel launched preemptive strikes on Egyptian airfields, followed by ground operations. Within six days, Israel occupied the Egyptian-controlled Gaza Strip and Sinai Peninsula, Jordanian-controlled West Bank and East Jerusalem, and Syrian Golan Heights. The rapid Israeli victory fundamentally transformed the Israeli-Palestinian conflict by bringing all of historic Palestine under Israeli control.","Mass displacement began immediately. As Israeli forces advanced into the West Bank, panic spread among Palestinians remembering the 1948 Nakba. Estimates of those who fled or were expelled range from 280,000 (Israeli sources) to 400,000+ (Palestinian and UN sources). Approximately 175,000 were refugees from 1948 being displaced a second time. The displacement was not solely a byproduct of combat—Israeli authorities issued military orders preventing return and systematically demolished entire villages.","Three villages in the Latrun area (Imwas, Yalo, and Beit Nuba) were completely destroyed by Israeli forces, their 10,000 residents expelled. In Jerusalem's Old City, the Moroccan Quarter was bulldozed days after occupation to create a plaza at the Western Wall. UN Security Council Resolution 242 called for 'withdrawal of Israeli armed forces from territories occupied' and for 'achieving a just settlement of the refugee problem,' but Israel has maintained occupation for over 55 years. The 1967 displacement and subsequent occupation created the framework for the current Israeli-Palestinian conflict.",Date,5-10 June 1967,Territories,"West Bank, Gaza, Golan",Displaced,"300,000-400,000",Villages Demolished,3 West Bank villages
hist007,Sabra and Shatila,Massacre,1982-09-16 00:00:00,30212,"During Israeli occupation of West Beirut, Lebanon War","800-3,500",Hundreds (not systematically recorded),Survivors fled camps; infrastructure destroyed,33.8547,35.4881,"Sabra and Shatila refugee camps, Beirut, Lebanon (under Israeli military control)","Sabra and Shatila, Beirut, Lebanon; Camps still exist; memorial sites established",Lebanese Forces (Phalangist militia); Israeli Defense Forces (facilitation and responsibility); Defense Minister Ariel Sharon (personal responsibility per Kahan Commission),War Crime; Crimes Against Humanity; Genocide (UNSC Res 521; Kahan Commission),2025-10-18 00:00:00,Yassin,"The Sabra and Shatila massacre occurred during Israel's 1982 invasion of Lebanon ('Operation Peace for Galilee'). After the assassination of Lebanese President-elect Bachir Gemayel on September 14, 1982, Israeli Defense Minister Ariel Sharon ordered IDF forces to occupy West Beirut, ostensibly to maintain order. On September 16, Sharon authorized Lebanese Phalangist militias to enter the Sabra and Shatila Palestinian refugee camps, claiming they would 'mop up' remaining PLO fighters—though PLO forces had evacuated weeks earlier under international agreement.","For approximately 40 hours (September 16-18), Phalangist militiamen systematically killed Palestinian civilians, including women, children, and elderly persons. Israeli forces surrounded the camps, controlled all entry and exit points, provided logistical support, and fired illumination flares throughout the nights allowing the killings to continue after dark. Israeli commanders received reports of civilian massacres but did not intervene. Methods included shooting, stabbing, decapitation, mutilation. Bodies were dumped in mass graves or left in streets.","The exact death toll remains disputed. Lebanon's official investigation documented approximately 800 killed; the Palestinian Red Crescent estimated 3,500; various international sources cite 2,000-3,500. The Israeli Kahan Commission investigated and found Defense Minister Sharon bore 'personal responsibility' for the massacre, recommending his removal. Sharon resigned as Defense Minister but remained in cabinet without portfolio, later serving as Israeli Prime Minister (2001-2006). Multiple international legal attempts to prosecute him failed.",Date,16-18 Sept 1982,Location,"Sabra & Shatila, Beirut",Deaths,"800-3,500",Israeli Accountability,Kahan Commission
hist008,First Intifada,Mass Casualties / Uprising,1987-12-08 00:00:00,34225,Palestinian uprising against 20-year Israeli occupation,"1,087-1,284 Palestinians; 160-200 Israelis","120,000+ Palestinians injured; 3,100 Israeli soldiers/civilians injured",Thousands displaced through home demolitions,31.9,35.2,"West Bank, Gaza Strip, East Jerusalem, Israeli-occupied Palestinian territories since 1967","Occupied Palestinian Territories, West Bank under Israeli military occupation; Gaza under blockade since 2007, Continued occupation; First Intifada led to Oslo Accords and creation of Palestinian Authority",Israel Defense Forces; Israeli Border Police; Israeli Civil Administration; Shin Bet (Israeli Security Service); Israeli settler violence,Mass Casualties / Uprising,2025-10-18 00:00:00,Yassin,"On December 8, 1987, an Israeli army truck collided with civilian vehicles at the Erez checkpoint in Gaza, killing four Palestinian workers from Jabalia refugee camp. Palestinians believed it was deliberate revenge for the stabbing death of an Israeli in Gaza two days earlier. The following day, December 9, massive protests erupted in Jabalia. When 17-year-old Hatem al-Sisi was shot dead by Israeli soldiers, the uprising exploded across Gaza, East Jerusalem, and the West Bank within days. What began as spontaneous protests transformed into organized, sustained civil resistance coordinated by grassroots committees and later by the United National Leadership of the Uprising (UNLU).","The Intifada was characterized by largely non-violent tactics: general strikes, tax resistance, boycotts of Israeli products, and civil disobedience. Palestinian youth confronted Israeli soldiers with stones and Molotov cocktails. The Israeli response was brutal. Defense Minister Yitzhak Rabin issued orders to use 'force, might, and beatings' and to 'break bones' of demonstrators. Soldiers systematically beat protesters, fired live ammunition at stone-throwers, and used tear gas extensively. In the first year alone, Israeli forces killed at least 300 Palestinians and wounded tens of thousands. By 1990, the death toll exceeded 1,000.","The uprising exacted an enormous toll: 1,087-1,284 Palestinians killed (including 241-332 children), over 120,000 wounded, approximately 20,000 arrested in the first year alone (with estimates reaching 120,000 total over six years), 2,532 homes demolished, and 481 Palestinians deported. Approximately 160-200 Israelis (soldiers and civilians) were killed during the same period. International condemnation was swift—the UN Security Council condemned Israel's response, and even the Reagan Administration criticized the 'harsh security measures and excessive use of live ammunition.' The Intifada forced recognition of Palestinian national aspirations, led to the Madrid Conference (1991) and secret Oslo negotiations, culminating in the September 1993 Oslo Accords which created the Palestinian Authority and promised future statehood—though these promises remain unfulfilled over 30 years later.",Duration,"5 years, 9 months",Location,West Bank & Gaza,Palestinians Killed,"1,087-1,284",Palestinians Injured,"120,000+"
hist009,Cave of the Patriarchs Massacre,Massacre / Mass Shooting,1994-02-25 00:00:00,34411,"Ramadan 1994, following Oslo Accords (September 1993)",50-60 Palestinians total (29 in mosque shooting + 25+ killed by Israeli forces during protests),125+ in mosque; hundreds more during protests,Mass exodus from Hebron Old City due to closures and restrictions,31.5266,35.0948,"Al-Ibrahimi Mosque (Cave of the Patriarchs), Hebron, West Bank, Israeli-occupied West Bank; Hebron under Israeli military control (H2 area)","Hebron Old City, West Bank, H2 area under full Israeli military control since 1997 Hebron Protocol; Ibrahimi Mosque divided 60% for Jews, 40% for Muslims since massacre; Old City strangled by checkpoints, closures, settler violence",Baruch Goldstein (direct perpetrator); Kach movement (ideological support); Israeli military (facilitation through absence/inaction); Israeli government (collective punishment of victims after massacre),War Crime; Crimes Against Humanity; State Responsibility (UNSC Res 904),2025-10-18 00:00:00,aliattia02,"Baruch Goldstein was born Benjamin Carl Goldstein in Brooklyn, New York in 1956 to an Orthodox Jewish family. In the 1970s, he became a charter member of the Jewish Defense League (JDL), a militant organization founded by Rabbi Meir Kahane. After graduating from Yeshiva University's Albert Einstein College of Medicine, Goldstein emigrated to Israel in 1983. He served as a physician in the Israel Defense Forces and later settled in Kiryat Arba, an extremist settlement adjacent to Hebron. Goldstein was an active member of Kach, Kahane's ultranationalist party, and was third on its list for the 1984 Knesset elections. Israeli press reported that Goldstein refused to treat Arabs, even Arab soldiers serving in the IDF, believing it violated Jewish religious law to treat non-Jews. He compared Israel's democracy to Nazism and wore a yellow star marked 'JUDE' in protest. In the weeks before the massacre, Goldstein made ominous statements and was involved in violent incidents at the mosque, including pouring acid on carpets. Palestinian authorities wrote to Prime Minister Rabin warning about Goldstein's dangerous behavior, but no action was taken.","On the morning of February 25, 1994, the 15th day of Ramadan, worshippers noticed the unusual absence of Israeli soldiers from their normal positions around the Ibrahimi Mosque despite tensions the previous evening. At approximately 5:30 AM, as Imam Khalil Muhsen Jabari led hundreds in Fajr (dawn) prayer, Goldstein entered the Isaac Hall—the main prayer area—dressed in his IDF reserve uniform and carrying a Galil assault rifle and pistol. He positioned himself behind a pillar at the rear of the hall. When worshippers prostrated (sujood position), Goldstein opened fire. He reloaded multiple times, methodically shooting prostrate worshippers who were trapped and defenseless. Survivors report the shooting continued for ten minutes. Some eyewitnesses claim they saw additional gunmen, though Israeli investigations denied this. When worshippers finally overcame Goldstein, they beat him to death. By then, 29 Palestinians lay dead—including children as young as 11—and 125 were wounded.","The horror did not end with the shooting. Israeli soldiers present at the mosque closed the gates, trapping survivors inside with the dead and wounded, and preventing medical help from entering. When the gates finally opened, Israeli forces fired on protesters outside, killing more Palestinians. Over the next three weeks, as news of the massacre spread, Palestinians rioted throughout Hebron and the West Bank. Israeli forces killed at least 25 more Palestinians during these protests, including at victims' funerals. The total death toll reached 50-60. Israel's response was to punish the victims: a six-month closure of Hebron; formation of the one-sided Shamgar Commission whose recommendations all favored settlers; partition of the Ibrahimi Mosque giving 60% to Jews (who comprised 0.003% of Hebron's population); closure of 520 businesses and 1,800 shops in the Old City; sealing of Shuhada Street (the main commercial artery); and a network of military checkpoints suffocating Palestinian life. The massacre achieved Goldstein's goal: it did not stop Oslo, but it transformed Hebron into a strangled city, its Old City a ghost town, its Palestinian population subjected to daily humiliation while a few hundred extremist settlers lived under heavy military protection.",Date,1994-02-25 00:00:00,Location,"Ibrahimi Mosque, Hebron",Killed in Mosque,29 worshippers,Total Killed,50-60 Palestinians
hist010,Second Intifada,Armed Uprising / Mass Casualties,2000-09-28 00:00:00,38717,Collapse of Camp David peace talks; Ariel Sharon's provocative Temple Mount visit,"3,200-4,800 Palestinians; 1,000-1,100 Israelis","45,000+ Palestinians; 7,500+ Israelis",Thousands displaced through home demolitions and military operations,,,"West Bank, Gaza Strip, Israel, Israeli-occupied Palestinian territories and Israel proper","Occupied Palestinian Territories and Israel, West Bank under Israeli military occupation with PA limited control; Gaza under blockade; Second Intifada led to Israeli disengagement from Gaza (2005), construction of separation barrier, and collapse of peace process","Palestinian armed groups (Hamas, Islamic Jihad, Al-Aqsa Martyrs' Brigades, PFLP); Israel Defense Forces; Israeli government policy; Israeli settlers",War Crimes; Violations of IHL (UN Special Rapporteur; HRW; Amnesty),2025-10-18 00:00:00,aliattia02,"The Second Intifada's immediate trigger was Ariel Sharon's September 28, 2000 visit to the Temple Mount/Haram al-Sharif, accompanied by 1,000 Israeli police. Palestinians viewed this as deliberate provocation at one of Islam's holiest sites by a figure they associated with past massacres (Sabra and Shatila 1982, Qibya 1953). Protests erupted immediately. The next day, September 29 (a Friday), after prayers at Al-Aqsa Mosque, Israeli police fired on Palestinian demonstrators, killing 7 and wounding over 300. By October 1, violence had spread throughout the occupied territories and into Israel. Thirteen Palestinian citizens of Israel were shot dead by Israeli police during protests inside Israel proper. Within two weeks, 100 Palestinians and 10 Israelis had been killed. The uprising's deeper causes lay in the failure of the Oslo peace process: seven years after Oslo, Palestinians remained under occupation, settlements had doubled, movement restrictions had increased, and statehood seemed further away than ever.","Unlike the First Intifada's stones and civil disobedience, the Second Intifada quickly became armed conflict. Palestinian militant groups—Hamas, Islamic Jihad, Al-Aqsa Martyrs' Brigades (affiliated with Fatah), and PFLP—launched devastating suicide bombing campaigns targeting Israeli civilians in buses, restaurants, markets, and nightclubs. The peak came in March 2002 with the Passover massacre at Park Hotel in Netanya (30 killed), triggering Israel's massive Operation Defensive Shield. Israel responded with overwhelming military force: helicopter gunships, F-16 fighter jets, tanks, and bulldozers deployed in densely populated Palestinian areas. Targeted assassinations by helicopter missile strikes often killed bystanders. Entire cities were placed under curfew for months. The 2002 siege of Jenin refugee camp became emblematic: Israeli forces demolished 140+ buildings, killed 52 Palestinians (23 civilians), and faced international accusations of war crimes.","By the Second Intifada's end in late 2005, the toll was catastrophic: 3,223-4,789 Palestinians killed (including 700+ children, 47% civilians); 1,024-1,100 Israelis killed (including 300+ children, 64% civilians); 45,000+ Palestinians wounded; 7,500+ Israelis wounded; approximately 40,000-50,000 Palestinians imprisoned; and massive infrastructure destruction. Israel unilaterally withdrew from Gaza in August 2005 while accelerating settlement expansion in the West Bank. The separation barrier was constructed—declared illegal by the International Court of Justice—confiscating thousands of acres of Palestinian land. The Second Intifada destroyed what remained of the peace process, entrenched the occupation, empowered Hamas, and created the siege of Gaza. It established patterns that continue today: Palestinian resistance met with disproportionate Israeli force; suicide bombings used to justify collective punishment; negotiated peace deemed impossible. The human cost was immense on both sides, but the political outcome was clear: Israeli control deepened while Palestinian freedom receded further.",Duration,~5 years,Location,"West Bank, Gaza, Israel",Palestinians Killed,"3,200+",Israelis Killed,"1,000+"
