id,_anchor,event_type_ar,date_context_ar,brief_summary_ar,location_historical_ar,location_current_ar,classification_ar
hist001,hist001,مذبحة,تحت الانتداب البريطاني,وقعت مجزرة دير ياسين خلال معارك ضارية حول القدس في أوائل أبريل/نيسان 1948 (في سياق عملية نحشون). كانت القرية قد أبرمت سابقًا اتفاقية عدم اعتداء محلية مع المجتمعات اليهودية المجاورة؛ ومع ذلك، شنّت منظمتا الإرجون وليحي هجومًا متعدد المحاور عند الفجر. وقدمت عناصر من الهاجاناه/بالماخ الدعم لاحقًا. ووثّق شهود عيان إسرائيليون ودوليون عمليات قتل المدنيين، بمن فيهم النساء والأطفال وكبار السن؛ وجرى استعراض الأسرى الناجين في شوارع القدس ثم أُطلق سراحهم لاحقًا. وتتباين تقديرات عدد القتلى؛ إذ تُشير معظم الأبحاث إلى حوالي 107 قتلى، بينما تُشير روايات معاصرة إلى أعداد أكبر (حوالي 200-250 قتيلًا). نزح جميع سكان القرية (حوالي 710 قتلى عام 1948)؛ وضُمّت أراضي دير ياسين لاحقًا إلى أحياء غرب القدس. لم يُحاكم أي من الجناة؛ وأصبح قائد الإرجون مناحيم بيغن رئيسًا للوزراء لاحقًا (1977-1983).,دير ياسين (داير ياسين)، القدس، فلسطين تحت الانتداب البريطاني,حي جفعات شاؤول، القدس الغربية، إسرائيل، قرية مهدمة؛ تم دمج الموقع في الأحياء الإسرائيلية,جرائم الحرب (لاهاي 1907)؛ الجرائم ضد الإنسانية (الحديثة)
hist002,hist002,مذبحة,حرب 1948 العربية الإسرائيلية، العمليات الساحلية,"في 22-23 مايو/أيار 1948، هاجمت كتيبة ألكساندروني التابعة لمنظمة الهاجاناه (التي أصبحت فيما بعد جيش الدفاع الإسرائيلي) قرية طنطورة الساحلية الفلسطينية. كان عدد سكان القرية حوالي 1500 نسمة، واشتهرت بصيد الأسماك. ورغم محاولات الاستسلام ورفع الرايات البيضاء، قامت القوات الإسرائيلية بعمليات تفتيش من منزل إلى منزل، وفصلت الرجال عن النساء والأطفال، وأعدمت رجال القرية. وتشير التقديرات إلى أن ما بين 200 و250 رجلاً فلسطينياً أُعدموا بشكل منهجي بعد استسلام القرية. ودُفنت الجثث في مقابر جماعية متعددة، من بينها مقبرة تقع تحت ما يُعرف الآن بموقف سيارات شاطئ دور. وظلت المجزرة مجهولة إلى حد كبير حتى عام 1998، عندما وثّقها طالب الدراسات العليا الإسرائيلي تيدي كاتز من خلال مقابلات مع ناجين فلسطينيين وجنود إسرائيليين شاركوا فيها. ورغم تأكيد المحاربين القدامى للأحداث في البداية، واجه كاتز دعوى تشهير، وأُجبر تحت ضغط على توقيع ""اعتذار"" (تم سحبه لاحقاً). ورفضت السلطات الإسرائيلية باستمرار التنقيب في المقابر الجماعية أو إجراء تحقيقات رسمية. ولم تتم محاكمة أي من الجناة. تم هدم القرية وبناء كيبوتس ناحشوليم على أنقاضها.",الطنطورة (الطنطورة)، الانتداب البريطاني على فلسطين، قضاء حيفا,منطقة شاطئ دور، مقاطعة حيفا، إسرائيل؛ كيبوتس نحشوليم مبني على أنقاض قرية؛ موقف سيارات شاطئ دور فوق مقبرة جماعية؛ هُدمت القرية؛ المقابر الجماعية لم تُمس,جرائم الحرب (لاهاي 1907)؛ الجرائم ضد الإنسانية (الحديثة)
hist003,hist003,مذبحة، طرد قسري، مسيرة موت,عملية داني، حرب 1948 العربية الإسرائيلية,"في الفترة من 9 إلى 13 يوليو/تموز 1948، وخلال عملية داني بقيادة يغال آلون (مع إسحاق رابين نائباً له)، استولت القوات الإسرائيلية على مدينتي اللد والرملة. في اللد، أسفرت عمليات إطلاق نار عشوائية في أنحاء المدينة عن مقتل مئات المدنيين؛ وحصدت مجزرة مسجد دهماش وحدها أرواح ما بين 70 و250 شخصاً (تختلف التقديرات). شاركت الكتيبة 89 بقيادة موشيه دايان في العمليات البرية. فور الاستيلاء على المدينتين، صدرت أوامر الطرد: أُجبر جميع سكان المدينتين الفلسطينيين - ما يقارب 50,000 إلى 70,000 نسمة، بمن فيهم اللاجئون - على السير سيراً على الأقدام نحو رام الله في حرارة يوليو/تموز الشديدة. شهدت ""مسيرة الموت"" هذه وفيات عديدة بسبب العطش والإرهاق الحراري والحرمان؛ وأفاد ناجون بوفاة رُضّع، ومضغ الناس للعشب للحصول على الماء، ومنع الجنود الوصول إلى المياه. يُقدّر إجمالي عدد القتلى بما بين 400 و1,000 (بما في ذلك عمليات القتل داخل المدينة ووفيات المسيرة). لم يُحاكم أي من الجناة. أصبح ألون نائبًا لرئيس الوزراء؛ وأصبح رابين رئيسًا للوزراء وحائزًا على جائزة نوبل للسلام (1994)؛ وأصبح دايان وزيرًا للدفاع ووزيرًا للخارجية. وقد حُذفت مقاطع من مذكرات رابين التي تصف أمر الطرد عام 1979، ثم أُعيدت لاحقًا.",اللد (اللد) والرملة (الرملة)، الانتداب البريطاني على فلسطين (تحت الاحتلال الإسرائيلي من 11 إلى 12 يوليو 1948),اللد والرملة، المنطقة الوسطى، إسرائيل؛ مدن أعيد تسميتها وإعادة توطينها؛ وتبقى أقلية فلسطينية صغيرة,جرائم الحرب؛ جرائم ضد الإنسانية؛ التطهير العرقي (النكبة)
hist004,hist004,مذبحة,الضفة الغربية الخاضعة للسيطرة الأردنية,"وقعت مجزرة قبية خلال فترة تصاعد التوترات على طول خط الهدنة بين الأردن وإسرائيل. فبعد مقتل امرأة إسرائيلية وطفليها في يهود في 12 أكتوبر/تشرين الأول 1953، شنت إسرائيل ""عملية شوشانا""، وهي هجوم انتقامي واسع النطاق على قرية قبية الأردنية. هاجمت الوحدة 101، بقيادة الرائد أرييل شارون البالغ من العمر 25 عامًا، بنحو نصف كتيبة من الجنود. وبعد قصف بقذائف الهاون، دمرت فرق الهدم المنازل بشكل منهجي بمن فيها باستخدام المتفجرات والقنابل اليدوية. وكتب شارون لاحقًا أن العملية كانت تهدف إلى أن تكون ""عبرة للجميع""، مع أوامر بـ""أقصى قدر من القتل وإلحاق أكبر قدر من الضرر بالممتلكات"". أدانت لجنة الهدنة المختلطة التابعة للأمم المتحدة الهجوم باعتباره خرقًا لاتفاقية الهدنة بين إسرائيل والأردن. وأصدر مجلس الأمن الدولي القرار 101 معربًا عن ""أشد الإدانة"". ووصفت وزارة الخارجية الأمريكية الهجوم بأنه ""صادم"" وعلقت المساعدات الاقتصادية لإسرائيل. على الرغم من الإدانة الدولية، لم تتم مقاضاة أي من الجناة.",قبيّة (قبيّة)، الضفة الغربية الأردنية,قبية، الضفة الغربية، الأراضي الفلسطينية؛ قرية أعيد بناؤها؛ تحت الاحتلال الإسرائيلي منذ عام 1967,جرائم الحرب؛ الجرائم ضد الإنسانية (قرار مجلس الأمن التابع للأمم المتحدة رقم 101)
hist005,hist005,مذبحة,خلال الاحتلال الإسرائيلي لغزة في أزمة السويس,"في أكتوبر/نوفمبر 1956، شنت إسرائيل عملية قادش بالتنسيق مع فرنسا وغزو بريطانيا لمصر خلال أزمة السويس. وسرعان ما احتلت القوات الإسرائيلية قطاع غزة وشبه جزيرة سيناء. وخلال احتلال غزة، نفذ جيش الدفاع الإسرائيلي عمليات ""تمشيط"" منهجية بذريعة تحديد الجنود المصريين والمقاتلين الفلسطينيين (الفدائيين) الذين تسللوا إلى إسرائيل. وفي 3 نوفمبر/تشرين الثاني 1956، في خان يونس ومخيم اللاجئين التابع لها، نفذت القوات الإسرائيلية حملات اعتقال جماعية بحق السكان الذكور. وخلال عمليات التمشيط وحظر التجول والاعتقالات التعسفية، أعدم أفراد جيش الدفاع الإسرائيلي المدنيين بشكل منهجي. وقد جمع مدير شؤون غزة في وكالة الأونروا قوائم مفصلة بالضحايا وأبلغ الجمعية العامة للأمم المتحدة بمقتل 275 رجلاً في خان يونس و111 في رفح المجاورة. ووثقت مصادر فلسطينية مقتل 415 شخصاً وفقدان 57 آخرين. وشملت أساليب الإعدام إطلاق النار أثناء حظر التجول، والإعدام بعد التمشيط، والقتل التعسفي. ودُفنت الجثث في مقابر جماعية، بما في ذلك في شوارع خان يونس. قدمت وكالة الأونروا أسماء وأعمار وظروف وفاة الضحايا الذين تم التحقق من هويتهم. وعلى الرغم من الوثائق الدولية وتقارير الأمم المتحدة، لم تتم محاكمة أي من أفراد القوات الإسرائيلية. انسحبت إسرائيل من غزة في مارس/آذار 1957 تحت ضغط دولي، لا سيما من الولايات المتحدة والاتحاد السوفيتي.",خان يونس (خان يونس)، قطاع غزة الخاضع للإدارة المصرية,خان يونس، قطاع غزة، فلسطين؛ مدينة رئيسية؛ تضررت بشدة في نزاع 2023-2024,جرائم الحرب؛ جرائم ضد الإنسانية (وكالة الأمم المتحدة لإغاثة وتشغيل اللاجئين الفلسطينيين/الجمعية العامة للأمم المتحدة، الوثيقة أ/3512)
hist006,hist006,إزاحة الكتلة,حرب الأيام الستة (إسرائيل ضد مصر والأردن وسوريا),"اندلعت حرب الأيام الستة في 5 يونيو/حزيران 1967 عندما شنت إسرائيل ضربات استباقية على المطارات المصرية، أعقبتها عمليات برية. وفي غضون ستة أيام، احتلت إسرائيل قطاع غزة وشبه جزيرة سيناء الخاضعين للسيطرة المصرية، والضفة الغربية والقدس الشرقية الخاضعتين للسيطرة الأردنية، وهضبة الجولان السورية. وقد غيّر هذا الانتصار الإسرائيلي السريع مسار الصراع الإسرائيلي الفلسطيني جذرياً، إذ أخضع فلسطين التاريخية بأكملها للسيطرة الإسرائيلية. وبدأ النزوح الجماعي على الفور. ومع تقدم القوات الإسرائيلية في الضفة الغربية، انتشر الذعر بين الفلسطينيين الذين استذكروا نكبة 1948. وتتراوح تقديرات عدد النازحين أو المطرودين بين 280 ألفاً (بحسب مصادر إسرائيلية) وأكثر من 400 ألف (بحسب مصادر فلسطينية ومصادر الأمم المتحدة). وكان نحو 175 ألفاً منهم لاجئين من نكبة 1948، نزحوا للمرة الثانية. ولم يكن النزوح نتيجة مباشرة للقتال فحسب، بل أصدرت السلطات الإسرائيلية أوامر عسكرية تمنع العودة، وهدمت قرى بأكملها بشكل ممنهج. دُمّرت ثلاث قرى في منطقة اللطرون (إمواس، يالو، وبيت نوبا) تدميراً كاملاً على يد القوات الإسرائيلية، وطُرد سكانها البالغ عددهم 10,000 نسمة. وفي البلدة القديمة بالقدس، جُرفت الأحياء المغربية بالجرافات بعد أيام من الاحتلال لإنشاء ساحة عند حائط البراق. ودعا قرار مجلس الأمن الدولي رقم 242 إلى ""انسحاب القوات المسلحة الإسرائيلية من الأراضي المحتلة"" و""التوصل إلى تسوية عادلة لمشكلة اللاجئين""، إلا أن إسرائيل استمرت في احتلالها لأكثر من 55 عاماً. وقد أرست عملية التهجير عام 1967 والاحتلال اللاحق الإطارَ للصراع الإسرائيلي الفلسطيني الراهن.",الضفة الغربية، قطاع غزة، مرتفعات الجولان، شبه جزيرة سيناء، الضفة الغربية الأردنية، قطاع غزة المصري، الجولان السوري، سيناء المصرية,الأراضي الفلسطينية المحتلة؛ هضبة الجولان والضفة الغربية وقطاع غزة التي ضمتها إسرائيل منذ عام 1967؛ القدس الشرقية التي ضمتها إسرائيل؛ الجولان الذي ضمته إسرائيل عام 1981؛ الاحتلال العسكري مستمر؛ الأمم المتحدة تعترف بالأراضي المحتلة.,جرائم الحرب؛ انتهاكات القانون الدولي الإنساني؛ الاحتلال غير المشروع (قرار مجلس الأمن التابع للأمم المتحدة رقم 242)
hist007,hist007,مذبحة,خلال الاحتلال الإسرائيلي لبيروت الغربية، حرب لبنان,"وقعت مجزرة صبرا وشاتيلا خلال الغزو الإسرائيلي للبنان عام 1982 (عملية سلام الجليل). فبعد اغتيال الرئيس اللبناني المنتخب بشير الجميل في 14 سبتمبر/أيلول 1982، أمر وزير الدفاع الإسرائيلي أرييل شارون قوات الجيش الإسرائيلي باحتلال بيروت الغربية، ظاهريًا للحفاظ على النظام. وفي 16 سبتمبر/أيلول، سمح شارون لميليشيات الكتائب اللبنانية بدخول مخيمي صبرا وشاتيلا للاجئين الفلسطينيين، مدعيًا أنها ستقضي على ما تبقى من مقاتلي منظمة التحرير الفلسطينية، رغم أن قوات المنظمة كانت قد أجلت السكان قبل أسابيع بموجب اتفاق دولي. وعلى مدار أربعين ساعة تقريبًا (من 16 إلى 18 سبتمبر/أيلول)، قتل مسلحو الكتائب المدنيين الفلسطينيين، بمن فيهم النساء والأطفال وكبار السن، بشكل ممنهج. وحاصرت القوات الإسرائيلية المخيمين، وسيطرت على جميع مداخلهما ومخارجهما، وقدمت الدعم اللوجستي، وأطلقت قنابل مضيئة طوال الليل، مما سمح باستمرار عمليات القتل بعد حلول الظلام. وتلقى القادة الإسرائيليون تقارير عن مجازر بحق المدنيين، لكنهم لم يتدخلوا. شملت الأساليب المستخدمة إطلاق النار والطعن وقطع الرؤوس والتشويه. أُلقيت الجثث في مقابر جماعية أو تُركت في الشوارع. ولا يزال العدد الدقيق للقتلى محل خلاف. وثّق التحقيق الرسمي اللبناني مقتل نحو 800 شخص، بينما قدّر الهلال الأحمر الفلسطيني العدد بنحو 3500، وتشير مصادر دولية مختلفة إلى أن العدد يتراوح بين 2000 و3500. حققت لجنة كاهان الإسرائيلية في الأمر وخلصت إلى أن وزير الدفاع شارون يتحمل ""مسؤولية شخصية"" عن المجزرة، وأوصت بإقالته. استقال شارون من منصبه كوزير للدفاع، لكنه بقي في الحكومة دون حقيبة وزارية، ثم شغل منصب رئيس وزراء إسرائيل (2001-2006). باءت محاولات قانونية دولية عديدة لمحاكمته بالفشل.",مخيما صبرا وشاتيلا للاجئين، بيروت، لبنان (تحت السيطرة العسكرية الإسرائيلية),صبرا وشاتيلا، بيروت، لبنان؛ لا تزال المخيمات قائمة؛ تم إنشاء مواقع تذكارية,جرائم الحرب؛ جرائم ضد الإنسانية؛ الإبادة الجماعية (قرار مجلس الأمن التابع للأمم المتحدة رقم 521؛ لجنة كاهان)
hist008,hist008,خسائر بشرية جماعية / انتفاضة,الانتفاضة الفلسطينية ضد الاحتلال الإسرائيلي الذي دام 20 عاماً,"في 8 ديسمبر/كانون الأول 1987، اصطدمت شاحنة تابعة للجيش الإسرائيلي بمركبات مدنية عند حاجز إيرز في غزة، ما أسفر عن مقتل أربعة عمال فلسطينيين من مخيم جباليا للاجئين. اعتقد الفلسطينيون أن الحادث كان انتقامًا متعمدًا لمقتل إسرائيلي طعنًا في غزة قبل يومين. وفي اليوم التالي، 9 ديسمبر/كانون الأول، اندلعت احتجاجات حاشدة في جباليا. وعندما اغتيل حاتم السيسي، البالغ من العمر 17 عامًا، برصاص جنود إسرائيليين، امتدت الانتفاضة لتشمل غزة والقدس الشرقية والضفة الغربية في غضون أيام. ما بدأ كاحتجاجات عفوية تحول إلى مقاومة مدنية منظمة ومستدامة، نسقتها لجان شعبية، ولاحقًا القيادة الوطنية الموحدة للانتفاضة. تميزت الانتفاضة بتكتيكات سلمية إلى حد كبير: إضرابات عامة، ومقاومة للضرائب، ومقاطعة المنتجات الإسرائيلية، وعصيان مدني. واجه الشباب الفلسطيني الجنود الإسرائيليين بالحجارة وزجاجات المولوتوف. وكان الرد الإسرائيلي وحشيًا. أصدر وزير الدفاع إسحاق رابين أوامر باستخدام ""القوة والعنف والضرب"" و""كسر عظام"" المتظاهرين. قام الجنود بضرب المتظاهرين بشكل ممنهج، وأطلقوا الذخيرة الحية على راشقي الحجارة، واستخدموا الغاز المسيل للدموع على نطاق واسع. في السنة الأولى وحدها، قتلت القوات الإسرائيلية ما لا يقل عن 300 فلسطيني وجرحت عشرات الآلاف. وبحلول عام 1990، تجاوز عدد القتلى 1000. خلّفت الانتفاضة خسائر فادحة: ما بين 1087 و1284 فلسطينيًا قُتلوا (بينهم ما بين 241 و332 طفلًا)، وأكثر من 120 ألف جريح، ونحو 20 ألف معتقل في السنة الأولى وحدها (مع تقديرات تصل إلى 120 ألفًا إجمالًا على مدى ست سنوات)، وهُدم 2532 منزلًا، ورُحِّل 481 فلسطينيًا. وقُتل ما بين 160 و200 إسرائيلي (جنود ومدنيون) خلال الفترة نفسها. كان الإدانة الدولية سريعة - فقد أدان مجلس الأمن التابع للأمم المتحدة رد إسرائيل، بل وانتقدت إدارة ريغان ""الإجراءات الأمنية القاسية والاستخدام المفرط للذخيرة الحية"". أجبرت الانتفاضة على الاعتراف بالتطلعات الوطنية الفلسطينية، وأدت إلى مؤتمر مدريد (1991) ومفاوضات أوسلو السرية، والتي توجت باتفاقيات أوسلو في سبتمبر 1993 التي أنشأت السلطة الفلسطينية ووعدت بإقامة دولة في المستقبل - على الرغم من أن هذه الوعود لا تزال غير محققة بعد مرور أكثر من 30 عامًا.",الضفة الغربية، قطاع غزة، القدس الشرقية، الأراضي الفلسطينية المحتلة من قبل إسرائيل منذ عام 1967,الأراضي الفلسطينية المحتلة، الضفة الغربية تحت الاحتلال العسكري الإسرائيلي؛ غزة محاصرة منذ عام 2007، واستمرار الاحتلال؛ أدت الانتفاضة الأولى إلى اتفاقيات أوسلو وإنشاء السلطة الفلسطينية,خسائر بشرية جماعية / انتفاضة
hist009,hist009,مذبحة / إطلاق نار جماعي,رمضان 1994، عقب اتفاقيات أوسلو (سبتمبر 1993),"وُلد باروخ غولدشتاين، واسمه الأصلي بنيامين كارل غولدشتاين، في بروكلين، نيويورك عام ١٩٥٦ لعائلة يهودية أرثوذكسية. في سبعينيات القرن الماضي، أصبح عضوًا مؤسسًا في رابطة الدفاع اليهودية (JDL)، وهي منظمة متشددة أسسها الحاخام مئير كاهانا. بعد تخرجه من كلية ألبرت أينشتاين للطب بجامعة يشيفا، هاجر غولدشتاين إلى إسرائيل عام ١٩٨٣. عمل طبيبًا في جيش الدفاع الإسرائيلي، واستقر لاحقًا في كريات أربع، وهي مستوطنة متطرفة مجاورة للخليل. كان غولدشتاين عضوًا نشطًا في حزب كاخ، الحزب القومي المتطرف الذي أسسه كاهانا، وحلّ ثالثًا في قائمته لانتخابات الكنيست عام ١٩٨٤. ذكرت الصحافة الإسرائيلية أن غولدشتاين رفض علاج العرب، حتى الجنود العرب الذين يخدمون في جيش الدفاع الإسرائيلي، لاعتقاده أن علاج غير اليهود يُخالف الشريعة اليهودية. شبّه الديمقراطية الإسرائيلية بالنازية، وارتدى نجمة صفراء كُتب عليها ""يهودي"" احتجاجًا على ذلك. في الأسابيع التي سبقت المجزرة، أدلى غولدشتاين بتصريحات تنذر بالخطر، وتورط في حوادث عنف في المسجد، بما في ذلك سكب حمض على السجاد. وقد راسلت السلطات الفلسطينية رئيس الوزراء رابين محذرةً من سلوك غولدشتاين الخطير، لكن لم يُتخذ أي إجراء. في صباح يوم 25 فبراير/شباط 1994، الموافق لليوم الخامس عشر من رمضان، لاحظ المصلون غيابًا غير معتاد للجنود الإسرائيليين عن مواقعهم المعتادة حول المسجد الإبراهيمي، على الرغم من التوترات التي سادت في الليلة السابقة. في حوالي الساعة 5:30 صباحًا، وبينما كان الإمام خليل محسن جباري يؤمّ المئات في صلاة الفجر، دخل غولدشتاين قاعة إسحاق - وهي قاعة الصلاة الرئيسية - مرتديًا زيّ الاحتياط الخاص به في جيش الدفاع الإسرائيلي، وحاملًا بندقية هجومية من طراز غليل ومسدسًا. تمركز خلف عمود في مؤخرة القاعة. عندما سجد المصلون، فتح غولدشتاين النار. أعاد تعبئة سلاحه عدة مرات، مطلقًا النار بشكل منهجي على المصلين الساجدين الذين كانوا محاصرين وعُزّل. أفاد الناجون أن إطلاق النار استمر لمدة عشر دقائق. يزعم بعض شهود العيان أنهم رأوا مسلحين إضافيين، رغم نفي التحقيقات الإسرائيلية لذلك. وعندما تمكن المصلون أخيرًا من السيطرة على غولدشتاين، انهالوا عليه ضربًا حتى الموت. وبحلول ذلك الوقت، كان 29 فلسطينيًا قد لقوا حتفهم، بينهم أطفال لا تتجاوز أعمارهم 11 عامًا، وأصيب 125 آخرون. لم تنتهِ المأساة بإطلاق النار. فقد أغلق الجنود الإسرائيليون المتواجدون في المسجد أبوابه، وحاصروا الناجين بالداخل مع القتلى والجرحى، ومنعوا وصول المساعدات الطبية. وعندما فُتحت الأبواب أخيرًا، أطلقت القوات الإسرائيلية النار على المتظاهرين في الخارج، ما أسفر عن مقتل المزيد من الفلسطينيين. وعلى مدى الأسابيع الثلاثة التالية، ومع انتشار أنباء المجزرة، اندلعت أعمال شغب فلسطينية في جميع أنحاء الخليل والضفة الغربية. وقتلت القوات الإسرائيلية ما لا يقل عن 25 فلسطينيًا آخر خلال هذه الاحتجاجات، بما في ذلك في جنازات الضحايا. وبلغ إجمالي عدد القتلى ما بين 50 و60 قتيلًا. وكان رد إسرائيل هو معاقبة الضحايا: إغلاق الخليل لمدة ستة أشهر؛ وتشكيل لجنة شمغار أحادية الجانب التي فضّلت جميع توصياتها المستوطنين؛ وتقسيم المسجد الإبراهيمي ومنح 60% منه لليهود (الذين كانوا يشكلون 0.003% من سكان الخليل). إغلاق 520 شركة و1800 متجر في البلدة القديمة؛ وإغلاق شارع الشهداء (الشريان التجاري الرئيسي)؛ وشبكة من نقاط التفتيش العسكرية التي تخنق الحياة الفلسطينية. حققت المجزرة هدف غولدشتاين: لم توقف أوسلو، لكنها حوّلت الخليل إلى مدينة مخنوقة، وبلدتها القديمة إلى مدينة أشباح، وسكانها الفلسطينيين يتعرضون للإذلال اليومي بينما يعيش بضع مئات من المستوطنين المتطرفين تحت حماية عسكرية مشددة.",المسجد الإبراهيمي (مغارة البطاركة)، الخليل، الضفة الغربية، الضفة الغربية المحتلة؛ الخليل تحت السيطرة العسكرية الإسرائيلية (منطقة H2),البلدة القديمة في الخليل، الضفة الغربية، منطقة H2 تحت سيطرة عسكرية إسرائيلية كاملة منذ بروتوكول الخليل لعام 1997؛ المسجد الإبراهيمي مقسم بنسبة 60% لليهود و40% للمسلمين منذ المجزرة؛ البلدة القديمة محاصرة بنقاط التفتيش والإغلاقات وعنف المستوطنين,جرائم الحرب؛ الجرائم ضد الإنسانية؛ مسؤولية الدولة (قرار مجلس الأمن التابع للأمم المتحدة رقم 904)
hist010,hist010,انتفاضة مسلحة / خسائر بشرية فادحة,انهيار محادثات السلام في كامب ديفيد؛ زيارة أرييل شارون الاستفزازية إلى جبل الهيكل,كانت زيارة أرييل شارون إلى الحرم القدسي الشريف في 28 سبتمبر/أيلول 2000، برفقة ألف شرطي إسرائيلي، الشرارة المباشرة للانتفاضة الثانية. اعتبر الفلسطينيون هذه الزيارة استفزازًا متعمدًا في أحد أقدس المواقع الإسلامية من قِبَل شخصية ربطوها بمجازر سابقة (صبرا وشاتيلا 1982، قبية 1953). اندلعت الاحتجاجات على الفور. وفي اليوم التالي، 29 سبتمبر/أيلول (يوم جمعة)، وبعد صلاة الجمعة في المسجد الأقصى، أطلقت الشرطة الإسرائيلية النار على المتظاهرين الفلسطينيين، ما أسفر عن مقتل سبعة أشخاص وإصابة أكثر من 300. وبحلول الأول من أكتوبر/تشرين الأول، امتد العنف في جميع أنحاء الأراضي المحتلة ودخل إسرائيل. وقُتل 13 مواطنًا فلسطينيًا إسرائيليًا برصاص الشرطة الإسرائيلية خلال احتجاجات داخل إسرائيل. وفي غضون أسبوعين، قُتل 100 فلسطيني و10 إسرائيليين. تكمن الأسباب الجذرية للانتفاضة في فشل عملية أوسلو للسلام: فبعد سبع سنوات من أوسلو، ظل الفلسطينيون تحت الاحتلال، وتضاعفت المستوطنات، وازدادت القيود على الحركة، وبدا قيام الدولة أبعد من أي وقت مضى. وعلى عكس الانتفاضة الأولى التي شهدت رشق الحجارة والعصيان المدني، سرعان ما تحولت الانتفاضة الثانية إلى صراع مسلح. شنت الجماعات الفلسطينية المسلحة - حماس، والجهاد الإسلامي، وكتائب شهداء الأقصى (التابعة لحركة فتح)، والجبهة الشعبية لتحرير فلسطين - حملات تفجير انتحارية مدمرة استهدفت المدنيين الإسرائيليين في الحافلات والمطاعم والأسواق والنوادي الليلية. وبلغت ذروتها في مارس/آذار 2002 مع مجزرة عيد الفصح في فندق بارك في نتانيا (30 قتيلاً)، مما أدى إلى إطلاق عملية الدرع الواقي الإسرائيلية الضخمة. وردت إسرائيل بقوة عسكرية ساحقة: طائرات هليكوبتر حربية، وطائرات مقاتلة من طراز إف-16، ودبابات، وجرافات انتشرت في المناطق الفلسطينية المكتظة بالسكان. وغالباً ما أسفرت عمليات الاغتيال المستهدفة بضربات صاروخية من طائرات الهليكوبتر عن مقتل مدنيين أبرياء. وفُرض حظر تجول على مدن بأكملها لعدة أشهر. أصبح حصار مخيم جنين للاجئين عام 2002 رمزاً للمأساة: فقد هدمت القوات الإسرائيلية أكثر من 140 مبنى، وقتلت 52 فلسطينياً (23 منهم مدنيون)، وواجهت اتهامات دولية بارتكاب جرائم حرب. وبحلول نهاية الانتفاضة الثانية في أواخر عام 2005، كانت الخسائر كارثية: ما بين 3223 و4789 فلسطينياً قُتلوا (بينهم أكثر من 700 طفل، 47% منهم مدنيون)؛ وما بين 1024 و1100 إسرائيلي قُتلوا (بينهم أكثر من 300 طفل، 64% منهم مدنيون)؛ وأكثر من 45000 فلسطيني جُرحوا؛ وأكثر من 7500 إسرائيلي جُرحوا؛ ونحو 40000 إلى 50000 فلسطيني سُجنوا؛ فضلاً عن تدمير هائل للبنية التحتية. انسحبت إسرائيل من غزة من جانب واحد في أغسطس/آب 2005، بينما كثفت التوسع الاستيطاني في الضفة الغربية. وشُيّد جدار الفصل العنصري - الذي أعلنت محكمة العدل الدولية عدم شرعيته - ما أدى إلى مصادرة آلاف الأفدنة من الأراضي الفلسطينية. دمرت الانتفاضة الثانية ما تبقى من عملية السلام، وعززت الاحتلال، وقوّت قوة حماس، وفرضت الحصار على غزة. وأرست أنماطًا لا تزال قائمة حتى اليوم: المقاومة الفلسطينية تُقابل بقوة إسرائيلية مفرطة؛ والتفجيرات الانتحارية تُستخدم لتبرير العقاب الجماعي؛ والسلام التفاوضي يُعتبر مستحيلاً. كانت الخسائر البشرية فادحة على كلا الجانبين، لكن النتيجة السياسية كانت واضحة: تعمّق النفوذ الإسرائيلي بينما تراجعت الحرية الفلسطينية أكثر فأكثر.,الضفة الغربية، قطاع غزة، إسرائيل، الأراضي الفلسطينية المحتلة، وإسرائيل نفسها,الأراضي الفلسطينية المحتلة وإسرائيل، الضفة الغربية تحت الاحتلال العسكري الإسرائيلي مع سيطرة محدودة للسلطة الفلسطينية؛ غزة تحت الحصار؛ أدت الانتفاضة الثانية إلى انسحاب إسرائيل من غزة (2005)، وبناء جدار الفصل، وانهيار عملية السلام,جرائم حرب؛ انتهاكات القانون الدولي الإنساني (المقرر الخاص للأمم المتحدة؛ هيومن رايتس ووتش؛ منظمة العفو الدولية)
