id,_anchor,event_type_de,date_context_de,brief_summary_de,location_historical_de,location_current_de,classification_de
hist001,hist001,Massaker,Unter britischem Mandat,"Das Massaker von Deir Yassin ereignete sich Anfang April 1948 während heftiger Kämpfe um Jerusalem (im Rahmen der Operation Nachschon). Das Dorf hatte zuvor ein lokales Nichtangriffsabkommen mit benachbarten jüdischen Gemeinden geschlossen; dennoch starteten Irgun und Lehi im Morgengrauen einen Angriff mehrerer Achsen. Haganah/Palmach-Elemente leisteten später Unterstützung. Die Tötung von Zivilisten – darunter Frauen, Kinder und Alte – wurde von israelischen und internationalen Zeugen dokumentiert; überlebende Gefangene wurden in Jerusalem vorgeführt und später freigelassen. Die Schätzungen der Opferzahlen variieren; die meisten Forscher gehen von etwa 107 aus, wobei in zeitgenössischen Berichten höhere Zahlen (etwa 200–250) genannt werden. Die gesamte Dorfbevölkerung (etwa 710 im Jahr 1948) wurde vertrieben; das Land von Deir Yassin wurde später in die Stadtteile Westjerusalems eingemeindet. Keiner der Täter wurde strafrechtlich verfolgt; Irgun-Kommandant Menachem Begin wurde später Ministerpräsident (1977–1983).","Deir Yassin (Dayr Yasin), Jerusalem, Britisches Mandatsgebiet Palästina","Stadtteil Givat Shaul, Westjerusalem, Israel, Dorf abgerissen; Gelände in israelische Wohngebiete integriert",Kriegsverbrechen (Haager Übereinkommen von 1907); Verbrechen gegen die Menschlichkeit (moderne)
hist002,hist002,Massaker,"Arabisch-Israelischer Krieg von 1948, Küstenoperationen","Am 22. und 23. Mai 1948 griff die Alexandroni-Brigade der Hagana (spätere israelische Armee) das palästinensische Küstendorf Tantura an. Das Dorf hatte etwa 1.500 Einwohner und war für seine Fischerei bekannt. Trotz Kapitulationsversuchen und dem Hissen weißer Flaggen durchsuchten israelische Streitkräfte die Häuser, trennten Männer von Frauen und Kindern und exekutierten die männlichen Dorfbewohner. Schätzungsweise 200 bis 250 palästinensische Männer wurden nach der Kapitulation des Dorfes systematisch hingerichtet. Die Leichen wurden in mehreren Massengräbern verscharrt, darunter eines unter dem heutigen Parkplatz von Dor Beach. Das Massaker blieb weitgehend unbekannt, bis der israelische Student Teddy Katz es 1998 durch Interviews mit palästinensischen Überlebenden und beteiligten israelischen Soldaten dokumentierte. Trotz anfänglicher Bestätigung durch Veteranen wurde Katz wegen Verleumdung verklagt und unter Druck gesetzt, eine „Entschuldigung“ zu unterzeichnen (die er später zurückzog). Die israelischen Behörden weigern sich bis heute, die Massengräber auszuheben oder offizielle Ermittlungen einzuleiten. Keiner der Täter wurde strafrechtlich verfolgt. Das Dorf wurde abgerissen und auf seinen Ruinen wurde der Kibbuz Nahsholim errichtet.","Tantura (Al-Tantura), Britisches Mandatsgebiet Palästina, Bezirk Haifa","Dor Beach-Gebiet, Bezirk Haifa, Israel; Kibbuz Nahsholim auf Dorfruinen errichtet; Parkplatz am Dor Beach über einem Massengrab; Dorf abgerissen; Massengräber unberührt",Kriegsverbrechen (Haager Übereinkommen von 1907); Verbrechen gegen die Menschlichkeit (moderne)
hist003,hist003,"Massaker, Zwangsvertreibung, Todesmarsch","Operation Dani, Arabisch-Israelischer Krieg von 1948","Vom 9. bis 13. Juli 1948 eroberten israelische Streitkräfte im Rahmen der Operation Dani unter dem Kommando von Yigal Allon (mit Jitzchak Rabin als Stellvertreter) Lydda und Ramle. In Lydda wurden bei stadtweiten Schießereien Hunderte Zivilisten getötet; allein das Massaker an der Dahmash-Moschee forderte 70 bis über 250 Menschenleben (die Schätzungen variieren). Das 89. Bataillon von Moshe Dayan war an den Bodenoperationen beteiligt. Unmittelbar nach der Einnahme wurden die Vertreibungsbefehle vollstreckt: Die gesamte palästinensische Bevölkerung beider Städte – etwa 50.000 bis 70.000 Menschen, darunter auch Flüchtlinge – wurde gezwungen, in der brütenden Julihitze zu Fuß nach Ramallah zu marschieren. Dieser Todesmarsch forderte zahlreiche Todesopfer durch Durst, Hitzschlag und Entbehrungen; Überlebende berichteten von sterbenden Säuglingen, Menschen, die Gras kauten, um ihren Durst zu stillen, und Soldaten, die ihnen den Zugang zu Wasser verwehrten. Die Gesamtzahl der Todesopfer wird auf 400 bis 1.000 geschätzt (einschließlich der Tötungen in den Städten und der Todesfälle auf dem Marsch). Keiner der Täter wurde strafrechtlich verfolgt. Allon wurde stellvertretender Ministerpräsident; Rabin wurde Ministerpräsident und Friedensnobelpreisträger (1994); Dayan wurde Verteidigungs- und Außenminister. Rabins Memoirenpassagen, in denen er die Ausweisung beschrieb, wurden 1979 zensiert, später jedoch wieder freigegeben.","Lydda (Al-Lydd) und Ramle (Al-Ramla), britisches Mandatsgebiet Palästina (unter israelischer Besatzung vom 11. bis 12. Juli 1948)","Lod und Ramla, Zentralbezirk, Israel; Städte umbenannt und neu besiedelt; kleine palästinensische Minderheit verbleibt",Kriegsverbrechen; Verbrechen gegen die Menschlichkeit; Ethnische Säuberung (Nakba)
hist004,hist004,Massaker,Jordanisch kontrolliertes Westjordanland,"Das Massaker von Qibya ereignete sich in einer Zeit erhöhter Spannungen entlang der Waffenstillstandslinie zwischen Jordanien und Israel. Nach der Ermordung einer israelischen Frau und ihrer beiden Kinder am 12. Oktober 1953 in Yehud startete Israel die „Operation Shoshana“ – einen großangelegten Vergeltungsangriff auf das jordanische Dorf Qibya. Die Einheit 101 unter dem Kommando des 25-jährigen Majors Ariel Sharon griff mit etwa einem halben Bataillon Soldaten an. Nach einem Mörserbeschuss zerstörten Sprengkommandos systematisch Häuser mit den Bewohnern darin mithilfe von Sprengstoff und Handgranaten. Sharon schrieb später, die Operation habe „ein Exempel für alle“ statuieren sollen und den Befehl gehabt, „maximal viele Menschen zu töten und Eigentum zu zerstören“. Die Gemischte Waffenstillstandskommission der Vereinten Nationen verurteilte den Angriff als Bruch des Waffenstillstandsabkommens zwischen Israel und Jordanien. Der UN-Sicherheitsrat verabschiedete die Resolution 101, in der er die Tat aufs Schärfste verurteilte. Das US-Außenministerium nannte den Angriff „schockierend“ und setzte die Wirtschaftshilfe für Israel aus. Trotz internationaler Verurteilung wurde kein Täter strafrechtlich verfolgt.","Qibya (Qibyā), Jordanisches Westjordanland","Qibya, Westjordanland, Palästinensische Gebiete; Dorf wiederaufgebaut; seit 1967 unter israelischer Besatzung",Kriegsverbrechen; Verbrechen gegen die Menschlichkeit (UNSC-Resolution 101)
hist005,hist005,Massaker,Während der israelischen Besetzung des Gazastreifens in der Suez-Krise,"Im Oktober/November 1956 startete Israel in Abstimmung mit Frankreich und Großbritannien die Operation Kadesch im Zuge der Sueskrise und der Invasion Ägyptens. Israelische Streitkräfte besetzten rasch den Gazastreifen und die Sinai-Halbinsel. Während der Besetzung Gazas führte die israelische Armee systematische „Überprüfungsoperationen“ durch, angeblich um ägyptische Soldaten und palästinensische Kämpfer (Fedajin) zu identifizieren, die nach Israel eingeschleust worden waren. Am 3. November 1956 führte die israelische Armee in Khan Yunis und dem dazugehörigen Flüchtlingslager Massenverhaftungen männlicher Bewohner durch. Im Zuge dieser Überprüfungen, der verhängten Ausgangssperren und willkürlicher Verhaftungen exekutierte israelisches Militärpersonal systematisch Zivilisten. Der UNRWA-Direktor für Gaza-Angelegenheiten erstellte detaillierte Opferlisten und berichtete der UN-Generalversammlung, dass 275 Männer in Khan Yunis und 111 im nahegelegenen Rafah getötet worden seien. Palästinensische Quellen dokumentierten 415 Tote und 57 Vermisste. Zu den Methoden gehörten Erschießungen während der Ausgangssperre, Hinrichtungen nach Überprüfungen und willkürliche Tötungen. Die Leichen wurden in Massengräbern verscharrt, auch auf den Straßen von Khan Yunis. Das UNRWA übermittelte Namen, Alter und Todesumstände der verifizierten Opfer. Trotz internationaler Dokumentation und UN-Berichten wurde kein israelisches Personal strafrechtlich verfolgt. Israel zog sich im März 1957 unter internationalem Druck, insbesondere seitens der Vereinigten Staaten und der Sowjetunion, aus dem Gazastreifen zurück.","Khan Yunis (Khān Yūnis), von Ägypten verwalteter Gazastreifen","Khan Yunis, Gazastreifen, Palästina; Großstadt; im Konflikt 2023–2024 schwer beschädigt.",Kriegsverbrechen; Verbrechen gegen die Menschlichkeit (UNRWA/UN GA Doc A/3512)
hist006,hist006,Massenverschiebung,"Sechstagekrieg (Israel gegen Ägypten, Jordanien, Syrien)","Der Sechstagekrieg brach am 5. Juni 1967 aus, als Israel ägyptische Flugplätze angriff und anschließend Bodenoperationen durchführte. Innerhalb von sechs Tagen besetzte Israel den ägyptisch kontrollierten Gazastreifen und die Sinai-Halbinsel, das jordanisch kontrollierte Westjordanland und Ostjerusalem sowie die syrischen Golanhöhen. Der rasche israelische Sieg veränderte den israelisch-palästinensischen Konflikt grundlegend, indem er das gesamte historische Palästina unter israelische Kontrolle brachte. Unmittelbar nach Kriegsende begann eine Massenvertreibung. Als die israelischen Streitkräfte ins Westjordanland vorrückten, breitete sich unter den Palästinensern, die sich an die Nakba von 1948 erinnerten, Panik aus. Schätzungen zufolge flohen oder wurden zwischen 280.000 (israelische Quellen) und über 400.000 (palästinensische und UN-Quellen) vertrieben. Etwa 175.000 von ihnen waren Flüchtlinge aus dem Jahr 1948, die nun ein zweites Mal vertrieben wurden. Die Vertreibung war nicht allein eine Folge der Kampfhandlungen – die israelischen Behörden erließen Militärbefehle, die die Rückkehr verhinderten, und zerstörten systematisch ganze Dörfer. Drei Dörfer in der Region Latrun (Imwas, Yalo und Beit Nuba) wurden von israelischen Streitkräften vollständig zerstört, ihre 10.000 Einwohner vertrieben. In der Jerusalemer Altstadt wurde das marokkanische Viertel wenige Tage nach der Besetzung dem Erdboden gleichgemacht, um einen Platz an der Klagemauer zu schaffen. Die Resolution 242 des UN-Sicherheitsrates forderte den „Rückzug der israelischen Streitkräfte aus den besetzten Gebieten“ und eine „gerechte Lösung der Flüchtlingsfrage“, doch Israel hält die Besatzung seit über 55 Jahren aufrecht. Die Vertreibung von 1967 und die darauffolgende Besetzung schufen den Rahmen für den aktuellen israelisch-palästinensischen Konflikt.","Westjordanland, Gazastreifen, Golanhöhen, Sinai-Halbinsel, Jordanisches Westjordanland, Ägyptischer Gazastreifen, Syrische Golanhöhen, Ägyptischer Sinai","Besetzte palästinensische Gebiete; annektierte Golanhöhen, Westjordanland und Gazastreifen seit 1967 unter israelischer Besatzung; Ostjerusalem annektiert; Golanhöhen 1981 annektiert; andauernde militärische Besetzung; die UN erkennt die Gebiete als besetzt an",Kriegsverbrechen; Verstöße gegen das humanitäre Völkerrecht; unrechtmäßige Besetzung (UNSC-Resolution 242)
hist007,hist007,Massaker,"Während der israelischen Besetzung Westbeiruts, Libanonkrieg","Das Massaker von Sabra und Schatila ereignete sich während Israels Invasion im Libanon 1982 („Operation Frieden für Galiläa“). Nach der Ermordung des libanesischen Präsidenten Bachir Gemayel am 14. September 1982 befahl der israelische Verteidigungsminister Ariel Scharon den israelischen Streitkräften, Westbeirut zu besetzen, angeblich um die Ordnung aufrechtzuerhalten. Am 16. September autorisierte Scharon libanesische Phalangistenmilizen, in die palästinensischen Flüchtlingslager Sabra und Schatila einzudringen, angeblich um die verbliebenen PLO-Kämpfer „auszuschalten“ – obwohl die PLO-Truppen die Lager bereits Wochen zuvor im Rahmen eines internationalen Abkommens verlassen hatten. Etwa 40 Stunden lang (16.–18. September) töteten Phalangistenmilizen systematisch palästinensische Zivilisten, darunter Frauen, Kinder und ältere Menschen. Israelische Streitkräfte umstellten die Lager, kontrollierten alle Ein- und Ausgänge, leisteten logistische Unterstützung und setzten die ganze Nacht über Leuchtraketen ein, sodass die Tötungen auch nach Einbruch der Dunkelheit fortgesetzt werden konnten. Israelische Kommandeure erhielten Berichte über Massaker an Zivilisten, griffen aber nicht ein. Zu den Methoden gehörten Erschießen, Messerstechereien, Enthauptungen und Verstümmelungen. Die Leichen wurden in Massengräbern verscharrt oder auf den Straßen liegen gelassen. Die genaue Zahl der Todesopfer ist weiterhin umstritten. Die offizielle libanesische Untersuchung dokumentierte etwa 800 Tote; der Palästinensische Rote Halbmond schätzte die Zahl auf 3.500; verschiedene internationale Quellen nennen 2.000 bis 3.500. Die israelische Kahan-Kommission untersuchte den Fall und befand Verteidigungsminister Sharon für das Massaker persönlich verantwortlich. Sie empfahl seine Absetzung. Sharon trat als Verteidigungsminister zurück, blieb aber ohne Geschäftsbereich im Kabinett und diente später als israelischer Ministerpräsident (2001–2006). Mehrere internationale Versuche, ihn strafrechtlich zu verfolgen, scheiterten.","Flüchtlingslager Sabra und Shatila, Beirut, Libanon (unter israelischer Militärkontrolle)","Sabra und Shatila, Beirut, Libanon; Lager existieren noch immer; Gedenkstätten wurden errichtet",Kriegsverbrechen; Verbrechen gegen die Menschlichkeit; Völkermord (UNSC-Resolution 521; Kahan-Kommission)
hist008,hist008,Massenhafte Opferzahlen / Aufstand,Palästinensischer Aufstand gegen 20-jährige israelische Besatzung,"Am 8. Dezember 1987 kollidierte ein israelischer Armeelastwagen am Kontrollpunkt Erez im Gazastreifen mit zivilen Fahrzeugen. Dabei starben vier palästinensische Arbeiter aus dem Flüchtlingslager Jabalia. Die Palästinenser vermuteten, es handele sich um eine gezielte Vergeltungsaktion für den Tod eines Israelis, der zwei Tage zuvor in Gaza erstochen worden war. Am folgenden Tag, dem 9. Dezember, brachen in Jabalia Massenproteste aus. Als der 17-jährige Hatem al-Sisi von israelischen Soldaten erschossen wurde, breitete sich der Aufstand innerhalb weniger Tage in Gaza, Ostjerusalem und dem Westjordanland aus. Was als spontane Proteste begonnen hatte, entwickelte sich zu einem organisierten, anhaltenden zivilen Widerstand, koordiniert von Basiskomitees und später von der Vereinten Nationalen Führung des Aufstands (UNLU). Die Intifada war geprägt von weitgehend gewaltlosen Taktiken: Generalstreiks, Steuerverweigerung, Boykott israelischer Produkte und ziviler Ungehorsam. Palästinensische Jugendliche konfrontierten israelische Soldaten mit Steinen und Molotowcocktails. Die israelische Reaktion war brutal. Verteidigungsminister Jitzchak Rabin befahl den Einsatz von Gewalt und Schlägen sowie das Brechen von Knochen bei Demonstranten. Soldaten schlugen systematisch auf Protestierende ein, feuerten mit scharfer Munition auf Steinewerfer und setzten massiv Tränengas ein. Allein im ersten Jahr töteten israelische Streitkräfte mindestens 300 Palästinenser und verletzten Zehntausende. Bis 1990 stieg die Zahl der Todesopfer auf über 1.000. Der Aufstand forderte einen enormen Blutzoll: 1.087 bis 1.284 getötete Palästinenser (darunter 241 bis 332 Kinder), über 120.000 Verletzte, etwa 20.000 Verhaftete allein im ersten Jahr (Schätzungen gehen von insgesamt 120.000 Verhafteten über sechs Jahre aus), 2.532 zerstörte Häuser und 481 deportierte Palästinenser. Etwa 160 bis 200 Israelis (Soldaten und Zivilisten) wurden im gleichen Zeitraum getötet. Die internationale Verurteilung ließ nicht lange auf sich warten – der UN-Sicherheitsrat verurteilte Israels Reaktion, und selbst die Reagan-Regierung kritisierte die „harten Sicherheitsmaßnahmen und den übermäßigen Einsatz von scharfer Munition“. Die Intifada erzwang die Anerkennung der palästinensischen nationalen Bestrebungen, führte zur Madrider Konferenz (1991) und zu geheimen Osloer Verhandlungen, die im September 1993 in den Oslo-Abkommen gipfelten, welche die Palästinensische Autonomiebehörde schufen und einen künftigen Staat versprachen – obwohl diese Versprechen auch über 30 Jahre später noch nicht eingelöst wurden.","Westjordanland, Gazastreifen, Ostjerusalem, seit 1967 von Israel besetzte palästinensische Gebiete","Besetzte palästinensische Gebiete, Westjordanland unter israelischer Militärbesatzung; Gazastreifen seit 2007 blockiert, andauernde Besatzung; die Erste Intifada führte zu den Oslo-Abkommen und zur Gründung der Palästinensischen Autonomiebehörde",Massenhafte Opferzahlen / Aufstand
hist009,hist009,Massaker / Massenerschießung,"Ramadan 1994, im Anschluss an die Oslo-Abkommen (September 1993)","Baruch Goldstein wurde 1956 als Benjamin Carl Goldstein in Brooklyn, New York, in eine orthodox-jüdische Familie geboren. In den 1970er Jahren gehörte er zu den Gründungsmitgliedern der Jewish Defense League (JDL), einer von Rabbi Meir Kahane gegründeten militanten Organisation. Nach seinem Abschluss am Albert Einstein College of Medicine der Yeshiva University emigrierte Goldstein 1983 nach Israel. Er diente als Arzt in den israelischen Streitkräften und ließ sich später in Kiryat Arba nieder, einer Siedlung von Extremisten in der Nähe von Hebron. Goldstein war aktives Mitglied von Kach, Kahanes ultranationalistischer Partei, und kandidierte 1984 auf deren Liste für die Knesset-Wahlen. Laut israelischen Medienberichten weigerte sich Goldstein, Araber zu behandeln, selbst arabische Soldaten der israelischen Streitkräfte, da er die Behandlung von Nichtjuden als Verstoß gegen das jüdische Religionsgesetz ansah. Er verglich Israels Demokratie mit dem Nationalsozialismus und trug aus Protest einen gelben Stern mit der Aufschrift „JUDE“. In den Wochen vor dem Massaker äußerte Goldstein bedrohliche Äußerungen und war in gewalttätige Vorfälle in der Moschee verwickelt, unter anderem durch das Übergießen von Teppichen mit Säure. Die palästinensischen Behörden warnten Premierminister Rabin in einem Brief vor Goldsteins gefährlichem Verhalten, doch es wurden keine Maßnahmen ergriffen. Am Morgen des 25. Februar 1994, dem 15. Tag des Ramadan, bemerkten Gläubige die ungewöhnliche Abwesenheit israelischer Soldaten an ihren üblichen Positionen rund um die Ibrahimi-Moschee, trotz der Spannungen am Vorabend. Gegen 5:30 Uhr, als Imam Khalil Muhsen Jabari Hunderte zum Fajr-Gebet (Morgengebet) leitete, betrat Goldstein die Isaak-Halle – den Hauptgebetsraum – in seiner Uniform der israelischen Verteidigungsreserve und bewaffnet mit einem Galil-Sturmgewehr und einer Pistole. Er positionierte sich hinter einer Säule im hinteren Teil der Halle. Als die Gläubigen sich niederwarfen (Sujud-Position), eröffnete Goldstein das Feuer. Er lud mehrmals nach und erschoss systematisch die gefangenen und wehrlosen Gläubigen. Überlebende berichten, dass die Schießerei zehn Minuten andauerte. Einige Augenzeugen behaupteten, weitere Bewaffnete gesehen zu haben, was israelische Ermittlungen jedoch dementierten. Als die Gläubigen Goldstein schließlich überwältigten, schlugen sie ihn zu Tode. Zu diesem Zeitpunkt lagen bereits 29 Palästinenser tot am Boden – darunter Kinder im Alter von nur elf Jahren – und 125 waren verletzt. Das Grauen endete nicht mit der Schießerei. Israelische Soldaten, die sich in der Moschee befanden, schlossen die Tore und schlossen die Überlebenden mit den Toten und Verwundeten ein, sodass keine medizinische Hilfe eintreffen konnte. Als die Tore schließlich geöffnet wurden, eröffneten israelische Streitkräfte das Feuer auf die Demonstranten vor dem Gebäude und töteten weitere Palästinenser. In den folgenden drei Wochen, als sich die Nachricht von dem Massaker verbreitete, kam es in Hebron und im Westjordanland zu palästinensischen Unruhen. Israelische Streitkräfte töteten bei diesen Protesten mindestens 25 weitere Palästinenser, auch bei den Beerdigungen der Opfer. Die Gesamtzahl der Todesopfer erreichte 50 bis 60. Israels Reaktion darauf war, die Opfer zu bestrafen: eine sechsmonatige Abriegelung Hebrons; die Einsetzung der einseitigen Schamgar-Kommission, deren Empfehlungen allesamt die Siedler begünstigten; Die Teilung der Ibrahimi-Moschee, wobei 60 % den Juden (die nur 0,003 % der Bevölkerung Hebrons ausmachten) zugesprochen wurden; die Schließung von 520 Betrieben und 1.800 Geschäften in der Altstadt; die Abriegelung der Shuhada-Straße (der Hauptgeschäftsstraße); und ein Netz von Militärkontrollpunkten, das das Leben der Palästinenser erstickte. Das Massaker erreichte Goldsteins Ziel: Es verhinderte zwar nicht das Oslo-Abkommen, verwandelte Hebron aber in eine Stadt, die wie gelähmt war, die Altstadt in eine Geisterstadt, die palästinensische Bevölkerung täglichen Demütigungen ausgesetzt, während einige hundert extremistische Siedler unter schwerem Militärschutz lebten.","Al-Ibrahimi-Moschee (Höhle der Patriarchen), Hebron, Westjordanland, israelisch besetztes Westjordanland; Hebron unter israelischer Militärkontrolle (H2-Gebiet)","Die Altstadt von Hebron im Westjordanland (H2-Gebiet) steht seit dem Hebron-Protokoll von 1997 unter vollständiger israelischer Militärkontrolle. Die Ibrahimi-Moschee ist seit dem Massaker zu 60 % für Juden und zu 40 % für Muslime aufgeteilt. Die Altstadt ist durch Checkpoints, Abriegelungen und Siedlergewalt stark eingeschränkt.",Kriegsverbrechen; Verbrechen gegen die Menschlichkeit; Staatenverantwortung (UNSC-Resolution 904)
hist010,hist010,Bewaffneter Aufstand / Massenhafte Opfer,Scheitern der Camp-David-Friedensgespräche; Ariel Sharons provokanter Besuch auf dem Tempelberg,"Auslöser der Zweiten Intifada war Ariel Sharons Besuch des Tempelbergs/Haram al-Sharif am 28. September 2000 in Begleitung von 1.000 israelischen Polizisten. Die Palästinenser werteten dies als bewusste Provokation an einem der heiligsten Orte des Islam durch eine Person, die sie mit Massakern der Vergangenheit (Sabra und Schatila 1982, Qibya 1953) in Verbindung brachten. Unmittelbar brachen Proteste aus. Am darauffolgenden Tag, dem 29. September (einem Freitag), eröffnete die israelische Polizei nach dem Gebet in der Al-Aqsa-Moschee das Feuer auf palästinensische Demonstranten. Sieben Menschen starben, über 300 wurden verletzt. Bis zum 1. Oktober hatte sich die Gewalt in den besetzten Gebieten und in Israel ausgebreitet. Dreizehn palästinensische Staatsbürger Israels wurden bei Protesten innerhalb Israels von der israelischen Polizei erschossen. Innerhalb von zwei Wochen kamen 100 Palästinenser und 10 Israelis ums Leben. Die tieferen Ursachen des Aufstands lagen im Scheitern des Oslo-Friedensprozesses: Sieben Jahre nach Oslo lebten die Palästinenser weiterhin unter Besatzung, die Siedlungen hatten sich verdoppelt, die Bewegungseinschränkungen hatten zugenommen, und die Selbstbestimmung eines Staates schien ferner denn je. Anders als die Steinwürfe und der zivile Ungehorsam der Ersten Intifada eskalierte die Zweite Intifada rasch zu einem bewaffneten Konflikt. Palästinensische militante Gruppen – Hamas, Islamischer Dschihad, Al-Aqsa-Märtyrerbrigaden (mit der Fatah verbunden) und PFLP – verübten verheerende Selbstmordattentate auf israelische Zivilisten in Bussen, Restaurants, auf Märkten und in Nachtclubs. Der Höhepunkt wurde im März 2002 mit dem Massaker im Park Hotel in Netanya während des Pessachfestes erreicht (30 Tote), was Israels großangelegte Operation „Schutzschild“ auslöste. Israel reagierte mit überwältigender militärischer Gewalt: Kampfhubschrauber, F-16-Kampfjets, Panzer und Bulldozer wurden in dicht besiedelten palästinensischen Gebieten eingesetzt. Gezielte Angriffe mit Hubschrauberraketen töteten oft Unbeteiligte. Ganze Städte wurden monatelang unter Ausgangssperre gestellt. Die Belagerung des Flüchtlingslagers Jenin im Jahr 2002 wurde zum Symbol: Israelische Streitkräfte zerstörten über 140 Gebäude, töteten 52 Palästinenser (darunter 23 Zivilisten) und sahen sich internationalen Vorwürfen von Kriegsverbrechen ausgesetzt. Bis zum Ende der Zweiten Intifada Ende 2005 waren die Folgen katastrophal: 3.223–4.789 getötete Palästinenser (darunter über 700 Kinder, 47 % Zivilisten); 1.024–1.100 getötete Israelis (darunter über 300 Kinder, 64 % Zivilisten); über 45.000 verletzte Palästinenser; über 7.500 verletzte Israelis; etwa 40.000–50.000 inhaftierte Palästinenser; und massive Zerstörung der Infrastruktur. Israel zog sich im August 2005 einseitig aus dem Gazastreifen zurück und beschleunigte gleichzeitig den Siedlungsbau im Westjordanland. Die Trennmauer wurde errichtet – vom Internationalen Gerichtshof für illegal erklärt – und konfiszierte Tausende Hektar palästinensischen Landes. Die Zweite Intifada zerstörte die letzten Reste des Friedensprozesses, verfestigte die Besatzung, stärkte die Hamas und führte zur Belagerung des Gazastreifens. Sie etablierte Muster, die bis heute fortbestehen: Palästinensischer Widerstand wird mit unverhältnismäßiger israelischer Gewalt beantwortet; Selbstmordattentate werden als Rechtfertigung für Kollektivstrafen genutzt; ein ausgehandelter Frieden gilt als unmöglich. Die menschlichen Kosten waren auf beiden Seiten immens, doch das politische Ergebnis war eindeutig: Die israelische Kontrolle vertiefte sich, während die palästinensische Freiheit weiter eingeschränkt wurde.","Westjordanland, Gazastreifen, Israel, israelisch besetzte palästinensische Gebiete und Israel selbst","Besetzte palästinensische Gebiete und Israel, Westjordanland unter israelischer Militärbesatzung mit eingeschränkter Kontrolle durch die Palästinensische Autonomiebehörde; Gazastreifen unter Blockade; die Zweite Intifada führte 2005 zum israelischen Rückzug aus Gaza, zum Bau der Sperranlage und zum Scheitern des Friedensprozesses",Kriegsverbrechen; Verstöße gegen das humanitäre Völkerrecht (UN-Sonderberichterstatter; Human Rights Watch; Amnesty International)
