detail_id,event_id,event_name,category,order,time,heading_label,value,content,source,source_link
DET-001,curr_001,Al-Ahli Baptist Hospital Strike,war_crime,1,,Attack on medical facility,,,,
DET-002,curr_001,Al-Ahli Baptist Hospital Strike,war_crime,2,,Targeting of protected site,,,,
DET-003,curr_001,Al-Ahli Baptist Hospital Strike,war_crime,3,,Civilian deaths,,,,
DET-004,curr_001,Al-Ahli Baptist Hospital Strike,war_crime,4,,Attack on displaced persons,,,,
DET-005,curr_001,Al-Ahli Baptist Hospital Strike,source,1,,,,Gaza Health Ministry,Gaza Health Ministry,
DET-006,curr_001,Al-Ahli Baptist Hospital Strike,source,2,,,,Human Rights Watch Investigation,Human Rights Watch Investigation,
DET-007,curr_001,Al-Ahli Baptist Hospital Strike,source,3,,,,UN OCHA,UN OCHA,
DET-008,curr_001,Al-Ahli Baptist Hospital Strike,source,4,,,,Multiple witness testimonies,Multiple witness testimonies,
DET-009,curr_002,Jabalia Refugee Camp Bombardment (First Strike),war_crime,1,,Disproportionate attack,,,,
DET-010,curr_002,Jabalia Refugee Camp Bombardment (First Strike),war_crime,2,,Targeting civilians,,,,
DET-011,curr_002,Jabalia Refugee Camp Bombardment (First Strike),war_crime,3,,Collective punishment,,,,
DET-012,curr_002,Jabalia Refugee Camp Bombardment (First Strike),war_crime,4,,Destruction of civilian homes,,,,
DET-013,curr_002,Jabalia Refugee Camp Bombardment (First Strike),source,1,,,,UN OCHA,UN OCHA,
DET-014,curr_002,Jabalia Refugee Camp Bombardment (First Strike),source,2,,,,Human Rights Watch,Human Rights Watch,
DET-015,curr_002,Jabalia Refugee Camp Bombardment (First Strike),source,3,,,,Gaza Civil Defense,Gaza Civil Defense,
DET-016,curr_002,Jabalia Refugee Camp Bombardment (First Strike),source,4,,,,Multiple news agencies,Multiple news agencies,
DET-017,curr_003,Flour Massacre - Al-Rashid Street,war_crime,1,,Targeting civilians,,,,
DET-018,curr_003,Flour Massacre - Al-Rashid Street,war_crime,2,,Firing on aid recipients,,,,
DET-019,curr_003,Flour Massacre - Al-Rashid Street,war_crime,3,,Starvation as weapon of war,,,,
DET-020,curr_003,Flour Massacre - Al-Rashid Street,war_crime,4,,Mass killing,,,,
DET-021,curr_003,Flour Massacre - Al-Rashid Street,source,1,,,,UN OCHA,UN OCHA,
DET-022,curr_003,Flour Massacre - Al-Rashid Street,source,2,,,,Gaza Health Ministry,Gaza Health Ministry,
DET-023,curr_003,Flour Massacre - Al-Rashid Street,source,3,,,,Euro-Med Human Rights Monitor,Euro-Med Human Rights Monitor,
DET-024,curr_003,Flour Massacre - Al-Rashid Street,source,4,,,,Video evidence,Video evidence,
DET-025,curr_004,UNRWA School Strikes,war_crime,1,,Attacks on UN facilities,,,,
DET-026,curr_004,UNRWA School Strikes,war_crime,2,,Targeting of protected sites,,,,
DET-027,curr_004,UNRWA School Strikes,war_crime,3,,Attacks on displaced persons,,,,
DET-028,curr_004,UNRWA School Strikes,war_crime,4,,Civilian casualties,,,,
DET-029,curr_004,UNRWA School Strikes,source,1,,,,UNRWA Official Statements,UNRWA Official Statements,
DET-030,curr_004,UNRWA School Strikes,source,2,,,,UN Secretary-General Reports,UN Secretary-General Reports,
DET-031,curr_004,UNRWA School Strikes,source,3,,,,Human Rights Watch,Human Rights Watch,
DET-032,curr_005,Mass Graves Discovery at Nasser Hospital,war_crime,1,,Extrajudicial executions,,,,
