detail_id,_anchor,event_id,heading_label_ar,content_ar
DET-1326,DET-001,curr_001,هجوم على منشأة طبية,
DET-1327,DET-002,curr_001,استهداف الموقع المحمي,
DET-1328,DET-003,curr_001,وفيات المدنيين,
DET-1329,DET-004,curr_001,هجوم على النازحين,
DET-1330,DET-005,curr_001,,وزارة الصحة في غزة
DET-1331,DET-006,curr_001,,تحقيق أجرته منظمة هيومن رايتس ووتش
DET-1332,DET-007,curr_001,,مكتب الأمم المتحدة لتنسيق الشؤون الإنسانية
DET-1333,DET-008,curr_001,,شهادات متعددة من شهود عيان
DET-1334,DET-009,curr_002,هجوم غير متناسب,
DET-1335,DET-010,curr_002,استهداف المدنيين,
DET-1336,DET-011,curr_002,العقاب الجماعي,
DET-1337,DET-012,curr_002,تدمير منازل المدنيين,
DET-1338,DET-013,curr_002,,مكتب الأمم المتحدة لتنسيق الشؤون الإنسانية
DET-1339,DET-014,curr_002,,هيومن رايتس ووتش
DET-1340,DET-015,curr_002,,الدفاع المدني في غزة
DET-1341,DET-016,curr_002,,وكالات أنباء متعددة
DET-1342,DET-017,curr_003,استهداف المدنيين,
DET-1343,DET-018,curr_003,إطلاق النار على متلقي المساعدات,
DET-1344,DET-019,curr_003,التجويع كسلاح حرب,
DET-1345,DET-020,curr_003,مذبحة جماعية,
DET-1346,DET-021,curr_003,,مكتب الأمم المتحدة لتنسيق الشؤون الإنسانية
DET-1347,DET-022,curr_003,,وزارة الصحة في غزة
DET-1348,DET-023,curr_003,,مرصد حقوق الإنسان الأوروبي المتوسطي
DET-1349,DET-024,curr_003,,دليل فيديو
DET-1350,DET-025,curr_004,الهجمات على منشآت الأمم المتحدة,
DET-1351,DET-026,curr_004,استهداف المواقع المحمية,
DET-1352,DET-027,curr_004,الهجمات على النازحين,
DET-1353,DET-028,curr_004,الخسائر في صفوف المدنيين,
DET-1354,DET-029,curr_004,,البيانات الرسمية للأونروا
DET-1355,DET-030,curr_004,,تقارير الأمين العام للأمم المتحدة
DET-1356,DET-031,curr_004,,هيومن رايتس ووتش
DET-1357,DET-032,curr_005,عمليات الإعدام خارج نطاق القضاء,
DET-1358,DET-033,curr_005,تدنيس الموتى,
DET-1359,DET-034,curr_005,حالات الاختفاء القسري,
DET-1360,DET-035,curr_005,جرائم حرب,
DET-1361,DET-036,curr_005,,الدفاع المدني في غزة
DET-1362,DET-037,curr_005,,مكتب الأمم المتحدة لتنسيق الشؤون الإنسانية
DET-1363,DET-038,curr_005,,هيومن رايتس ووتش
DET-1364,DET-039,curr_005,,مرصد حقوق الإنسان الأوروبي المتوسطي
DET-1365,DET-040,curr_006,هجوم على منشأة طبية,
DET-1366,DET-041,curr_006,رفض الرعاية الطبية,
DET-1367,DET-042,curr_006,استهداف الموقع المحمي,
DET-1368,DET-043,curr_006,وفيات المدنيين,
DET-1369,DET-044,curr_006,,من
DET-1370,DET-045,curr_006,,مكتب الأمم المتحدة لتنسيق الشؤون الإنسانية
DET-1371,DET-046,curr_006,,هيومن رايتس ووتش
DET-1372,DET-047,curr_006,,أطباء بلا حدود
DET-1373,DET-048,curr_007,استهداف النازحين,
DET-1374,DET-049,curr_007,استخدام القوة بشكل غير متناسب,
DET-1375,DET-050,curr_007,وفيات المدنيين,
DET-1376,DET-051,curr_007,استخدام الأسلحة الحارقة,
DET-1377,DET-052,curr_007,,مكتب الأمم المتحدة لتنسيق الشؤون الإنسانية
DET-1378,DET-053,curr_007,,وزارة الصحة في غزة
DET-1379,DET-054,curr_007,,هيومن رايتس ووتش
DET-1380,DET-055,curr_007,,دليل فيديو
DET-1381,DET-056,curr_008,استهداف عمال الإغاثة,
DET-1382,DET-057,curr_008,استهداف المركبات المميزة بوضوح,
DET-1383,DET-058,curr_008,جرائم حرب,
DET-1384,DET-059,curr_008,عرقلة المساعدات الإنسانية,
DET-1385,DET-060,curr_008,,بيان من مطبخ وورلد سنترال
DET-1386,DET-061,curr_008,,مجلس الأمن التابع للأمم المتحدة
DET-1387,DET-062,curr_008,,هيومن رايتس ووتش
DET-1388,DET-063,curr_008,,حكومات متعددة
DET-1389,DET-064,curr_009,العقاب الجماعي,
DET-1390,DET-065,curr_009,تدمير البنية التحتية المدنية,
DET-1391,DET-066,curr_009,الإزاحة القسرية,
DET-1392,DET-067,curr_009,جرائم حرب,
DET-1393,DET-068,curr_009,,مكتب الأمم المتحدة لتنسيق الشؤون الإنسانية
DET-1394,DET-069,curr_009,,تحليل صور الأقمار الصناعية
DET-1395,DET-070,curr_009,,هيومن رايتس ووتش
DET-1396,DET-071,curr_009,,مركز الأمم المتحدة للأقمار الصناعية
DET-1397,DET-072,curr_010,التجويع كسلاح حرب,
DET-1398,DET-073,curr_010,الإبادة الجماعية,
DET-1399,DET-074,curr_010,العقاب الجماعي,
DET-1400,DET-075,curr_010,جرائم ضد الإنسانية,
DET-1401,DET-076,curr_010,رفض المساعدات الإنسانية,
DET-1402,DET-077,curr_010,,المقررون الخاصون للأمم المتحدة
DET-1403,DET-078,curr_010,,برنامج الأغذية العالمي
DET-1404,DET-079,curr_010,,هيومن رايتس ووتش
DET-1405,DET-080,curr_010,,مراقبة الإبادة الجماعية
DET-1406,,,,
DET-1407,,,,
DET-1408,,,,
DET-1409,,,,
DET-1410,,,,
DET-1411,,,,
DET-1412,,,,
DET-1413,,,,
DET-1414,,,,
DET-1415,,,,
DET-1416,,,,
DET-1417,,,,
DET-1418,,,,
DET-1419,,,,
DET-1420,,,,
DET-1421,,,,
DET-1422,,,,
DET-1423,,,,
DET-1424,,,,
DET-1425,,,,
DET-1426,,,,
DET-1427,,,,
DET-1428,,,,
DET-1429,,,,
DET-1430,,,,
DET-1431,,,,
DET-1432,,,,
DET-1433,,,,
DET-1434,,,,
DET-1435,,,,
DET-1436,,,,
DET-1437,,,,
DET-1438,,,,
DET-1439,,,,
DET-1440,,,,
DET-1441,,,,
DET-1442,,,,
DET-1443,,,,
DET-1444,,,,
DET-1445,,,,
DET-1446,,,,
DET-1447,,,,
DET-1448,,,,
DET-1449,,,,
DET-1450,,,,
DET-1451,,,,
DET-1452,,,,
DET-1453,,,,
DET-1454,,,,
DET-1455,,,,
DET-1456,,,,
DET-1457,,,,
DET-1458,,,,
DET-1459,,,,
DET-1460,,,,
DET-1461,,,,
DET-1462,,,,
DET-1463,,,,
DET-1464,,,,
DET-1465,,,,
DET-1466,,,,
DET-1467,,,,
DET-1468,,,,
DET-1469,,,,
DET-1470,,,,
DET-1471,,,,
DET-1472,,,,
DET-1473,,,,
DET-1474,,,,
DET-1475,,,,
DET-1476,,,,
DET-1477,,,,
DET-1478,,,,
DET-1479,,,,
DET-1480,,,,
DET-1481,,,,
DET-1482,,,,
DET-1483,,,,
DET-1484,,,,
DET-1485,,,,
DET-1486,,,,
DET-1487,,,,
DET-1488,,,,
DET-1489,,,,
DET-1490,,,,
DET-1491,,,,
DET-1492,,,,
DET-1493,,,,
DET-1494,,,,
DET-1495,,,,
DET-1496,,,,
DET-1497,,,,
DET-1498,,,,
DET-1499,,,,
DET-1500,,,,
DET-1501,,,,
DET-1502,,,,
DET-1503,,,,
