detail_id,_anchor,event_id,heading_label_de,content_de
DET-1326,DET-001,curr_001,Angriff auf medizinische Einrichtung,
DET-1327,DET-002,curr_001,Zielerfassung geschützter Standorte,
DET-1328,DET-003,curr_001,Zivile Todesopfer,
DET-1329,DET-004,curr_001,Angriff auf Vertriebene,
DET-1330,DET-005,curr_001,,Gesundheitsministerium des Gazastreifens
DET-1331,DET-006,curr_001,,Untersuchung von Human Rights Watch
DET-1332,DET-007,curr_001,,UN OCHA
DET-1333,DET-008,curr_001,,Mehrere Zeugenaussagen
DET-1334,DET-009,curr_002,Unverhältnismäßiger Angriff,
DET-1335,DET-010,curr_002,Angriffe auf Zivilisten,
DET-1336,DET-011,curr_002,Kollektivbestrafung,
DET-1337,DET-012,curr_002,Zerstörung von Wohnhäusern,
DET-1338,DET-013,curr_002,,UN OCHA
DET-1339,DET-014,curr_002,,Human Rights Watch
DET-1340,DET-015,curr_002,,Zivilschutz im Gazastreifen
DET-1341,DET-016,curr_002,,Mehrere Nachrichtenagenturen
DET-1342,DET-017,curr_003,Angriffe auf Zivilisten,
DET-1343,DET-018,curr_003,Schüsse auf Hilfsempfänger,
DET-1344,DET-019,curr_003,Hunger als Kriegswaffe,
DET-1345,DET-020,curr_003,Massenmorden,
DET-1346,DET-021,curr_003,,UN OCHA
DET-1347,DET-022,curr_003,,Gesundheitsministerium des Gazastreifens
DET-1348,DET-023,curr_003,,EuroMed Menschenrechtsmonitor
DET-1349,DET-024,curr_003,,Videobeweis
DET-1350,DET-025,curr_004,Angriffe auf UN-Einrichtungen,
DET-1351,DET-026,curr_004,Gefährdung von Schutzgebieten,
DET-1352,DET-027,curr_004,Angriffe auf Vertriebene,
DET-1353,DET-028,curr_004,Zivile Opfer,
DET-1354,DET-029,curr_004,,Offizielle Stellungnahmen des UNRWA
DET-1355,DET-030,curr_004,,Berichte des UN-Generalsekretärs
DET-1356,DET-031,curr_004,,Human Rights Watch
DET-1357,DET-032,curr_005,Außergerichtliche Hinrichtungen,
DET-1358,DET-033,curr_005,Schändung der Toten,
DET-1359,DET-034,curr_005,Verschwindenlassen,
DET-1360,DET-035,curr_005,Kriegsverbrechen,
DET-1361,DET-036,curr_005,,Zivilschutz im Gazastreifen
DET-1362,DET-037,curr_005,,UN OCHA
DET-1363,DET-038,curr_005,,Human Rights Watch
DET-1364,DET-039,curr_005,,EuroMed Menschenrechtsmonitor
DET-1365,DET-040,curr_006,Angriff auf medizinische Einrichtung,
DET-1366,DET-041,curr_006,Verweigerung der medizinischen Versorgung,
DET-1367,DET-042,curr_006,Ziel: Geschützte Website,
