id,event_name,event_type,date_start,date_end,date_context,deaths,injured,forced_displacement,location_lat,location_lng,location_historical,location_current,perpetrators,classification,last_updated,author,summary_para_1,summary_para_2,summary_para_3,submission_id,added_by,reviewed_by
curr_001,Al-Ahli Baptist Hospital Strike,Hospital Attack,2023-10-17,2023-10-17,Current genocide (2023 to present),471,342,0,31.5123,34.4545,"Al-Ahli Arab Hospital, Gaza City","Al-Ahli Arab Hospital, Gaza City",Israeli Airstrikes (disputed),,,aliattia02,Explosion at Al-Ahli Baptist Hospital compound where thousands of displaced Palestinians were sheltering. Massive casualties in hospital courtyard.,,,,,
curr_002,Jabalia Refugee Camp Bombardment (First Strike),Refugee Camp Attack,2023-10-31,2023-10-31,Current genocide (2023 to present),195,777,0,31.5333,34.4833,"Jabalia Refugee Camp, North Gaza","Jabalia Refugee Camp, North Gaza",IDF,,,aliattia02,Massive airstrike on densely populated Jabalia refugee camp. Entire residential blocks destroyed. Israel admitted targeting Hamas commander.,,,,,
curr_003,Flour Massacre - Al-Rashid Street,Massacre,2024-02-29,2024-02-29,Current genocide (2023 to present),118,760,0,31.5147,34.4501,"Al-Rashid Street, Gaza City","Al-Rashid Street, Gaza City",IDF,,,aliattia02,Israeli forces opened fire on Palestinians waiting for food aid distribution. Hundreds of civilians killed and injured while trying to obtain flour.,,,,,
curr_004,UNRWA School Strikes,Protected Site Attack,2023-10-15,2023-10-15,Current genocide (2023 to present),450,1200,0,31.5204,34.4668,"Multiple UNRWA Schools, Gaza Strip","Multiple UNRWA Schools, Gaza Strip",IDF,,,aliattia02,Series of attacks on UNRWA schools serving as shelters for displaced Palestinians. Multiple schools hit despite UN coordination with Israeli forces.,,,,,
curr_005,Mass Graves Discovery at Nasser Hospital,Mass Graves,2024-04-22,2024-04-22,Current genocide (2023 to present),392,0,0,31.3459,34.3062,"Nasser Medical Complex, Khan Yunis","Nasser Medical Complex, Khan Yunis",IDF (alleged),,,aliattia02,"Mass graves discovered at Nasser Hospital after Israeli withdrawal. Bodies found with hands tied, evidence of executions. Some bodies taken from hospital by Israeli forces.",,,,,
curr_006,Al-Shifa Hospital Siege,Hospital Siege,2023-11-11,2023-11-11,Current genocide (2023 to present),200,500,0,31.5019,34.4561,"Al-Shifa Hospital, Gaza City","Al-Shifa Hospital, Gaza City",IDF,,,aliattia02,"Israeli forces besieged Gaza's largest hospital, cutting off power and water. Patients died due to lack of medical care. Hospital raided despite being protected under international law.",,,,,
curr_007,Rafah Tent Camp Massacre,Massacre,2024-05-26,2024-05-26,Current genocide (2023 to present),45,200,0,31.289,34.2505,"Displacement Camp, Rafah","Displacement Camp, Rafah",IDF,,,aliattia02,Israeli airstrike on tent camp sheltering displaced Palestinians in Rafah. Many victims burned alive in their tents. Israel claimed targeting Hamas operatives.,,,,,
curr_008,World Central Kitchen Workers Killing,Aid Workers Killing,2024-04-01,2024-04-01,Current genocide (2023 to present),7,0,0,31.4181,34.3517,"Deir al-Balah, Central Gaza","Deir al-Balah, Central Gaza",IDF,,,aliattia02,Israeli forces targeted and killed seven World Central Kitchen aid workers in three consecutive strikes on clearly marked vehicles. International outcry followed.,,,,,
curr_009,Gaza City Systematic Destruction,Urban Destruction,2023-10-27,2023-10-27,Current genocide (2023 to present),5000,12000,800000,31.5204,34.4668,Gaza City,Gaza City,IDF,,,aliattia02,Systematic destruction of entire neighborhoods in Gaza City. Thousands of buildings reduced to rubble. Mass displacement of population.,,,,,
curr_010,Starvation Genocide - Northern Gaza Blockade,Starvation Warfare,2024-10-01,2024-10-01,Current genocide (2023 to present),169,0,0,31.55,34.4833,Northern Gaza Strip,Northern Gaza Strip,IDF; Israeli Government,,,aliattia02,"Complete blockade of northern Gaza including Jabalia, Beit Hanoun, and Beit Lahiya. No food, water, or medical supplies allowed. Use of starvation as method of warfare.",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
