id,_anchor,event_type_ar,date_context_ar,brief_summary_ar,location_historical_ar,location_current_ar,classification_ar
#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
curr_001,curr_001,هجوم على المستشفى,الإبادة الجماعية الحالية (من عام 2023 حتى الآن),انفجار في مجمع مستشفى الأهلي المعمداني حيث كان يقيم آلاف الفلسطينيين النازحين. وقد أسفر الانفجار عن سقوط عدد كبير من الضحايا في ساحة المستشفى.,المستشفى الأهلي العربي، مدينة غزة,المستشفى الأهلي العربي، مدينة غزة,
curr_002,curr_002,هجوم على مخيم للاجئين,الإبادة الجماعية الحالية (من عام 2023 حتى الآن),غارة جوية واسعة النطاق على مخيم جباليا للاجئين المكتظ بالسكان. دُمرت أحياء سكنية بأكملها. اعترفت إسرائيل باستهداف قائد حماس.,مخيم جباليا للاجئين، شمال غزة,مخيم جباليا للاجئين، شمال غزة,
curr_003,curr_003,مذبحة,الإبادة الجماعية الحالية (من عام 2023 حتى الآن),أطلقت القوات الإسرائيلية النار على فلسطينيين كانوا ينتظرون توزيع مساعدات غذائية. وسقط مئات المدنيين بين قتيل وجريح أثناء محاولتهم الحصول على الطحين.,شارع الرشيد، مدينة غزة,شارع الرشيد، مدينة غزة,
curr_004,curr_004,هجوم على موقع محمي,الإبادة الجماعية الحالية (من عام 2023 حتى الآن),سلسلة هجمات على مدارس الأونروا التي تُستخدم كملاجئ للنازحين الفلسطينيين. تعرّضت مدارس عديدة للهجوم رغم تنسيق الأمم المتحدة مع القوات الإسرائيلية.,مدارس متعددة تابعة للأونروا، قطاع غزة,مدارس متعددة تابعة للأونروا، قطاع غزة,
curr_005,curr_005,المقابر الجماعية,الإبادة الجماعية الحالية (من عام 2023 حتى الآن),تم اكتشاف مقابر جماعية في مستشفى ناصر بعد الانسحاب الإسرائيلي. عُثر على جثث مقيدة الأيدي، ما يُعد دليلاً على عمليات إعدام. وقد نُقلت بعض الجثث من المستشفى على يد القوات الإسرائيلية.,مجمع ناصر الطبي، خان يونس,مجمع ناصر الطبي، خان يونس,
curr_006,curr_006,حصار المستشفى,الإبادة الجماعية الحالية (من عام 2023 حتى الآن),حاصرت القوات الإسرائيلية أكبر مستشفى في غزة، وقطعت عنه الكهرباء والماء. وتوفي المرضى نتيجة نقص الرعاية الطبية. وقد داهمت القوات المستشفى رغم حمايته بموجب القانون الدولي.,مستشفى الشفاء، مدينة غزة,مستشفى الشفاء، مدينة غزة,
curr_007,curr_007,مذبحة,الإبادة الجماعية الحالية (من عام 2023 حتى الآن),غارة جوية إسرائيلية على مخيم خيام يأوي فلسطينيين نازحين في رفح. احترق العديد من الضحايا أحياءً داخل خيامهم. وزعمت إسرائيل أنها استهدفت عناصر من حماس.,مخيم للنازحين، رفح,مخيم للنازحين، رفح,
curr_008,curr_008,قتل عمال الإغاثة,الإبادة الجماعية الحالية (من عام 2023 حتى الآن),"استهدفت القوات الإسرائيلية وقتلت سبعة من عمال الإغاثة التابعين لمنظمة ""وورلد سنترال كيتشن"" في ثلاث غارات متتالية على مركبات تحمل علامات واضحة. وأعقب ذلك استنكار دولي واسع.",دير البلح، وسط غزة,دير البلح، وسط غزة,
curr_009,curr_009,تدمير المدن,الإبادة الجماعية الحالية (من عام 2023 حتى الآن),تدمير ممنهج لأحياء بأكملها في مدينة غزة. آلاف المباني تحولت إلى ركام. نزوح جماعي للسكان.,مدينة غزة,مدينة غزة,
curr_010,curr_010,حرب التجويع,الإبادة الجماعية الحالية (من عام 2023 حتى الآن),حصار كامل على شمال غزة بما في ذلك جباليا وبيت حانون وبيت لاهيا. لا يُسمح بالطعام أو الماء أو الإمدادات الطبية. استخدام التجويع كوسيلة للحرب.  ,شمال قطاع غزة,شمال قطاع غزة,
,,,,#VALUE!,,,
,,,,#VALUE!,,,
,,,,#VALUE!,,,
,,,,#VALUE!,,,
,,,,#VALUE!,,,
,,,,#VALUE!,,,
,,,,#VALUE!,,,
,,,,#VALUE!,,,
,,,,#VALUE!,,,
,,,,#VALUE!,,,
,,,,#VALUE!,,,
,,,,#VALUE!,,,
,,,,#VALUE!,,,
,,,,#VALUE!,,,
,,,,#VALUE!,,,
,,,,#VALUE!,,,
,,,,#VALUE!,,,
,,,,#VALUE!,,,
,,,,#VALUE!,,,
,,,,#VALUE!,,,
,,,,#VALUE!,,,
,,,,#VALUE!,,,
,,,,#VALUE!,,,
,,,,#VALUE!,,,
,,,,#VALUE!,,,
,,,,#VALUE!,,,
,,,,#VALUE!,,,
,,,,#VALUE!,,,
,,,,#VALUE!,,,
,,,,#VALUE!,,,
,,,,#VALUE!,,,
