id,_anchor,event_type_de,date_context_de,brief_summary_de,location_historical_de,location_current_de,classification_de
#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
curr_001,curr_001,Angriff auf Krankenhaus,Aktueller Völkermord (2023 bis heute),"Explosion auf dem Gelände des Al-Ahli-Baptistenkrankenhauses, in dem Tausende vertriebene Palästinenser Zuflucht gesucht hatten. Zahlreiche Opfer im Krankenhaushof.","Al-Ahli Arab Hospital, Gaza-Stadt","Al-Ahli Arab Hospital, Gaza-Stadt",
curr_002,curr_002,Angriff auf Flüchtlingslager,Aktueller Völkermord (2023 bis heute),"Massiver Luftangriff auf das dicht besiedelte Flüchtlingslager Jabalia. Ganze Wohnblöcke zerstört. Israel gab zu, einen Hamas-Kommandeur ins Visier genommen zu haben.","Flüchtlingslager Jabalia, Nord-Gaza","Flüchtlingslager Jabalia, Nord-Gaza",
curr_003,curr_003,Massaker,Aktueller Völkermord (2023 bis heute),"Israelische Streitkräfte eröffneten das Feuer auf Palästinenser, die auf die Verteilung von Nahrungsmittelhilfe warteten. Hunderte Zivilisten wurden getötet und verletzt, als sie versuchten, Mehl zu erhalten.","Al-Rashid-Straße, Gaza-Stadt","Al-Rashid-Straße, Gaza-Stadt",
curr_004,curr_004,Angriff auf geschützte Websites,Aktueller Völkermord (2023 bis heute),"Eine Reihe von Angriffen auf UNRWA-Schulen, die als Zufluchtsorte für vertriebene Palästinenser dienen, hat mehrere Schulen getroffen. Trotz der Koordination der UN mit den israelischen Streitkräften wurden mehrere Schulen angegriffen.",Mehrere UNRWA-Schulen im Gazastreifen,Mehrere UNRWA-Schulen im Gazastreifen,
curr_005,curr_005,Massengräber,Aktueller Völkermord (2023 bis heute),"Nach dem israelischen Rückzug wurden im Nasser-Krankenhaus Massengräber entdeckt. Die Leichen waren mit gefesselten Händen gefunden worden, ein Hinweis auf Hinrichtungen. Einige Leichen wurden von israelischen Streitkräften aus dem Krankenhaus geborgen.","Nasser-Medizinkomplex, Khan Yunis","Nasser-Medizinkomplex, Khan Yunis",
curr_006,curr_006,Krankenhausbelagerung,Aktueller Völkermord (2023 bis heute),Israelische Streitkräfte belagerten das größte Krankenhaus im Gazastreifen und kappten die Strom- und Wasserversorgung. Patienten starben aufgrund mangelnder medizinischer Versorgung. Das Krankenhaus wurde trotz seines völkerrechtlichen Schutzes gestürmt.,"Al-Shifa-Krankenhaus, Gaza-Stadt","Al-Shifa-Krankenhaus, Gaza-Stadt",
curr_007,curr_007,Massaker,Aktueller Völkermord (2023 bis heute),"Bei einem israelischen Luftangriff auf ein Zeltlager vertriebener Palästinenser in Rafah verbrannten viele Opfer in ihren Zelten. Israel behauptete, Hamas-Kämpfer ins Visier genommen zu haben.",Flüchtlingslager Rafah,Flüchtlingslager Rafah,
curr_008,curr_008,Tötung von Helfern,Aktueller Völkermord (2023 bis heute),Israelische Streitkräfte griffen in drei aufeinanderfolgenden Angriffen auf deutlich gekennzeichnete Fahrzeuge sieben Mitarbeiter der Hilfsorganisation World Central Kitchen an und töteten sie. Es folgte ein internationaler Aufschrei.,"Deir al-Balah, Zentral-Gaza","Deir al-Balah, Zentral-Gaza",
curr_009,curr_009,Stadtzerstörung,Aktueller Völkermord (2023 bis heute),Systematische Zerstörung ganzer Stadtviertel in Gaza-Stadt. Tausende Gebäude wurden dem Erdboden gleichgemacht. Massenhafte Vertreibung der Bevölkerung.,Gaza-Stadt,Gaza-Stadt,
curr_010,curr_010,Hungerkrieg,Aktueller Völkermord (2023 bis heute),"Vollständige Blockade des nördlichen Gazastreifens, einschließlich Jabalia, Beit Hanoun und Beit Lahiya. Essen, Wasser und medizinische Versorgung sind nicht gestattet. Einsatz von Hunger als Methode der Kriegsführung.  ",Nördlicher Gazastreifen,Nördlicher Gazastreifen,
,,,,#VALUE!,,,
,,,,#VALUE!,,,
,,,,#VALUE!,,,
,,,,#VALUE!,,,
,,,,#VALUE!,,,
,,,,#VALUE!,,,
,,,,#VALUE!,,,
,,,,#VALUE!,,,
,,,,#VALUE!,,,
,,,,#VALUE!,,,
,,,,#VALUE!,,,
,,,,#VALUE!,,,
,,,,#VALUE!,,,
,,,,#VALUE!,,,
,,,,#VALUE!,,,
,,,,#VALUE!,,,
,,,,#VALUE!,,,
,,,,#VALUE!,,,
,,,,#VALUE!,,,
,,,,#VALUE!,,,
,,,,#VALUE!,,,
,,,,#VALUE!,,,
,,,,#VALUE!,,,
,,,,#VALUE!,,,
,,,,#VALUE!,,,
,,,,#VALUE!,,,
,,,,#VALUE!,,,
,,,,#VALUE!,,,
,,,,#VALUE!,,,
,,,,#VALUE!,,,
,,,,#VALUE!,,,
,,,,#VALUE!,,,
,,,,#VALUE!,,,
,,,,#VALUE!,,,
,,,,#VALUE!,,,
,,,,#VALUE!,,,
,,,,#VALUE!,,,
,,,,#VALUE!,,,
,,,,#VALUE!,,,
,,,,#VALUE!,,,
,,,,#VALUE!,,,
,,,,#VALUE!,,,
,,,,#VALUE!,,,
,,,,#VALUE!,,,
,,,,#VALUE!,,,
,,,,#VALUE!,,,
,,,,#VALUE!,,,
,,,,#VALUE!,,,
,,,,#VALUE!,,,
,,,,#VALUE!,,,
,,,,#VALUE!,,,
,,,,#VALUE!,,,
,,,,#VALUE!,,,
,,,,#VALUE!,,,
,,,,#VALUE!,,,
