id,name,type,sub_type,governorate,area,lat,lng,beds_pre_war,specialization,pre_war_status,post_war_status,introduction,notes,Image_url,
FAC-000,Al-Shifa Medical Complex,Hospital,Medical Complex,Gaza,Gaza City,31.52431673,34.4434777,722,General / Multi-specialty,Operational,Partial operation,,,https://www.aljazeera.com/wp-content/uploads/2024/04/AFP__20240408__34NT7MH__v1__HighRes__PalestinianIsraelConflict-1712614597.jpg?resize=770%2C513&quality=80,View Hospital
FAC-001,Kamal Adwan Hospital,Hospital,General Hospital,North Gaza,Beit Lahiya,31.53817708,34.50052668,118,General,Operational,Closed,,,https://ichef.bbci.co.uk/ace/ws/587/cpsprodpb/92dc/live/d8f042c0-9864-11ee-9d90-0f472186b217.png.webp,View Hospital
FAC-002,Nasser Medical Complex,Hospital,Medical Complex,Khan Younis,Khan Younis,31.34693106,34.29192551,279,General / Multi-specialty,Operational,Partial operation,,,https://www.aljazeera.net/wp-content/uploads/2025/05/afp_682310d81f48-1747128536.jpg?w=770&resize=770%2C513&quality=80,View Hospital
FAC-003,Al-Awda Hospital,Hospital,Speciality Hospital,North Gaza,Jabalia,31.53364294,34.5059963,97,Multi-specialty / Obstetrics,Operational,Closed,,,https://www.almamlakatv.com/images/articles/big/2025/5/68318002aaf1a.jpeg,View Hospital
FAC-004,Al-Awda Hospital - Nusseirat,Hospital,General Hospital,Deir al-Balah,Nusseirat,31.45224395,34.38806503,33,General,Operational,Partial operation,,Branch in Nusseirat camp,https://scontent.frak4-2.fna.fbcdn.net/v/t39.30808-6/509289908_1301529568648512_8637306566660612649_n.jpg?stp=dst-jpg_tt6&cstp=mx864x489&ctp=s864x489&_nc_cat=103&ccb=1-7&_nc_sid=127cfc&_nc_eui2=AeHi_AUo2LdLgjm0F5t71oomEQNJ6FK0nlQRA0noUrSeVMX4lrnXigZudFbdiqQT9yjMzCiEm_S0cYENSWV2zZRk&_nc_ohc=R8oUjAdqGpUQ7kNvwHGpy5O&_nc_oc=AdpxgykYXCas_sQwGaSiU0o8ksc4dH5Ma6BqGOTD2BSdqGzZ1uSHCfOhWSIl2rhrGxo&_nc_zt=23&_nc_ht=scontent.frak4-2.fna&_nc_gid=I2POBnZANWAmlFq3Az2FBg&_nc_ss=7b2a8&oh=00_AQDQMSv16Mw8z5787vCaTejeyenN6ijBbyHmgeVLI11xRA&oe=6A4DCC71,View Hospital
FAC-005,Al-Amal Hospital,Hospital,General Hospital,Khan Younis,Khan Younis,31.35153523,34.29721559,110,General,Operational,Partial operation,,,https://fmcdn.alqaheranews.net/22729ec0-4615-11f0-a946-5159e59823a2-file-1749571703350-791474783?&w=700&compress=80&gravity=face,View Hospital
FAC-006,Al-Aqsa Martyrs Hospital,Hospital,General Hospital,Deir al-Balah,Deir al-Balah,31.41950678,34.35933731,274,General,Operational,Partial operation,,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Shuhada_al-Aqsa_Hospital_emergency_department_entrance%2C_2024.jpg/500px-Shuhada_al-Aqsa_Hospital_emergency_department_entrance%2C_2024.jpg,View Hospital
FAC-007,Indonesian Hospital,Hospital,General Hospital,North Gaza,Beit Lahiya,31.53463942,34.5086943,164,General,Operational,Closed,,Funded by Indonesian donors,https://althawrah.ye/wp-content/uploads/2024/12/%D8%A7%D9%84%D9%85%D8%B3%D8%AA%D8%B4%D9%81%D9%89-%D8%A7%D9%84%D8%A7%D9%86%D8%AF%D9%88%D9%86%D9%8A%D8%B3%D9%8A-1.jpg,View Hospital
FAC-008,Al-Quds Hospital,Hospital,General Hospital,Gaza,Gaza City,31.50565641,34.42975551,119,General,Operational,Closed,,Operated by PRCS,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRrT56GAvwFXhdMJ9Z6TjMdOFlJp2JpTVYMAtJ22PsItNX_4RIA7qh6DSg&s=10,View Hospital
FAC-009,Al Ahli Arab Hospital,Hospital,General Hospital,Gaza,Gaza City,31.50441341,34.46057526,43,General,Operational,Partial operation,,Also known as Al-Ahli Baptist Hospital,https://www.dooz.ps/wp-content/uploads/2023/12/Hospital-1.jpg,View Hospital
