id,_anchor,name_de,specialization_de,post_war_status_de,introduction_de,notes_de
FAC-000,Al-Shifa Medical Complex,Al-Shifa Medizinkomplex,Allgemein / Fachübergreifend,Teiloperation,,
FAC-001,Kamal Adwan Hospital,Kamal Adwan Krankenhaus,Allgemein,Geschlossen,,
FAC-002,Nasser Medical Complex,Nasser-Medizinkomplex,Allgemein / Fachübergreifend,Teiloperation,,
FAC-003,Al-Awda Hospital,Al-Awda-Krankenhaus,Fachübergreifende Klinik / Geburtshilfe,Geschlossen,,
FAC-004,Al-Awda Hospital - Nusseirat,Al-Awda-Krankenhaus - Nusseirat,Allgemein,Teiloperation,,Zweigstelle im Lager Nusseirat
FAC-005,Al-Amal Hospital,Al-Amal-Krankenhaus,Allgemein,Teiloperation,,
FAC-006,Al-Aqsa Martyrs Hospital,Al-Aqsa-Märtyrerkrankenhaus,Allgemein,Teiloperation,,
FAC-007,Indonesian Hospital,Indonesisches Krankenhaus,Allgemein,Geschlossen,,Finanziert von indonesischen Gebern
FAC-008,Al-Quds Hospital,Al-Quds-Krankenhaus,Allgemein,Geschlossen,,Betrieben von PRCS
FAC-009,Al Ahli Arab Hospital,Al-Ahli-Arabisches Krankenhaus,Allgemein,Teiloperation,,Auch bekannt als Al-Ahli Baptistenkrankenhaus
FAC-010,Gaza European Hospital,Europäisches Krankenhaus Gaza,Allgemein / Überweisung,Geschlossen,,Hauptkrankenhaus für den südlichen Gazastreifen
FAC-011,Dr Abdul Aziz Rantisi Children's Specialty Hospital,Dr. Abdul Aziz Rantisi Kinder-Spezialkrankenhaus,Pädiatrie,Geschlossen,,
FAC-012,Muhammad Al-Durrah Children's Hospital,Muhammad Al-Durrah Kinderkrankenhaus,Pädiatrie,Geschlossen,,
FAC-013,Beit Hanoun Hospital,Beit Hanoun Krankenhaus,Allgemein,Geschlossen,,
FAC-014,Sheikh Hamad Hospital for Rehabilitation and Prosthetics,Sheikh Hamad Krankenhaus für Rehabilitation und Prothetik,Rehabilitation / Prothetik,Geschlossen,,
FAC-015,Al Karama Specialized Hospital,Al Karama Spezialkrankenhaus,Spezialisiert,Geschlossen,,
FAC-016,Gaza Psychiatric Hospital,Psychiatrische Klinik Gaza,Psychiatrisch,Geschlossen,,
FAC-017,International Eye Hospital,Internationales Augenkrankenhaus,Augenheilkunde,Teiloperation,,
FAC-018,Muhammad Youssef Al-Najjar Hospital,Muhammad Youssef Al-Najjar Krankenhaus,Allgemein,Geschlossen,,
FAC-019,Wafaa Medical Rehabilitation and Specialized Surgery Hospital,Wafaa Krankenhaus für medizinische Rehabilitation und spezialisierte Chirurgie,Rehabilitation / Chirurgie,Teiloperation,,
FAC-020,Al Sahaba Medical Complex,Al Sahaba Medizinkomplex,Allgemein,Teiloperation,,
FAC-021,Khidma Aamma Hospital,Khidma Aamma Krankenhaus,Allgemein,,,
FAC-022,Turkish Friendship Hospital,Türkisches Freundschaftskrankenhaus,Onkologie / Spezialisiert,Geschlossen,,
FAC-023,Al Helou International Hospital,Internationales Krankenhaus Al Helou,Allgemein,Teiloperation,,
FAC-024,Al-Khair Hospital,Al-Khair-Krankenhaus,Allgemein,Geschlossen,,
FAC-025,Yafa Hospital,Krankenhaus in Yafa,Allgemein,Teiloperation,,
FAC-026,Palestine Medical Relief Center for the Rehabilitation of the Disabled,Palästinensisches Zentrum für medizinische Hilfe und Rehabilitation von Behinderten,Rehabilitation,,,
FAC-027,Al Yaman Al Saeed Hospital,Al Yaman Al Saeed Krankenhaus,Allgemein,Geschlossen,,Befand sich zum Zeitpunkt der Zielerfassung im Bau.
FAC-028,Patient Friends Association Hospital,Patientenfreundevereinigung Krankenhaus,Allgemein,Teiloperation,,
FAC-029,Jordanian Field Hospital,Jordanisches Feldlazarett,Allgemein / Notfall,Operativ,,Betrieben von Jordan
FAC-030,Jordanian Field Hospital - Khan Yunis,Jordanisches Feldlazarett - Khan Yunis,Allgemein / Notfall,,,"Betrieben von Jordan, Khan Yunis"
FAC-031,Red Cross Field Hospital,Feldlazarett des Roten Kreuzes,Notfall,,,Betrieben vom IKRK
