incident_id,facility_id,facility_name,starting_date,ending_date,attack_type,result,description,full_discription,source_url_1,source_url_2,archived_resources,has_image,image_url,archived_image,video_url,archived_video,civilians_killed,civilians_injured,hw_killed,hw_injured,added_by,reviewed_by,,submission_id,added_by,reviewed_by
INC-000,FAC-009,Al Ahli Arab Hospital,2023-12-04,,Bombardment,"4 December, the surroundings of Al Ahli Hospital, Gaza city, were bombarded, with several fatalities reported. ",,,https://www.ochaopt.org/content/hostilities-gaza-strip-and-israel-flash-update-59,,,No,,,,,,,,,,GS,View Incident,,,
INC-001,FAC-000,Al-Shifa Medical Complex,2023-11-10,,105mm artillery illumination flare round,one injured from the civilians sheltering the hospital compound.,"In the early hours of the mourning, a civilian sheltering in the hospital compound was injured by a munition fragment.",,https://www.theguardian.com/world/2023/dec/01/hospital-damage-in-gaza-during-israeli-offensive-a-visual-investigation,,,Yes,https://www.aljazeera.com/wp-content/uploads/2024/04/AFP__20240408__34NT7MH__v1__HighRes__PalestinianIsraelConflict-1712614597.jpg?resize=770%2C513&quality=80,,,,,1,,,,ysn,View Incident,,,
INC-002,FAC-000,Al-Shifa Medical Complex,2023-11-10,,120mm high explosive tank shell,damage in wall of the hospital and a part of the ceiling collapsed.,"Remnants of munitions appear to show a tail for a 120mm high-explosive Israeli tank shell, the aftermath of the targeting shows two large holes in a wall of the hospital, and part of a ceiling collapsed.",,https://www.theguardian.com/world/2023/dec/01/hospital-damage-in-gaza-during-israeli-offensive-a-visual-investigation,,,Yes,https://www.aljazeera.com/wp-content/uploads/2024/04/AFP__20240408__34NT7MH__v1__HighRes__PalestinianIsraelConflict-1712614597.jpg?resize=770%2C513&quality=80,,,,,,,,,ysn,View Incident,,,
INC-003,FAC-000,Al-Shifa Medical Complex,2023-11-10,,Unidentified,"a pierced tin roof of a shelter in the hospital and people, including children injured.",A video shows structural damage to the roof of a shelter in the hospital and people including injured children on the floor.,,https://www.theguardian.com/world/2023/dec/01/hospital-damage-in-gaza-during-israeli-offensive-a-visual-investigation,,,Yes,,,,,,,,,,ysn,View Incident,,,
INC-004,FAC-009,Al Ahli Arab Hospital,2023-10-14,,Missile Strike,"The Diagnostic Cancer Treatment Centre was hit by an Israeli rocket. Two upper floors of the centre, which houses the ultrasound and mammography wards, were severely damaged.
 Four medical staff were injured in the blast.","The Diagnostic Centre is the Crown Jewel of Ahli Hospital, providing cancer diagnosis as a prelude to various treatment options both at Ahli and in other facilities",,https://www.anglicannews.org/news/2023/10/anglican-run-al-ahli-arab-hospital-in-gaza-damaged-by-israeli-rocket-fire-as-conflict-continues.aspx,https://afedj.org/ahli-hospital-struck-by-rocket-fire/,,Yes,"""https://www.anglicannews.org/news/2023/10/anglican-run-al-ahli-arab-hospital-in-gaza-damaged-by-israeli-rocket-fire-as-conflict-continues.aspx""""https://www.facebook.com/AVHJerusalem/posts/yesterday-at-700-pm-al-ahli-arab-hospital-in-gaza-which-is-our-partner-in-the-di/699695938874919/?_rdc=2&_rdr""",,,,,,,4,,GS,View Incident,,,
INC-005,FAC-009,Al Ahli Arab Hospital,2023-10-17,,Bombardment,471 people were killed and 342 injured,"A devastating explosion, possibly by an airstrike had hit the courtyard of the Hospital, igniting the parked vehicules and killing hundreds of people camped on the surrounding lawns. The area was densely populated by IDP whom fled due to the intanse bombardments in the surrounding neighbors.",,https://forensic-architecture.org/investigation/israeli-disinformation-al-ahli-hospital,"https://forensic-architecture.org/investigation/israeli-disinformation-al-ahli-hospital , https://www.hrw.org/news/2023/11/26/gaza-findings-october-17-al-ahli-hospital-explosion , https://www.bbc.co.uk/news/world-middle-east-67144061 , https://www.bbc.co.uk/news/world-middle-east-67216929 , https://www.aljazeera.com/news/2023/10/19/what-hit-ahli-hospital-in-gaza , https://www.aljazeera.com/gallery/2023/10/17/photos-an-israeli-air-raid-on-al-ahli-arab-hospital-kills-an-estimated-500 , https://www.muslimaid.org/media-centre/blog/muslim-aid-condemns-al-ahli-hospital-bombing-in-gaza/ , https://www.michiganpublic.org/2023-10-18/heres-the-available-evidence-of-what-happened-at-al-ahli-arab-hospital-in-gaza , https://abcnews.com/International/hundreds-killed-strike-gaza-hospital-gaza-health-ministry/story?id=104049667 , https://unpacked.media/unpacking-the-gaza-hospital-blast-and-the-misinformation-that-followed/ , https://www.france24.com/en/middle-east/20231018-what-we-know-about-the-deadly-blast-at-gaza-city-s-al-ahli-hospital , https://www.972mag.com/al-ahli-hospital-gaza-blast/""""https://prc.org.uk/upload/library/files/Alahli-Hospital-MassacreEN.pdf , https://liberationnews.org/debunking-israels-lies-about-the-bombing-of-al-ahli-arab-hospital-in-gaza/ , https://apnews.com/article/israel-palestinians-hamas-war-hospital-rocket-gaza-8bc239d2efe0cff3998b2154d9220a83 , https://www.lemonde.fr/en/international/article/2023/10/19/gaza-hospital-what-detailed-image-analysis-reveals-about-deadly-al-ahli-arab-hospital-blast_6189013_4.html , https://www.wsj.com/world/middle-east/what-we-know-about-the-gaza-hospital-blast-b238a40d , https://www.theguardian.com/world/video/2023/oct/18/gaza-footage-shows-ahli-arab-hospital-blast-video , https://www.npr.org/2023/10/19/1207173798/fake-accounts-old-videos-and-rumors-fuel-chaos-around-gaza-hospital-explosion , https://www.indy100.com/news/israel-bomb-hospital-gaza-hamas , https://www.smh.com.au/world/middle-east/hamas-says-hundreds-killed-in-israeli-airstrike-on-gaza-city-hospital-20231018-p5ed3n.html , https://www.itv.com/watch/news/what-we-know-about-the-strike-on-gazas-al-ahli-arab-hospital/znspkw3 , https://www.facebook.com/trtworld/videos/israels-narrative-of-al-ahli-arab-hospital-attack-a-closer-look/716457469813692/ , https://www.cbc.ca/news/world/al-ahli-hospital-strike-gaza-1.6999842",,Yes,,,https://forensic-architecture.org/investigation/when-it-stopped-being-a-war,,471,342,,,,ysn,View Incident,,,
INC-006,FAC-009,Al Ahli Arab Hospital,2023-11-16,2023-11-18,Siege / Encirclement,"On 16 November Israeli forces, including tanks, initiated a siege on the Hospital. This continued until 18th November amid heavy bombardment and gunfire.",Medical teams were unable to move outside and reach those who are injured safely throughout the seige.,,"https://www.ochaopt.org/content/hostilities-gaza-strip-and-israel-flash-update-41""""https://www.ochaopt.org/content/hostilities-gaza-strip-and-israel-flash-update-42""""https://www.ochaopt.org/content/hostilities-gaza-strip-and-israel-flash-update-43""",,,No,,,,,,,,,,GS,View Incident,,,
INC-007,FAC-009,Al Ahli Arab Hospital,2023-12-14,,Airstrike,"An airstrike on 14th Dec hit the vicinity, causing large damage to hospital facilities. No reported casualties",,,https://www.ochaopt.org/content/hostilities-gaza-strip-and-israel-flash-update-70,,,No,,,,,,,,,,GS,View Incident,,,
INC-008,FAC-009,Al Ahli Arab Hospital,2024-07-08,,Forced Evacuation,Evacuated in fear of intensified military activities,"As of 8 July, the Al Ahli Baptist Hospital was evacuated in fear of intensified military activities that would render them inaccessible or non-functional, and critical patients were transferred to other hospitals.",,https://www.ochaopt.org/content/humanitarian-situation-update-188-gaza-strip,,,No,,,,,,,,,,GS,View Incident,,,
INC-009,FAC-009,Al Ahli Arab Hospital,2024-12-08,,Overwhelmed / Capacity Crisis,Overwhelmed by the mass casualty incident,"Some 70 bodies were transported to the hospital, and some could not be identified as their bodies were disfigured in the explosion.  The hospital was overwhelmed by the mass casualty incident amid a critical shortage of medications, clean water and hospital beds.",,https://www.ochaopt.org/content/humanitarian-situation-update-203-gaza-strip,,,No,,,,,,,,,,GS,View Incident,,,
