incident_id,_anchor,facility_id,attack_type_ar,result_ar,description_ar,full_discription_ar
INC-000,Al Ahli Arab Hospital,FAC-009,قصف,في الرابع من ديسمبر، تعرضت محيطات مستشفى الأهلي في مدينة غزة للقصف، وأفادت التقارير بوقوع عدة وفيات.,,
INC-001,Al-Shifa Medical Complex,FAC-000,قذيفة إضاءة مدفعية عيار 105 ملم,أصيب شخص واحد جراء لجوء المدنيين إلى مأوى في مجمع المستشفى.,في الساعات الأولى من الحداد، أصيب مدني كان يحتمي في مجمع المستشفى بشظية ذخيرة.,
INC-002,Al-Shifa Medical Complex,FAC-000,قذيفة دبابة شديدة الانفجار عيار 120 ملم,لحقت أضرار بجدار المستشفى وانهار جزء من السقف.,يبدو أن بقايا الذخائر تشير إلى ذيل قذيفة دبابة إسرائيلية شديدة الانفجار عيار 120 ملم، وتظهر آثار الاستهداف وجود فتحتين كبيرتين في جدار المستشفى، وجزء من السقف منهار.,
INC-003,Al-Shifa Medical Complex,FAC-000,غير محدد الهوية,سقف معدني مثقوب لملجأ في المستشفى، وإصابة أشخاص، من بينهم أطفال.,يُظهر مقطع فيديو أضرارًا هيكلية في سقف ملجأ داخل المستشفى، وأشخاصًا من بينهم أطفال مصابون ملقون على الأرض.,
INC-004,Al Ahli Arab Hospital,FAC-009,ضربة صاروخية,"تعرض مركز تشخيص وعلاج السرطان لهجوم صاروخي إسرائيلي. وتضررت بشدة طابقان علويان من المركز، يضمان قسمي التصوير بالموجات فوق الصوتية والتصوير الشعاعي للثدي.

وأُصيب أربعة من الكوادر الطبية في الانفجار.",يُعد مركز التشخيص جوهرة تاج مستشفى الأهلي، حيث يوفر تشخيص السرطان كمقدمة لخيارات علاجية متنوعة في مستشفى الأهلي وفي مرافق أخرى.,
INC-005,Al Ahli Arab Hospital,FAC-009,قصف,قُتل 471 شخصًا وأصيب 342 آخرون,وقع انفجار مدمر، يُحتمل أن يكون ناجماً عن غارة جوية، في فناء المستشفى، مما أدى إلى اشتعال النيران في السيارات المتوقفة ومقتل مئات الأشخاص الذين كانوا يقيمون في المروج المحيطة. وكانت المنطقة مكتظة بالنازحين الذين فروا بسبب القصف المكثف على المناطق المجاورة.,
INC-006,Al Ahli Arab Hospital,FAC-009,الحصار / التطويق,في 16 نوفمبر، بدأت القوات الإسرائيلية، بما في ذلك الدبابات، حصاراً على المستشفى. واستمر الحصار حتى 18 نوفمبر وسط قصف مدفعي كثيف وإطلاق نار كثيف.,لم تتمكن الفرق الطبية من الخروج والوصول إلى المصابين بأمان طوال فترة الحصار.,
INC-007,Al Ahli Arab Hospital,FAC-009,غارة جوية,استهدفت غارة جوية في 14 ديسمبر المنطقة، مما أدى إلى أضرار جسيمة في مرافق المستشفى. ولم ترد أنباء عن وقوع إصابات.,,
INC-008,Al Ahli Arab Hospital,FAC-009,إخلاء قسري,تم إجلاؤهم خوفاً من تصاعد العمليات العسكرية,اعتبارًا من 8 يوليو، تم إخلاء مستشفى الأهلي المعمداني خوفًا من تكثيف الأنشطة العسكرية التي من شأنها أن تجعل الوصول إليه أو تعطيله، وتم نقل المرضى ذوي الحالات الحرجة إلى مستشفيات أخرى.,
INC-009,Al Ahli Arab Hospital,FAC-009,أزمة في القدرة الاستيعابية / اكتظاظ,غمرت الصدمة جراء حادثة الإصابات الجماعية,نُقلت نحو 70 جثة إلى المستشفى، ولم يُمكن التعرف على بعضها بسبب تشوهها جراء الانفجار. وقد اكتظ المستشفى بالمرضى جراء الحادثة المأساوية، وسط نقص حاد في الأدوية والمياه النظيفة وأسرّة المستشفيات.,
