resource_id,resource_title,resource_type,url,organization,date_accessed,relevance,keywords
res-001,Thematic Report: Attacks on Hospitals (Oct 2023 - June 2024),Official Report,https://www.ohchr.org/en/documents/reports/thematic-report-attacks-hospitals-during-escalation-hostilities-gaza-7-october,OHCHR,2024-12-31,Core documentation of systematic attacks on hospitals,hospital attacks international law violations
res-002,Timeline of Gaza Strip Healthcare Collapse,Reference Timeline,https://en.wikipedia.org/wiki/Timeline_of_the_Gaza_Strip_healthcare_collapse,Wikipedia,2024-11-23,Comprehensive timeline of healthcare system destruction,healthcare collapse timeline hospitals
res-003,Attacks on Health Facilities During Gaza War,Comprehensive Article,https://en.wikipedia.org/wiki/Attacks_on_health_facilities_during_the_Gaza_war,Wikipedia,2024-11-23,Detailed documentation of all major hospital attacks,hospital attacks documentation evidence
res-004,Al-Shifa Hospital Siege Documentation,Wikipedia Article,https://en.wikipedia.org/wiki/Al-Shifa_Hospital_siege,Wikipedia,2024-11-23,Detailed account of major siege of largest hospital,Al-Shifa siege mass graves
res-005,Kamal Adwan Hospital Sieges,Wikipedia Article,https://en.wikipedia.org/wiki/Kamal_Adwan_Hospital_sieges,Wikipedia,2024-11-23,Documentation of pediatric hospital destruction and staff arrest,Kamal Adwan raid medical staff arrest
res-006,List of Hospitals in Palestinian Territories,Reference List,https://en.wikipedia.org/wiki/List_of_hospitals_in_the_State_of_Palestine,Wikipedia,2024-11-23,Complete list of Gaza hospitals with status and damage,hospital list Palestine
res-007,Nearly 600 Attacks on Healthcare,UN News Report,https://news.un.org/en/story/2024/01/1145317,UN News,2024-01-10,WHO data on attacks and casualties,healthcare attacks statistics WHO
res-008,Strikes Raids and Incursions - MSF Report,Incident Documentation,https://www.msf.org/strikes-raids-and-incursions-year-relentless-attacks-healthcare-palestine,MSF,2024-12-31,Medical organization documentation of healthcare attacks 2023-2024,MSF healthcare attacks incidents
res-009,Health System at Breaking Point - WHO Warning,WHO Statement,https://www.who.int/news/item/22-05-2025-health-system-at-breaking-point-as-hostilities-further-intensify--who-warns,WHO,2024-05-22,Status update on healthcare system crisis,healthcare system collapse hospitals operational
res-010,State of Hospitals - One Year Mark,ABC News Report,https://abcnews.go.com/International/state-hospitals-gaza-israel-hamas-war-hits-1/story?id=114495894,ABC News,2024-10-07,Overview of hospital status after one year,hospital status operational partially functioning
res-011,Systematic Destruction of Healthcare System,Academic Analysis,https://www.ohchr.org/en/press-releases/2023/10/gaza-un-experts-decry-bombing-hospitals-and-schools-crimes-against-humanity,OHCHR,2023-10-12,UN experts analysis of healthcare destruction as crimes against humanity,healthcare destruction genocide
res-012,Geospatial Analysis of Medical Complex Damage,Academic Study,https://pmc.ncbi.nlm.nih.gov/articles/PMC11002345/,BMJ Open,2024-01-01,Satellite imagery analysis of hospital damage compared to other buildings,satellite imagery hospital damage geospatial analysis
res-013,Damage to Medical Complexes in Gaza Strip,Research Article,https://pmc.ncbi.nlm.nih.gov/articles/PMC11002345/,PMC Research,2024-01-01,Geospatial analysis of infrastructure damage to medical facilities,infrastructure damage satellite imagery
res-014,Timeline: Attacks on Hospitals Throughout War,Compiled Timeline,https://www.aljazeera.com/news/2025/4/13/timeline-israels-attacks-on-hospitals-throughout-its-war-on-gaza,Al Jazeera,2024-04-13,Comprehensive timeline of major hospital incidents,hospital attacks timeline major incidents
res-015,Investigating Al-Shifa Assault,Investigation Report,https://www.washingtonpost.com/world/2023/12/21/al-shifa-hospital-gaza/,Washington Post,2023-12-21,Detailed investigation of Al-Shifa siege and assault,Al-Shifa investigation documentation evidence
res-016,What We Know About Gaza Hospitals Under Siege,Report,https://www.aljazeera.com/news/2023/11/13/patients-are-dying-what-we-know-about-gaza-hospitals-under-israeli-siege,Al Jazeera,2023-11-13,Detailed report on hospital siege conditions and patient deaths,hospital siege conditions patient deaths
res-017,Geneva Conventions - Medical Personnel Protection,Legal Framework,https://www.icrc.org/en/doc/war-and-law/treaties-customary-law/geneva-conventions/overview-geneva-conventions.htm,ICRC,2024-12-31,International humanitarian law protecting medical facilities,international law medical protection hospitals
res-018,Rome Statute - War Crimes Definitions,Legal Document,https://www.icc-cpi.int/resource-library/documents/rs-eng.pdf,ICC,2024-12-31,International Criminal Court definition of war crimes including attacks on medical facilities,war crimes Rome Statute hospitals
res-019,WHO Surveillance System for Attacks on Healthcare,Data Platform,https://www.who.int/news/item/06-04-2024-six-months-of-war-leave-al-shifa-hospital-in-ruins--who-mission-report,WHO,2024-04-06,WHO ongoing tracking of attacks on healthcare facilities,WHO healthcare attacks surveillance system
res-020,UN OCHA Situation Reports,Ongoing Updates,https://ochaopt.org/,UN OCHA,2024-12-31,Regular updates on humanitarian situation including healthcare,UN OCHA humanitarian situation healthcare
