id,name,type,sub_type,governorate,area,lat,lng,beds_pre_war,specialization,pre_war_status,post_war_status,introduction,notes,Image_url,
FAC-000,Al-Fakhoora School,School,Primary,North Gaza,Jabalia Refugee Camp,1900-01-30,1900-02-02,N/A,General Education,Operational,"Struck Nov 4 & Nov 18, 2023; 65+ killed across two strikes; thousands of displaced sheltering inside. Also shelled in 2009 and 2014 conflicts.","UNRWA-run primary school in Jabalia refugee camp, one of the most repeatedly targeted schools in Gaza.",,,View School
FAC-001,Abu Hussein School (Girls),School,Primary,North Gaza,Jabalia Refugee Camp,1900-01-30,1900-02-02,N/A,General Education,Operational,"Struck Nov 2, 2023 (20 killed); struck again Oct 17, 2024 (28+ killed, 160+ injured). Coords: Airwars ISPT0823.","UNRWA girls' primary school in Jabalia refugee camp, used as a shelter for displaced families during the war.",,,View School
FAC-002,Osama bin Zaid School,School,Primary,North Gaza,"Al-Saftawi, North Gaza City",1900-01-30,1900-02-02,N/A,General Education,Operational,"Struck Nov 3, 2023; 20 killed, dozens injured; 1,000+ refugees inside per UNRWA and Gaza Ministry of Health.","UNRWA school in the Al-Saftawi area of northern Gaza, sheltering over 1,000 displaced residents at time of strike.",,,View School
FAC-003,Al-Buraq School,School,Secondary,Gaza,"Al-Nasr, Gaza City",1900-01-30,1900-02-02,N/A,General Education,Operational,"Struck Nov 9, 2023; at least 50 killed when Israeli missile hit in the morning while thousands sheltered inside.","UNRWA school on Lababidi Street in the Al-Nasr neighbourhood of Gaza City, used as a displacement shelter.",,,View School
FAC-004,Al-Falah School,School,Primary,Gaza,"Al-Zaytoun, Gaza City",1900-01-30,1900-02-02,N/A,General Education,Operational,"Struck Nov 17, 2023; at least 20 killed. Due to communications blackout, rescue teams were unaware until the next day.","UNRWA school in the Al-Zaytoun neighbourhood of Gaza City, serving as a UNRWA displacement shelter.",,,View School
FAC-005,Al-Tabaeen School,School,Mixed (school + mosque),Gaza,"Al-Daraj, East Gaza City",,,,General Education,Operational,"Struck Aug 10, 2024 with GBU-39 bombs; 80–93 killed, 47 injured. One of the deadliest single school attacks of the war. Al-Haq investigation found no evidence of military equipment on site.","Government school in the Al-Daraj area of eastern Gaza City with an attached mosque, located ~500m from Sahaba Medical Complex.",,,View School
FAC-006,Maghazi UNRWA School,School,Primary,Deir al-Balah,Al-Maghazi Refugee Camp,1900-01-30,1900-02-02,N/A,General Education,Operational,"First struck Oct 17, 2023; 6 killed, dozens injured incl. UNRWA staff. 4,000+ refugees inside per UNRWA.","UNRWA school in Al-Maghazi refugee camp, central Gaza, sheltering over 4,000 people at the time of the first strike.",,,View School
FAC-007,Maghazi Secondary Girls School,School,Secondary,Deir al-Balah,Al-Maghazi Camp,1900-01-30,1900-02-02,N/A,General Education (Girls),Operational,"Struck Dec 27, 2023; at least 5 killed.","Government girls' secondary school in Al-Maghazi camp, central Gaza.",,,View School
FAC-008,Haifa School,School,Primary,Khan Younis,Khan Younis City,1900-01-30,1900-02-02,N/A,General Education,Operational,"Struck Dec 15, 2023; 20+ killed. Al Jazeera photographer Samer Abu Daqqa killed; journalist Wael Al-Dahdouh injured.",UNRWA school in Khan Younis used as a displacement shelter. Site where Al Jazeera journalist Samer Abu Daqqa was killed.,,,View School
FAC-009,An-Nazla Elementary School,School,Primary,North Gaza,North Gaza City,1900-01-30,1900-02-02,N/A,General Education,Operational,"Struck while hundreds sheltered; at least 10 killed including children. Eyewitness account (May 2024): 'Children were playing in the schoolyard, and suddenly we were bombed.'","Government elementary school in northern Gaza, bombed while hundreds of refugees sheltered inside.",,,View School
FAC-010,Al-Sardi School,School,Primary,Deir al-Balah,Nuseirat Refugee Camp,1900-01-30,1900-02-02,N/A,General Education,Operational,"Struck Jun 6, 2024 at ~2am; two GBU-39 missiles hit top floor classrooms. 33–35 killed (9 children, 3 women, 21 men), 70+ injured. One victim named was an 8-year-old boy.","UNRWA school in Nuseirat refugee camp, sheltering approximately 6,000 displaced people at time of strike.",,,View School
FAC-011,Al-Jawni School,School,Primary,Deir al-Balah,Nuseirat Refugee Camp,1900-01-30,1900-02-02,N/A,General Education,Operational,"Struck Jul 6, 2024 (16 killed, 2,000 sheltering); struck again Sep 11, 2024 (18 killed incl. 6 UNRWA staff, 44+ injured). Head of UNRWA stated two-thirds of all UNRWA schools in Gaza had been hit.","UNRWA-run school in Nuseirat refugee camp, used as a polio vaccination centre the week before it was struck.",,,View School
FAC-012,Al-Awda School,School,Primary,Khan Younis,Abasan al-Kabira,1900-01-30,1900-02-02,N/A,General Education,Operational,"Struck Jul 9, 2024; GBU-39 bomb hit the gate. 31+ killed (mostly women and children), 53+ injured. Fourth school attack in four days.","UNRWA school in Abasan al-Kabira village east of Khan Younis, converted to displacement shelter for Rafah evacuees.",,,View School
FAC-013,Khadija Girls' School,School,Secondary,Deir al-Balah,West Deir al-Balah,1900-01-30,1900-02-02,N/A,General Education (Girls),Operational,"Struck Jul 26–27, 2024; at least 3 airstrikes using US munitions. 30–53 killed incl. 15 children and 8 women, 100+ injured. HRW found no evidence of military target.","Government girls' secondary school west of Deir al-Balah city, sheltering ~4,000 displaced with an attached field hospital.",,,View School
FAC-014,Rufaida Girls' High School,School,Secondary,Deir al-Balah,Deir al-Balah City,1900-01-30,1900-02-02,N/A,General Education (Girls),Operational,"Struck Oct 10, 2024; 28+ killed incl. 2 children, 54+ injured. Third school attack in Deir al-Balah in one week. Coords from Wikipedia geohack.","Government girls' secondary school in Deir al-Balah, used as a shelter and a UNICEF malnutrition treatment point.",,,View School
FAC-015,Holy Family School,School,Primary,Gaza,Gaza City,1900-01-30,1900-02-02,N/A,General Education,Operational,"Struck Jul 7, 2024; 4 killed. Part of wider Latin Patriarchate complex in Gaza City.","Latin Patriarchate-owned Catholic private school in Gaza City, housing hundreds of refugees from the war.",,,View School
FAC-016,Shadia Abu Ghazala School,School,Secondary,North Gaza,Beit Lahia,1900-01-30,1900-02-02,N/A,General Education,Operational,Documented as attacked during the Gaza war. Beit Lahia subject to intense bombardment in Oct–Nov 2024.,"Government school in Beit Lahia, northern Gaza, documented as struck during the war.",,,View School
FAC-017,Fahmi al-Jarjawi School,School,Primary,Gaza,"Daraj, Gaza City",1900-01-30,1900-02-02,N/A,General Education,Operational,"Struck May 25, 2025; 36+ killed including 18 children and 6 women, 55+ injured. Attack widely condemned internationally.","Government school in the Daraj neighbourhood of Gaza City, used as a displacement shelter.",,,View School
FAC-018,Al-Farabi School,School,Primary,Gaza,"Southwest Gaza City, near al-Yarmouk Stadium",1900-01-30,1900-02-02,N/A,General Education,Operational,"Struck Sep 7, 2025 in early morning; 8 killed including several children, two rockets used per witnesses.","Government school in southwestern Gaza City near the al-Yarmouk Stadium, used as a shelter.",,,View School
FAC-019,Ibn Rushd School,School,Secondary,Deir al-Balah,Deir al-Balah City,1900-01-30,1900-02-02,N/A,General Education,Operational,"Struck Oct 6, 2024 alongside adjacent mosque; 26+ killed, 93+ injured. Sheltering displaced families at time of strike.","Government school adjacent to Shuhada al-Aqsa mosque in Deir al-Balah, struck simultaneously with the mosque.",,,View School
FAC-020,Fatima Bint Asad School,School,Primary,North Gaza,Jabalia al-Balad,1900-01-30,1900-02-02,N/A,General Education,Operational,"Struck Oct 9, 2024 at ~6:45pm; artillery strike caused civilian casualties. Coords: Airwars ISPT091024v (31.538711, 34.495107).","School in Jabalia al-Balad, northern Gaza. Coords sourced from Airwars incident report ISPT091024v.",,,View School
FAC-021,British International School (BIS Gaza),School,Secondary / Sixth Form,Gaza,"Tel Al Hawa, Gaza City",1900-01-30,1900-02-02,N/A,International (A-Level / GED),Operational,"Closed Oct 7, 2023 due to the war. Founded 2016. Coords from Wikipedia. Website: bis.edu.ps","Private international school in the Tel Al Hawa neighbourhood of Gaza City, founded in 2016 offering British A-levels and American GED qualifications.",,,View School
