id,_anchor,name_ar,specialization_ar,post_war_status_ar,introduction_ar,introduction_ar,notes_ar
FAC-000,Al-Fakhoora School,مدرسة الفخورة,التعليم العام,تعرضت المدينة للقصف في 4 و18 نوفمبر 2023؛ ما أسفر عن مقتل أكثر من 65 شخصاً في غارتين؛ ونزوح آلاف الأشخاص الذين لجأوا إلى داخلها. كما تعرضت للقصف في نزاعات عامي 2009 و2014.,"UNRWA-run primary school in Jabalia refugee camp, one of the most repeatedly targeted schools in Gaza.",مدرسة ابتدائية تديرها الأونروا في مخيم جباليا للاجئين، وهي واحدة من أكثر المدارس استهدافاً في غزة.,
FAC-001,Abu Hussein School (Girls),مدرسة أبو حسين (للبنات),التعليم العام,تعرض لهجوم في 2 نوفمبر 2023 (20 قتيلاً)؛ وتعرض لهجوم آخر في 17 أكتوبر 2024 (أكثر من 28 قتيلاً، وأكثر من 160 جريحاً). الإحداثيات: Airwars ISPT0823.,"UNRWA girls' primary school in Jabalia refugee camp, used as a shelter for displaced families during the war.",مدرسة ابتدائية للبنات تابعة لوكالة الأونروا في مخيم جباليا للاجئين، والتي كانت تستخدم كمأوى للعائلات النازحة خلال الحرب.,
FAC-002,Osama bin Zaid School,مدرسة أسامة بن زيد,التعليم العام,وقع الهجوم في 3 نوفمبر 2023؛ أسفر عن مقتل 20 شخصاً وإصابة العشرات؛ وأكثر من 1000 لاجئ داخل المنطقة وفقاً لوكالة الأونروا ووزارة الصحة في غزة.,"UNRWA school in the Al-Saftawi area of northern Gaza, sheltering over 1,000 displaced residents at time of strike.",مدرسة تابعة لوكالة الأونروا في منطقة الصفتاوي شمال غزة، تؤوي أكثر من 1000 نازح وقت القصف.,
FAC-003,Al-Buraq School,مدرسة البراق,التعليم العام,ضربت في 9 نوفمبر 2023؛ ما لا يقل عن 50 قتيلاً عندما أصاب صاروخ إسرائيلي في الصباح بينما كان الآلاف يحتمون في الداخل.,"UNRWA school on Lababidi Street in the Al-Nasr neighbourhood of Gaza City, used as a displacement shelter.",مدرسة تابعة لوكالة الأونروا في شارع لبابيدي بحي النصر في مدينة غزة، تستخدم كمأوى للنازحين.,
FAC-004,Al-Falah School,مدرسة الفلاح,التعليم العام,وقع الهجوم في 17 نوفمبر 2023؛ وأسفر عن مقتل 20 شخصاً على الأقل. وبسبب انقطاع الاتصالات، لم تكن فرق الإنقاذ على علم بالأمر حتى اليوم التالي.,"UNRWA school in the Al-Zaytoun neighbourhood of Gaza City, serving as a UNRWA displacement shelter.",مدرسة تابعة للأونروا في حي الزيتون بمدينة غزة، تعمل كمأوى للنازحين تابع للأونروا.,
FAC-005,Al-Tabaeen School,مدرسة التابعين,التعليم العام,استُهدفت مدرسة في 10 أغسطس/آب 2024 بقنابل من طراز GBU-39، ما أسفر عن مقتل ما بين 80 و93 شخصًا وإصابة 47 آخرين. يُعدّ هذا الهجوم من بين أشدّ الهجمات دمويةً على مدرسة واحدة خلال الحرب. ولم يجد تحقيق مؤسسة الحق أي دليل على وجود معدات عسكرية في الموقع.,"Government school in the Al-Daraj area of eastern Gaza City with an attached mosque, located ~500m from Sahaba Medical Complex.",مدرسة حكومية في منطقة الدراج شرق مدينة غزة مع مسجد ملحق بها، وتقع على بعد حوالي 500 متر من مجمع الصحابة الطبي.,
FAC-006,Maghazi UNRWA School,مدرسة ماغازي التابعة لوكالة الأونروا,التعليم العام,وقع الهجوم الأول في 17 أكتوبر 2023؛ أسفر عن مقتل 6 أشخاص وإصابة العشرات، بينهم موظفون في وكالة الأونروا. ويوجد أكثر من 4000 لاجئ داخل المبنى، وفقاً للأونروا.,"UNRWA school in Al-Maghazi refugee camp, central Gaza, sheltering over 4,000 people at the time of the first strike.",مدرسة تابعة لوكالة الأونروا في مخيم المغازي للاجئين، وسط قطاع غزة، والتي كانت تؤوي أكثر من 4000 شخص وقت وقوع الضربة الأولى.,
FAC-007,Maghazi Secondary Girls School,مدرسة ماغازي الثانوية للبنات,التعليم العام (للبنات),وقع الهجوم في 27 ديسمبر 2023؛ وبلغ عدد القتلى 5 على الأقل.,"Government girls' secondary school in Al-Maghazi camp, central Gaza.",مدرسة حكومية ثانوية للبنات في مخيم المغازي، وسط قطاع غزة.,
FAC-008,Haifa School,مدرسة حيفا,التعليم العام,ضرب في 15 ديسمبر 2023؛ 20+ قتلوا. مقتل مصور الجزيرة سامر أبو دقة؛ - إصابة الصحفي وائل الدحدوح .,UNRWA school in Khan Younis used as a displacement shelter. Site where Al Jazeera journalist Samer Abu Daqqa was killed.,مدرسة تابعة لوكالة الأونروا في خان يونس تُستخدم كمأوى للنازحين. الموقع الذي قُتل فيه الصحفي سامر أبو دقة من قناة الجزيرة.,
FAC-009,An-Nazla Elementary School,مدرسة النازلا الابتدائية,التعليم العام,"استُهدف المكان بينما كان المئات يحتمون؛ وقُتل ما لا يقل عن 10 أشخاص بينهم أطفال. شهادة شاهد عيان (مايو 2024): ""كان الأطفال يلعبون في ساحة المدرسة، وفجأة تعرضنا للقصف"".","Government elementary school in northern Gaza, bombed while hundreds of refugees sheltered inside.",مدرسة ابتدائية حكومية في شمال غزة، تعرضت للقصف بينما كان مئات اللاجئين يحتمون بداخلها.,
FAC-010,Al-Sardi School,مدرسة السردي,التعليم العام,في السادس من يونيو/حزيران 2024، حوالي الساعة الثانية صباحًا، استهدف صاروخان من طراز GBU-39 فصولًا دراسية في الطابق العلوي. أسفر الهجوم عن مقتل ما بين 33 و35 شخصًا (9 أطفال، 3 نساء، 21 رجلًا)، وإصابة أكثر من 70 آخرين. وكان من بين الضحايا طفل يبلغ من العمر 8 سنوات.,"UNRWA school in Nuseirat refugee camp, sheltering approximately 6,000 displaced people at time of strike.",مدرسة تابعة لوكالة الأونروا في مخيم النصيرات للاجئين، والذي كان يؤوي حوالي 6000 نازح وقت الإضراب.,
