id,_anchor,name_de,specialization_de,post_war_status_de,introduction_de,notes_de
FAC-000,Al-Fakhoora School,Al-Fakhoora-Schule,Allgemeine Bildung,Am 4. und 18. November 2023 angegriffen; über 65 Tote bei zwei Angriffen; Tausende Vertriebene suchen Schutz in Gebäuden. Auch in den Konflikten von 2009 und 2014 beschossen.,"Eine von der UNRWA betriebene Grundschule im Flüchtlingslager Jabalia, eine der am häufigsten angegriffenen Schulen im Gazastreifen.",
FAC-001,Abu Hussein School (Girls),Abu-Hussein-Schule (Mädchen),Allgemeine Bildung,"Angriff am 2. November 2023 (20 Tote); erneuter Angriff am 17. Oktober 2024 (über 28 Tote, über 160 Verletzte). Koordinaten: Airwars ISPT0823.","UNRWA-Mädchengrundschule im Flüchtlingslager Jabalia, die während des Krieges als Zufluchtsort für vertriebene Familien diente.",
FAC-002,Osama bin Zaid School,Osama bin Zaid Schule,Allgemeine Bildung,"Anschlag am 3. November 2023; 20 Tote, Dutzende Verletzte; über 1000 Flüchtlinge im Inneren laut UNRWA und dem Gesundheitsministerium von Gaza.",Die UNRWA-Schule im Al-Saftawi-Gebiet im nördlichen Gazastreifen bot zum Zeitpunkt des Angriffs über 1000 Binnenvertriebenen Schutz.,
FAC-003,Al-Buraq School,Al-Buraq-Schule,Allgemeine Bildung,"Am 9. November 2023 schlug eine israelische Rakete ein, während Tausende in Gebäuden Schutz suchten. Mindestens 50 Menschen starben.",Die UNRWA-Schule in der Lababidi-Straße im Al-Nasr-Viertel von Gaza-Stadt wird als Unterkunft für Binnenvertriebene genutzt.,
FAC-004,Al-Falah School,Al-Falah-Schule,Allgemeine Bildung,Am 17. November 2023 ereignete sich ein Bombenanschlag; mindestens 20 Menschen starben. Aufgrund eines Kommunikationsausfalls wurden die Rettungskräfte erst am nächsten Tag informiert.,"UNRWA-Schule im Stadtteil Al-Zaytoun von Gaza-Stadt, die als UNRWA-Unterkunft für Binnenvertriebene dient.",
FAC-005,Al-Tabaeen School,Al-Tabaeen-Schule,Allgemeine Bildung,"Am 10. August 2024 wurde eine Schule mit GBU-39-Bomben angegriffen; 80–93 Tote, 47 Verletzte. Es handelte sich um einen der verheerendsten Einzelangriffe auf Schulen während des Krieges. Die Untersuchung von Al-Haq ergab keine Hinweise auf militärische Ausrüstung am Tatort.","Staatliche Schule im Al-Daraj-Viertel im Osten von Gaza-Stadt mit angeschlossener Moschee, ca. 500 m vom Sahaba-Medizinkomplex entfernt.",
FAC-006,Maghazi UNRWA School,Maghazi UNRWA-Schule,Allgemeine Bildung,"Erster Anschlag am 17. Oktober 2023; 6 Tote, Dutzende Verletzte, darunter UNRWA-Mitarbeiter. Laut UNRWA befanden sich über 4.000 Flüchtlinge im Gebäude.",Die UNRWA-Schule im Flüchtlingslager Al-Maghazi im zentralen Gazastreifen bot zum Zeitpunkt des ersten Angriffs über 4000 Menschen Schutz.,
FAC-007,Maghazi Secondary Girls School,Maghazi-Sekundarschule für Mädchen,Allgemeinbildung (Mädchen),Am 27. Dezember 2023 getroffen; mindestens 5 Tote.,"Staatliche Mädchensekundarschule im Flüchtlingslager Al-Maghazi, Zentral-Gaza.",
FAC-008,Haifa School,Haifa-Schule,Allgemeine Bildung,Geschlagen am 15. Dezember 2023; 20+ getötet. Al-Jazeera-Fotograf Samer Abu Daqqa getötet; Journalist Wael Al-Dahdouh verletzt.,Eine UNRWA-Schule in Khan Younis diente als Notunterkunft für Binnenvertriebene. An diesem Ort wurde der Al-Jazeera-Journalist Samer Abu Daqqa getötet.,
FAC-009,An-Nazla Elementary School,An-Nazla Grundschule,Allgemeine Bildung,"Hunderte suchten Schutz; mindestens zehn Menschen, darunter Kinder, wurden getötet. Augenzeugenbericht (Mai 2024): „Kinder spielten auf dem Schulhof, und plötzlich wurden wir bombardiert.“","Eine staatliche Grundschule im nördlichen Gazastreifen wurde bombardiert, während Hunderte von Flüchtlingen im Inneren Schutz suchten.",
