id,name,type,sub_type,governorate,area,lat,lng,beds_pre_war,specialization,pre_war_status,post_war_status,introduction,notes,Image_url,
FAC-000,Gaza University,University,Public University,Gaza,Gaza City,"31,5030","34,4541",,Multi-disciplinary / Law / Commerce / Arts,Operational,,"Gaza University is a public university in Gaza City with multiple branches across the Strip, offering undergraduate and postgraduate programmes in arts, law, commerce, and education. It served thousands of students from across the Gaza governorates.",Operates branches in Khan Yunis and North Gaza. All campuses affected.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTBcL4JGcuhHR9mvOKb3qQwfpNPn5woxgvMAaKpU8Yaccl6zatFi7x0tddL&s=10,View University
FAC-001,Islamic University of Gaza,University,Islamic University,Gaza,Gaza City,"31,5117","34,4552",,Multi-disciplinary / Engineering / Medicine / Science / Sharia & Law,Operational,,"Founded in 1978, the Islamic University of Gaza (IUG) was Gaza's largest and most prominent higher education institution. It offered programmes across engineering, medicine, arts, sciences, and Islamic studies, and housed internationally recognised research centres. The university was presided over by physicist Dr. Sufyan Tayeh, who was killed in December 2023.","Premier research university in Gaza. Dr. Refaat Alareer (English Literature) killed December 6, 2023. Dr. Nasser Abu al-Nour (Dean of Nursing) killed February 2024.",stat-universities-attacked/islamic_university_AB.png,View University
FAC-002,Israa University,University,Private University,Gaza,Gaza City,"31,5085","34,4490",,Business / Information Technology / Arts / Law,Operational,totally demolished,"Israa University is a private institution in Gaza City established in the 1990s. It provided undergraduate programmes in business administration, information technology, arts, and legal studies, serving thousands of Gazan students who sought an alternative to the public university system.",One of several private universities operating in Gaza City pre-war.,stat-universities-attacked/israa_university_ab.png,View University
FAC-003,Al-Azhar University – Gaza,University,Public University,Gaza,Gaza City,"31,5044","34,4574",,Multi-disciplinary / Islamic Studies / Medicine / Engineering / Sciences,Operational,,"Al-Azhar University – Gaza, founded in 1991, is one of the largest universities in the Gaza Strip. It is administratively independent from Al-Azhar in Egypt and offers a wide range of programmes including medicine, engineering, sciences, and Islamic studies. It was a major employer of academic staff across the Gaza governorates.",Not affiliated with Al-Azhar Cairo; independent Palestinian institution sharing the name.,stat-universities-attacked/al_azhar_university_ab.png,View University
FAC-004,Al-Aqsa University,University,Public University,Gaza,Gaza City,"31,4952","34,4621",,Education / Arts / Sciences / Business,Operational,,"Al-Aqsa University traces its roots to a teacher training college established in 1955 and became a full university in the 1990s. It operates campuses in Gaza City, Khan Yunis, and Deir al-Balah, making it one of the most geographically distributed universities in the Strip. It was particularly noted for its education and arts faculties.","Multiple campuses: Gaza City (main), Khan Yunis, Deir al-Balah.",stat-universities-attacked/al_aqsa_university_khan_younis_ab.png,View University
FAC-005,University of Palestine,University,Private University,Gaza,Gaza City,"31,5231","34,4477",,Medicine / Engineering / Business / Law / Information Technology,Operational,,"The University of Palestine, established in 2000, is a private university in Gaza City offering programmes in medicine, engineering, business, and law. It housed distinguished faculty including Dr. Ahmed al-Dalou (Dean of Medicine) and Dr. Ahmed Abu Absa (Dean of Engineering), both killed during the conflict. It was one of Gaza's newer institutions with modern facilities.",Dr. Ahmed al-Dalou (Dean of Medicine) killed with 43 family members. Dr. Ahmed Abu Absa (Dean of Engineering) killed December 2023.,https://up.edu.ps/ar/upload/images/slider/58b072b77eff84f5714ac0855689e14a.png,View University
FAC-006,Palestine Technical College,Technical College,Public Technical College,Deir al-Balah,Deir al-Balah,"31,4165","34,3501",,Engineering Technology / Vocational Training / Applied Sciences,Operational,,"Palestine Technical College in Deir al-Balah is the primary technical and vocational higher education institution in the central Gaza Strip. It offers two-year technical diploma programmes in engineering technology, computer science, and applied sciences, providing practical workforce training for Gaza's economy.",Primary technical/vocational higher education institution for central Gaza.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQzre1wcTsesaZQ4-Kbd8eXgr_knbtd8lMk7kmVEXFeBlSlaYUV93LKHrF1&s=10,View University
FAC-007,University College of Applied Sciences (UCAS),Technical College,Private University College,Gaza,Gaza City,"31,5152","34,4515",,Applied Sciences / Information Technology / Engineering Technology,Operational,,"The University College of Applied Sciences (UCAS), established in 1998, is a private higher education institution in Gaza City specialising in applied and technical education. It offers two- and four-year programmes in information technology, applied sciences, and engineering technology, and has been recognised for its role in developing Gaza's technical workforce.",Established 1998. Focus on applied technical education.,stat-universities-attacked/university_college_of_applied_sciences_ab.png,View University
FAC-008,Al-Quds Open University – Gaza,University,Public Distance Learning University,Gaza,Gaza City,"31,5000","34,4600",,Multi-disciplinary / Education / Business / Technology / Social Sciences,Operational,,"Al-Quds Open University (QOU) operates the largest student enrolment of any Palestinian university through its distance-learning model. Its Gaza regional offices and study centres served tens of thousands of students across all five governorates of the Strip, offering flexible undergraduate and postgraduate programmes across multiple disciplines.",Largest enrolment base in Gaza via distance learning. Multiple study centres across all governorates.,https://www.qou.edu/ar/branches/images/branch_building_17.jpg?s=1,View University
FAC-009,Arab College for Applied Sciences,College,Private College,Gaza,Gaza City,"31,5100","34,4558",,Business Administration / Information Technology / Accounting,Operational,,"The Arab College for Applied Sciences is a smaller private higher education institution in Gaza City offering programmes in business administration, accounting, and information technology. It served students seeking practical, career-oriented qualifications in the Gaza business sector.",Smaller private institution serving career-oriented students.,stat-universities-attacked/arab_college_for_applied_science_ab.png,View University
FAC-010,Palestine College of Nursing and Midwifery,College,Public Healthcare College,Khan Yunis,Khan Yunis,"31,3441","34,3073",,Nursing / Midwifery / Allied Health,Operational,,"The Palestine College of Nursing and Midwifery in Khan Yunis is a public institution dedicated to training nursing and midwifery professionals for Gaza's healthcare system. Given the severe shortage of healthcare workers in the Strip, it played a critical role in building clinical capacity for Gazan hospitals and health centres.",Critical healthcare workforce training institution. Located in Khan Yunis.,https://gazaeducationsector.palestine-studies.org/sites/default/files/images/universities/covers/%D9%83%D9%84%D9%8A%D8%A9%20%D9%81%D9%84%D8%B3%D8%B7%D9%8A%D9%86%20%D9%84%D9%84%D8%AA%D9%85%D8%B1%D9%8A%D8%B6.jpg,View University
FAC-011,Gaza Sky Geeks / Technology Institutes,Training Institute,Private Technology Institute,Gaza,Gaza City,"31,5140","34,4530",,Software Development / Technology / Entrepreneurship,Operational,,"Gaza's technology training sector included several private institutes providing coding bootcamps, software development programmes, and entrepreneurship training. These institutions were pivotal in developing Gaza's growing tech and startup ecosystem, which had attracted international attention before the war.",Includes technology training centres and coding institutes.,https://euromedmonitor.org/img.php?src=unrwa-gaza-24.jpg&crop-to-fit,View University
FAC-012,Al-Aqsa University - Khan Younis,University,,,,,,,,,,,,https://www.alaqsa.edu.ps/site/Resources/img/cover-img.jpg,View University
,,,,,,,,,,,,,,,View University
,,,,,,,,,,,,,,,View University
,,,,,,,,,,,,,,,View University
,,,,,,,,,,,,,,,View University
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
