id,_anchor,name_ar,specialization_ar,post_war_status_ar,introduction_ar,introduction_ar,notes_ar
FAC-000,Gaza University,جامعة غزة,متعدد التخصصات / القانون / التجارة / الفنون,,"Gaza University is a public university in Gaza City with multiple branches across the Strip, offering undergraduate and postgraduate programmes in arts, law, commerce, and education. It served thousands of students from across the Gaza governorates.",جامعة غزة هي جامعة حكومية في مدينة غزة ولها فروع متعددة في جميع أنحاء القطاع، وتقدم برامج البكالوريوس والدراسات العليا في الآداب والقانون والتجارة والتربية. وقد خدمت آلاف الطلاب من مختلف محافظات غزة.,تدير فروعاً في خان يونس وشمال غزة. جميع الفروع متأثرة.
FAC-001,Islamic University of Gaza,الجامعة الإسلامية في غزة,متعدد التخصصات / الهندسة / الطب / العلوم / الشريعة والقانون,,"Founded in 1978, the Islamic University of Gaza (IUG) was Gaza's largest and most prominent higher education institution. It offered programmes across engineering, medicine, arts, sciences, and Islamic studies, and housed internationally recognised research centres. The university was presided over by physicist Dr. Sufyan Tayeh, who was killed in December 2023.",تأسست الجامعة الإسلامية في غزة عام 1978، وكانت أكبر وأبرز مؤسسة للتعليم العالي في غزة. وقدّمت برامج في الهندسة والطب والفنون والعلوم والدراسات الإسلامية، وضمّت مراكز بحثية معترف بها دوليًا. وترأس الجامعة الفيزيائي الدكتور سفيان تايه، الذي اغتيل في ديسمبر 2023.,جامعة بحثية رائدة في غزة. الدكتور رفعت العرير (قسم الأدب الإنجليزي) اغتيل في 6 ديسمبر 2023. الدكتور ناصر أبو النور (عميد كلية التمريض) اغتيل في فبراير 2024.
FAC-002,Israa University,جامعة إسراء,الأعمال / تكنولوجيا المعلومات / الفنون / القانون,تم هدمها بالكامل,"Israa University is a private institution in Gaza City established in the 1990s. It provided undergraduate programmes in business administration, information technology, arts, and legal studies, serving thousands of Gazan students who sought an alternative to the public university system.",جامعة إسراء هي مؤسسة خاصة في مدينة غزة تأسست في التسعينيات. وقد قدمت برامج البكالوريوس في إدارة الأعمال وتكنولوجيا المعلومات والفنون والدراسات القانونية، وخدمت آلاف الطلاب الغزيين الذين سعوا إلى بديل لنظام الجامعة الحكومية.,إحدى الجامعات الخاصة العديدة التي كانت تعمل في مدينة غزة قبل الحرب.
FAC-003,Al-Azhar University – Gaza,جامعة الأزهر – غزة,متعدد التخصصات / الدراسات الإسلامية / الطب / الهندسة / العلوم,,"Al-Azhar University – Gaza, founded in 1991, is one of the largest universities in the Gaza Strip. It is administratively independent from Al-Azhar in Egypt and offers a wide range of programmes including medicine, engineering, sciences, and Islamic studies. It was a major employer of academic staff across the Gaza governorates.",جامعة الأزهر - غزة، التي تأسست عام 1991، هي إحدى أكبر الجامعات في قطاع غزة. وهي مستقلة إدارياً عن جامعة الأزهر في مصر، وتقدم مجموعة واسعة من البرامج الدراسية تشمل الطب والهندسة والعلوم والدراسات الإسلامية. وكانت الجامعة من أكبر جهات توظيف الكوادر الأكاديمية في محافظات غزة.,لا تتبع للأزهر في القاهرة؛ مؤسسة فلسطينية مستقلة تحمل نفس الاسم.
FAC-004,Al-Aqsa University,جامعة الأقصى,التعليم / الفنون / العلوم / الأعمال,,"Al-Aqsa University traces its roots to a teacher training college established in 1955 and became a full university in the 1990s. It operates campuses in Gaza City, Khan Yunis, and Deir al-Balah, making it one of the most geographically distributed universities in the Strip. It was particularly noted for its education and arts faculties.",تعود جذور جامعة الأقصى إلى كلية لإعداد المعلمين تأسست عام 1955، ثم أصبحت جامعة متكاملة في تسعينيات القرن الماضي. ولها فروع في مدينة غزة وخان يونس ودير البلح، مما يجعلها من أكثر الجامعات انتشاراً جغرافياً في القطاع. وقد اشتهرت بشكل خاص بكلياتها في التربية والفنون.,فروع جامعية متعددة: مدينة غزة (الرئيسية)، خان يونس، دير البلح.
FAC-005,University of Palestine,جامعة فلسطين,الطب / الهندسة / إدارة الأعمال / القانون / تكنولوجيا المعلومات,,"The University of Palestine, established in 2000, is a private university in Gaza City offering programmes in medicine, engineering, business, and law. It housed distinguished faculty including Dr. Ahmed al-Dalou (Dean of Medicine) and Dr. Ahmed Abu Absa (Dean of Engineering), both killed during the conflict. It was one of Gaza's newer institutions with modern facilities.",جامعة فلسطين، التي تأسست عام 2000، هي جامعة خاصة في مدينة غزة، تقدم برامج في الطب والهندسة وإدارة الأعمال والقانون. وقد ضمت الجامعة نخبة من أعضاء هيئة التدريس المتميزين، من بينهم الدكتور أحمد الدلو (عميد كلية الطب) والدكتور أحمد أبو عبسة (عميد كلية الهندسة)، وكلاهما استشهد خلال النزاع. وكانت الجامعة من أحدث المؤسسات التعليمية في غزة، وتضم مرافق حديثة.,قُتل الدكتور أحمد الدلو (عميد كلية الطب) مع 43 من أفراد أسرته. وقُتل الدكتور أحمد أبو أبسة (عميد كلية الهندسة) في ديسمبر 2023.
FAC-006,Palestine Technical College,كلية فلسطين التقنية,تكنولوجيا الهندسة / التدريب المهني / العلوم التطبيقية,,"Palestine Technical College in Deir al-Balah is the primary technical and vocational higher education institution in the central Gaza Strip. It offers two-year technical diploma programmes in engineering technology, computer science, and applied sciences, providing practical workforce training for Gaza's economy.",تُعدّ كلية فلسطين التقنية في دير البلح المؤسسة التعليمية التقنية والمهنية الرئيسية في وسط قطاع غزة. وتقدم برامج دبلوم تقني لمدة عامين في الهندسة والتكنولوجيا وعلوم الحاسوب والعلوم التطبيقية، مما يوفر تدريباً عملياً للقوى العاملة لاقتصاد غزة.,المؤسسة التعليمية التقنية/المهنية العليا الرئيسية لوسط غزة.
FAC-007,University College of Applied Sciences (UCAS),كلية العلوم التطبيقية الجامعية (UCAS),العلوم التطبيقية / تكنولوجيا المعلومات / تكنولوجيا الهندسة,,"The University College of Applied Sciences (UCAS), established in 1998, is a private higher education institution in Gaza City specialising in applied and technical education. It offers two- and four-year programmes in information technology, applied sciences, and engineering technology, and has been recognised for its role in developing Gaza's technical workforce.",كلية العلوم التطبيقية الجامعية (UCAS)، التي تأسست عام 1998، هي مؤسسة تعليمية خاصة في مدينة غزة متخصصة في التعليم التطبيقي والتقني. تقدم الكلية برامج دراسية لمدة سنتين وأربع سنوات في تكنولوجيا المعلومات والعلوم التطبيقية والهندسة التقنية، وقد حظيت بالتقدير لدورها في تطوير الكوادر التقنية في غزة.,تأسست عام 1998. تركز على التعليم التقني التطبيقي.
FAC-008,Al-Quds Open University – Gaza,جامعة القدس المفتوحة – غزة,متعدد التخصصات / التعليم / الأعمال / التكنولوجيا / العلوم الاجتماعية,,"Al-Quds Open University (QOU) operates the largest student enrolment of any Palestinian university through its distance-learning model. Its Gaza regional offices and study centres served tens of thousands of students across all five governorates of the Strip, offering flexible undergraduate and postgraduate programmes across multiple disciplines.",تُدير جامعة القدس المفتوحة أكبر عدد من الطلاب المسجلين بين الجامعات الفلسطينية من خلال نموذج التعليم عن بُعد. وقد خدمت مكاتبها الإقليمية ومراكزها الدراسية في غزة عشرات الآلاف من الطلاب في جميع محافظات القطاع الخمس، حيث قدمت برامج دراسية مرنة في مرحلتي البكالوريوس والدراسات العليا في تخصصات متعددة.,أكبر قاعدة تسجيل في غزة عبر التعليم عن بعد. مراكز دراسية متعددة في جميع المحافظات.
FAC-009,Arab College for Applied Sciences,الكلية العربية للعلوم التطبيقية,إدارة الأعمال / تكنولوجيا المعلومات / المحاسبة,,"The Arab College for Applied Sciences is a smaller private higher education institution in Gaza City offering programmes in business administration, accounting, and information technology. It served students seeking practical, career-oriented qualifications in the Gaza business sector.",الكلية العربية للعلوم التطبيقية هي مؤسسة تعليمية خاصة صغيرة في مدينة غزة، تقدم برامج في إدارة الأعمال والمحاسبة وتقنية المعلومات. وتخدم الطلاب الساعين للحصول على مؤهلات عملية ومهنية في قطاع الأعمال في غزة.,مؤسسة خاصة صغيرة تخدم الطلاب ذوي التوجه المهني.
