id,_anchor,name_de,specialization_de,post_war_status_de,introduction_de,notes_de
FAC-000,Gaza University,Gaza-Universität,Multidisziplinär / Recht / Wirtschaft / Kunst,,"Die Gaza-Universität ist eine staatliche Universität in Gaza-Stadt mit mehreren Zweigstellen im gesamten Gazastreifen. Sie bietet Bachelor- und Masterstudiengänge in Geisteswissenschaften, Rechtswissenschaften, Wirtschaftswissenschaften und Pädagogik an und betreut Tausende von Studierenden aus allen Gouvernements des Gazastreifens.",Betreibt Niederlassungen in Khan Yunis und Nord-Gaza. Alle Standorte betroffen.
FAC-001,Islamic University of Gaza,Islamische Universität von Gaza,Multidisziplinär / Ingenieurwesen / Medizin / Wissenschaft / Scharia & Recht,,"Die 1978 gegründete Islamische Universität Gaza (IUG) war die größte und bedeutendste Hochschule im Gazastreifen. Sie bot Studiengänge in den Bereichen Ingenieurwesen, Medizin, Geisteswissenschaften, Naturwissenschaften und Islamwissenschaften an und beherbergte international anerkannte Forschungszentren. Die Universität wurde von dem Physiker Dr. Sufyan Tayeh geleitet, der im Dezember 2023 ermordet wurde.",Führende Forschungsuniversität in Gaza. Dr. Refaat Alareer (Englische Literatur) wurde am 6. Dezember 2023 getötet. Dr. Nasser Abu al-Nour (Dekan der Krankenpflege) wurde im Februar 2024 getötet.
FAC-002,Israa University,Israa Universität,Wirtschaft / Informationstechnologie / Kunst / Recht,völlig abgerissen,"Die Israa-Universität ist eine private Hochschule in Gaza-Stadt, die in den 1990er Jahren gegründet wurde. Sie bot Bachelor-Studiengänge in Betriebswirtschaft, Informationstechnologie, Kunst und Rechtswissenschaften an und diente Tausenden von Studenten aus Gaza, die eine Alternative zum öffentlichen Universitätssystem suchten.","Eine von mehreren privaten Universitäten, die vor dem Krieg in Gaza-Stadt existierten."
FAC-003,Al-Azhar University – Gaza,Al-Azhar-Universität – Gaza,Multidisziplinär / Islamwissenschaften / Medizin / Ingenieurwesen / Naturwissenschaften,,"Die 1991 gegründete Al-Azhar-Universität Gaza ist eine der größten Universitäten im Gazastreifen. Sie ist administrativ unabhängig von der Al-Azhar-Universität in Ägypten und bietet ein breites Spektrum an Studiengängen an, darunter Medizin, Ingenieurwissenschaften, Naturwissenschaften und Islamwissenschaften. Sie war ein bedeutender Arbeitgeber für akademisches Personal in den Gouvernements des Gazastreifens.",Nicht mit Al-Azhar Kairo verbunden; unabhängige palästinensische Institution mit demselben Namen.
FAC-004,Al-Aqsa University,Al-Aqsa-Universität,Bildung / Kunst / Wissenschaften / Wirtschaft,,"Die Al-Aqsa-Universität geht auf eine 1955 gegründete Lehrerbildungsanstalt zurück und wurde in den 1990er Jahren zur vollwertigen Universität. Mit Standorten in Gaza-Stadt, Khan Yunis und Deir al-Balah zählt sie zu den Universitäten im Gazastreifen mit dem größten geografischen Umfang. Besonders bekannt ist sie für ihre Fakultäten für Pädagogik und Geisteswissenschaften.","Mehrere Campus: Gaza-Stadt (Hauptcampus), Khan Yunis, Deir al-Balah."
FAC-005,University of Palestine,Universität von Palästina,Medizin / Ingenieurwesen / Wirtschaft / Recht / Informationstechnologie,,"Die im Jahr 2000 gegründete Universität von Palästina ist eine private Universität in Gaza-Stadt, die Studiengänge in Medizin, Ingenieurwesen, Wirtschaft und Jura anbietet. Zu ihren angesehenen Dozenten zählten Dr. Ahmed al-Dalou (Dekan der Medizinischen Fakultät) und Dr. Ahmed Abu Absa (Dekan der Ingenieurwissenschaften), die beide im Konflikt getötet wurden. Sie war eine der neueren Hochschulen in Gaza und verfügte über moderne Einrichtungen.",Dr. Ahmed al-Dalou (Dekan der Medizinischen Fakultät) wurde zusammen mit 43 Familienangehörigen getötet. Dr. Ahmed Abu Absa (Dekan der Ingenieurwissenschaften) wurde im Dezember 2023 getötet.
FAC-006,Palestine Technical College,Palästinensisches Technisches College,Ingenieurtechnik / Berufsausbildung / Angewandte Wissenschaften,,"Das Palestine Technical College in Deir al-Balah ist die wichtigste technische und berufliche Hochschule im zentralen Gazastreifen. Es bietet zweijährige technische Diplomstudiengänge in Ingenieurwesen, Informatik und angewandten Wissenschaften an und bildet so praxisnahe Arbeitskräfte für die Wirtschaft Gazas aus.",Primäre technische/berufliche Hochschule für Zentral-Gaza.
FAC-007,University College of Applied Sciences (UCAS),University College of Applied Sciences (UCAS),Angewandte Wissenschaften / Informationstechnologie / Ingenieurtechnologie,,"Das University College of Applied Sciences (UCAS), gegründet 1998, ist eine private Hochschule in Gaza-Stadt, die sich auf angewandte und technische Bildung spezialisiert hat. Sie bietet zwei- und vierjährige Studiengänge in Informationstechnologie, angewandten Wissenschaften und Ingenieurtechnik an und ist für ihren Beitrag zur Entwicklung der technischen Fachkräfte in Gaza anerkannt.",Gegründet 1998. Schwerpunkt: angewandte technische Ausbildung.
FAC-008,Al-Quds Open University – Gaza,Al-Quds Open University – Gaza,Multidisziplinär / Bildung / Wirtschaft / Technologie / Sozialwissenschaften,,Die Al-Quds Open University (QOU) verzeichnet die größte Studierendenzahl aller palästinensischen Universitäten im Fernstudium. Ihre regionalen Büros und Studienzentren im Gazastreifen betreuten Zehntausende Studierende in allen fünf Gouvernements des Gazastreifens und boten flexible Bachelor- und Masterstudiengänge in verschiedenen Fachrichtungen an.,Größte Einschreibungsbasis für Fernstudium in Gaza. Mehrere Studienzentren in allen Gouvernements.
FAC-009,Arab College for Applied Sciences,Arabische Hochschule für Angewandte Wissenschaften,Betriebswirtschaftslehre / Informationstechnologie / Rechnungswesen,,"Das Arab College for Applied Sciences ist eine kleinere private Hochschule in Gaza-Stadt, die Studiengänge in Betriebswirtschaft, Rechnungswesen und Informationstechnologie anbietet. Es richtet sich an Studierende, die praxisorientierte, berufsbezogene Qualifikationen für den Wirtschaftssektor in Gaza anstreben.",Kleinere private Bildungseinrichtung mit karriereorientierten Studenten.
