incident_id,facility_id,facility_name,starting_date,ending_date,attack_type,result,description,full_discription,source_url_1,source_url_2,archived_resources,has_image,image_url,archived_image,video_url,archived_video,civilians_killed,civilians_injured,hw_killed,hw_injured,added_by,reviewed_by,Column 1,submission_id,added_by,reviewed_by,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8
INC-000,FAC-004,Al-Aqsa University,2023-04-11,,Bombardment,University damaged by bombing,"An article from The National states that Al-Aqsa University was damaged in a bombing on 4 Nov but there do not seem to be other reports that directly mention this event, and the article does not specify whether this occured at the Khan Younis or Gaza City Campus of the Univesity.",,https://www.thenationalnews.com/mena/2024/03/01/gaza-israel-universities-war/,https://voices.uchicago.edu/scholasticide/timeline/,,"Possibly - link to facebook video, but narative in Arabic.",https://www.facebook.com/AJA.Egypt/videos/1339154640139148/,,https://www.idf.il/en/mini-sites/idf-press-releases-israel-at-war/october-23-pr/why-did-the-idf-strike-the-islamic-university-in-gaza/,,,,,,Garth,Antonis,View Incident,,,,,,,,,,
INC-001,FAC-004,Al-Aqsa University,2024-06-02,,Tank Shell,Two university buildings destroyed,Israeli army forces moved into the west of Gaza City and shelled and destroyed two buildings on the university campus. Israeli forces fired at displaced Palestinians who were taking shelter on campus.,,https://www.aa.com.tr/en/middle-east/israeli-army-destroys-2-buildings-of-al-aqsa-university-in-gaza-city/3129434,,,Yes,https://x.com/ytirawi/status/1793628894245118205?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1793628894245118205%7Ctwgr%5E3c3c4e3a656c76e64242489d538a2c47a65ab99b%7Ctwcon%5Es1_&ref_url=https%3A%2F%2Fthreadreaderapp.com%2Fthread%2F1793700811870290179.html,,,,,,,,Garth,Antonis,View Incident,,,,,,,,,,
INC-002,FAC-004,Al-Aqsa University,2024-06-02,,Artillery Shelling,"Two buildings on the campus were destroyed by shelling, and displaced people sheltering on the campus were fired at","“Israeli army forces moved into the west of Gaza City and shelled and destroyed two buildings on the university campus,” an eyewitness told Anadolu.

According to an Anadolu reporter, Israeli forces fired at displaced Palestinians who were taking shelter on campus.",,https://www.aa.com.tr/en/middle-east/israeli-army-destroys-2-buildings-of-al-aqsa-university-in-gaza-city/3129434,https://voices.uchicago.edu/scholasticide/timeline/,,Yes,https://i.guim.co.uk/img/media/4b508e514dcf4439b3390cd674b1243e3f3d3e44/0_0_7917_4753/master/7917.jpg?width=1900&dpr=1&s=none&crop=none,,,,20,,,,Garth,Antonis,View Incident,,,,,,,,,,
INC-003,FAC-004,Al-Aqsa University,20/05/2024 00:00,,Incineration,library books burned,Instagram post shows IDF soldier in front of bookshelf burning books in library.,Israeli soldiers set fire in Aqsa University library in Gaza City and took pictures of themselves in front of the flames ,https://www.timesofisrael.com/idf-opens-probe-after-social-media-posts-show-troops-burning-quran-other-books-in-gaza/,https://threadreaderapp.com/thread/1793700811870290179.html,,No,,,https://x.com/DocumentIsrael/status/1747711679616479617/video/1,,,,,,Garth,Antonis,View Incident,,,,,,,,,,
INC-004,FAC-004,Al-Aqsa University,22/01/2024 00:00,,Bombardment,Al-Aqsa University destroyed,"Israeli forces shelled Al-Aqsa University, which at the time was a shelter for displaced people",Footage shows the destruction caused to Al-Aqsa University in Khan Younis city in the Gaza Strip after it was bombed in a targeted attack by the Israeli army,https://www.middleeasteye.net/explainer-gaza-israel-palestine-war-university-destroy,https://www.youtube.com/shorts/vTwuTkzTCwU,,No,,,,,,,,,Garth,Antonis,View Incident,,,,,,,,,,
INC-005,FAC-004,Al-Aqsa University,30/12/2023 00:00,,Airstrike,20 people killed sheltering at al-Aqsa University. ,witnesses said strike killed 20 people sheltering at al-Aqsa University. ,,https://www.theguardian.com/world/2023/dec/31/israeli-airstrikes-kill-dozens-in-gaza-netanyahu-hamas,,,Yes,"https://www.middleeasteye.net/explainer-gaza-israel-palestine-war-university-destroy,https://www.middleeastmonitor.com/20231106-israeli-air-strikes-target-gazas-al-azhar-university/",,,,,,,,Garth,,View Incident,,,,,,,,,,
INC-006,FAC-004,Al-Aqsa University,31/12/2023 00:00,,Airstrike,"Al-Aqsa University campus was hit, killing 20","Another strike killed 20 people sheltering at al-Aqsa University in the west of Gaza City, witnesses said.",,https://www.theguardian.com/world/2023/dec/31/israeli-airstrikes-kill-dozens-in-gaza-netanyahu-hamas,https://voices.uchicago.edu/scholasticide/timeline/,,Yes,https://x.com/ytirawi/status/1835331007240655224,,,,,,,,Garth,,View Incident,,,,,,,,,,
INC-007,FAC-012,Al-Aqsa University - Khan Younis,2024-04-02,,Airstrike (Vicinity),"Warplanes targeted the area surrounding Al-Aqsa University in Khan Younis. At the time, the University's building had become a shelter centre, where people endured difficult conditions, with overflowing sewage and limited access to safe drinking water.",,"Warplanes targeted the area surrounding Al-Aqsa University in Khan Younis. At the time, the University's building had become a shelter centre, where people endured difficult conditions, with overflowing sewage and limited access to safe drinking water.",Al-Aqsa University | Documenting the Educide in the Gaza Strip,,,Yes,"https://www.instagram.com/timesofgaza/p/Czq4eVeIza2/ , https://x.com/Levantinette/status/1744774743373275289 ",,https://www.idf.il/en/mini-sites/idf-press-releases-israel-at-war/october-23-pr/why-did-the-idf-strike-the-islamic-university-in-gaza/,,,,,,Garth,,View Incident,,,,,,,,,,
INC-008,FAC-012,Al-Aqsa University - Khan Younis,24/01/2024 00:00,,Forced Evacuation,"During its ground invasion of Khan Younis, the Israeli Occupation besieged and bombed Al-Aqsa University and forced displaced Palestinian families to leave the site after they had taken shelter inside.",,Occupation forces demolished the university’s outer fence and then gave sufficient time for thieves to steal all its contents.,"""Al-Aqsa University | Documenting the Educide in the Gaza Strip""""https://electronicintifada.net/content/right-education-will-remain-under-threat-gaza/47466?utm_source=EI+readers&utm_campaign=e07301a25d-RSS_EMAIL_CAMPAIGN&utm_medium=email&utm_term=0_e802a7602d-e07301a25d-299323212""",,,,,,,,,,,,Garth,,View Incident,,,,,,,,,,
INC-009,FAC-012,Al-Aqsa University - Khan Younis,25/01/2024 00:00,,Destroyed,Tanks entered the campus causing destruction,January 25 – Middle East Eye publishes footage showing severe damage to the Khan Yunis campus of Al-Aqsa University. Eyewitnesses report that Israeli tanks had stormed the campus and encouraged looting.,,https://voices.uchicago.edu/scholasticide/timeline/,,,,https://x.com/Levantinette/status/1744774743373275289,,,,,,,,Garth,,View Incident,,,,,,,,,,
