incident_id,_anchor,facility_id,attack_type_ar,result_ar,description_ar,full_discription_ar
INC-000,Al-Aqsa University,FAC-004,قصف,تضررت الجامعة جراء تفجير,"ذكرت مقالة من صحيفة ""ذا ناشيونال"" أن جامعة الأقصى تضررت في تفجير في 4 نوفمبر، ولكن لا يبدو أن هناك تقارير أخرى تذكر هذا الحدث بشكل مباشر، كما أن المقالة لا تحدد ما إذا كان ذلك قد حدث في حرم خان يونس أو حرم مدينة غزة التابع للجامعة.",
INC-001,Al-Aqsa University,FAC-004,قذيفة دبابة,تدمير مبنيين جامعيين,توغلت قوات الجيش الإسرائيلي غرب مدينة غزة وقصفت ودمرت مبنيين في حرم الجامعة. وأطلقت القوات الإسرائيلية النار على الفلسطينيين النازحين الذين كانوا يحتمون داخل الحرم الجامعي.,
INC-002,Al-Aqsa University,FAC-004,قصف مدفعي,دُمّر مبنيان في الحرم الجامعي جراء القصف، وتعرض النازحون الذين كانوا يحتمون في الحرم الجامعي لإطلاق النار.,"قال شاهد عيان لوكالة الأناضول: ""توغلت قوات الجيش الإسرائيلي غرب مدينة غزة وقصفت ودمرت مبنيين في حرم الجامعة"".

وأفاد مراسل الأناضول بأن القوات الإسرائيلية أطلقت النار على فلسطينيين نازحين كانوا يحتمون داخل الحرم الجامعي.",
INC-003,Al-Aqsa University,FAC-004,الحرق,حرق كتب المكتبة,منشور على إنستغرام يُظهر جندياً من جيش الدفاع الإسرائيلي أمام رف كتب وهو يحرق الكتب في مكتبة.,أشعل جنود إسرائيليون النار في مكتبة جامعة الأقصى بمدينة غزة والتقطوا صوراً لأنفسهم أمام النيران
INC-004,Al-Aqsa University,FAC-004,قصف,جامعة الأقصى المدمرة,قصفت القوات الإسرائيلية جامعة الأقصى، التي كانت آنذاك ملجأً للنازحين.,تُظهر لقطات مصورة الدمار الذي لحق بجامعة الأقصى في مدينة خان يونس بقطاع غزة بعد قصفها في هجوم مُستهدف شنّه الجيش الإسرائيلي.
INC-005,Al-Aqsa University,FAC-004,غارة جوية,مقتل 20 شخصاً أثناء لجوئهم إلى جامعة الأقصى.,وقال شهود عيان إن الغارة أسفرت عن مقتل 20 شخصاً كانوا يحتمون في جامعة الأقصى.,
INC-006,Al-Aqsa University,FAC-004,غارة جوية,تعرض حرم جامعة الأقصى للهجوم، مما أسفر عن مقتل 20 شخصاً.,وقال شهود عيان إن غارة أخرى أسفرت عن مقتل 20 شخصاً كانوا يحتمون في جامعة الأقصى غرب مدينة غزة.,
INC-007,Al-Aqsa University - Khan Younis,FAC-012,غارة جوية (في الجوار),استهدفت الطائرات الحربية المنطقة المحيطة بجامعة الأقصى في خان يونس. في ذلك الوقت، كان مبنى الجامعة قد تحول إلى مركز إيواء، حيث عانى الناس من ظروف صعبة، مع فيضان مياه الصرف الصحي ومحدودية الوصول إلى مياه الشرب النظيفة.,,استهدفت الطائرات الحربية المنطقة المحيطة بجامعة الأقصى في خان يونس. في ذلك الوقت، كان مبنى الجامعة قد تحول إلى مركز إيواء، حيث عانى الناس من ظروف صعبة، مع فيضان مياه الصرف الصحي ومحدودية الوصول إلى مياه الشرب النظيفة.
INC-008,Al-Aqsa University - Khan Younis,FAC-012,إخلاء قسري,خلال غزوها البري لخان يونس، حاصرت قوات الاحتلال الإسرائيلي جامعة الأقصى وقصفتها، وأجبرت العائلات الفلسطينية النازحة على مغادرة الموقع بعد أن لجأت إليه.,,قامت قوات الاحتلال بهدم السياج الخارجي للجامعة، ثم منحت اللصوص وقتاً كافياً لسرقة جميع محتوياتها.
INC-009,Al-Aqsa University - Khan Younis,FAC-012,مدمر,دخلت الدبابات الحرم الجامعي وتسببت في دمار واسع النطاق.,25 يناير - نشر موقع ميدل إيست آي لقطات تُظهر أضرارًا جسيمة لحقت بحرم خان يونس التابع لجامعة الأقصى. وأفاد شهود عيان بأن دبابات إسرائيلية اقتحمت الحرم الجامعي وشجعت على النهب.,
INC-010,Al-Azhar University – Gaza,FAC-003,غارة جوية,حرم الجامعة مدمر بشكل شبه كامل,هجوم على المباني الجديدة لجامعة الأزهر في المغارة جنوب قطاع غزة,استهدفت طائرات حربية حرم جامعة الأزهر في المغرقة، شرق مدينة غزة، وكادت أن تدمر الحرم الجامعي بالكامل. يتألف الحرم من مبنيين رئيسيين: الأول يضم كليات الآداب والعلوم الإنسانية والشريعة والتربية، والثاني يضم مبنى الملك الحسن الثاني الذي يضم كليات الزراعة والطب البيطري والحقوق. كما يضم الحرم مختبرات ومحطة الإذاعة والتلفزيون التابعة للجامعة. وقد دُمرت مزرعة كلية الزراعة في بيت حانون، ولحقت أضرار جزئية بمبنى كلية حيدر عبد الشافي الطبية في تل الهوى.
INC-011,Al-Azhar University – Gaza,FAC-003,قصف,تعرض الحرم الجامعي للقصف مما أدى إلى تدمير معظمه,"في 4 نوفمبر/تشرين الثاني 2023، استهدفت طائرات الاحتلال الإسرائيلي حرم جامعة الأزهر في المغرب العربي، شرق مدينة غزة، وكادت أن تدمر الحرم الجامعي بالكامل... دُمرت مزرعة كلية الزراعة في بيت حانون، وتضرر مبنى كلية حيدر عبد الشافي الطبية في تل الهوى جزئيًا... كما لحقت أضرار جسيمة بكليات الحرم الغربي... (دراسات فلسطين، الأزهر). وجاء في ورقة سياسات نشرها معهد الدراسات الفلسطينية: ""في 26 أكتوبر/تشرين الأول، ثم في 4 نوفمبر/تشرين الثاني، قصفت طائرات عسكرية إسرائيلية مباني جامعة الأزهر. ووقعت هذه الغارات بينما كان عدد كبير من المدنيين قد لجأوا إلى الجامعة. وأُفيد بمقتل 12 شخصًا على الأقل وإصابة أكثر من 50 آخرين، بينما كانت فرق الإنقاذ تبحث عن ناجين تحت الأنقاض"". المصدر المذكور لهذه المعلومات هو موقع ""توب وور"" (المعروف أيضًا باسم ""ميليتاري ريفيو"")، وهو موقع لا يُعتبر موثوقًا به تمامًا، ولم تُبلغ أي وكالات أنباء أخرى عن وقوع إصابات في الأزهر في 26 أكتوبر/تشرين الأول أو 4 نوفمبر/تشرين الثاني.",
