incident_id,_anchor,facility_id,attack_type_de,result_de,description_de,full_discription_de
INC-000,Al-Aqsa University,FAC-004,Bombardierung,Universität durch Bombenanschlag beschädigt,"In einem Artikel der Zeitung „The National“ heißt es, dass die Al-Aqsa-Universität am 4. November bei einem Bombenanschlag beschädigt wurde. Es gibt jedoch keine weiteren Berichte, die dieses Ereignis direkt erwähnen, und der Artikel gibt auch nicht an, ob es sich um den Campus Khan Younis oder Gaza City der Universität handelte.",
INC-001,Al-Aqsa University,FAC-004,Panzerhülle,Zwei Universitätsgebäude zerstört,"Israelische Streitkräfte rückten in den Westen von Gaza-Stadt vor und beschossen und zerstörten zwei Gebäude auf dem Universitätsgelände. Sie eröffneten das Feuer auf vertriebene Palästinenser, die auf dem Campus Schutz gesucht hatten.",
INC-002,Al-Aqsa University,FAC-004,Artilleriebeschuss,"Zwei Gebäude auf dem Campus wurden durch Beschuss zerstört, und auf dem Campus Schutz suchende Vertriebene wurden beschossen.","„Israelische Armeeeinheiten rückten in den Westen von Gaza-Stadt vor und beschossen und zerstörten zwei Gebäude auf dem Universitätsgelände“, berichtete ein Augenzeuge der Nachrichtenagentur Anadolu.

Laut einem Reporter von Anadolu eröffneten israelische Streitkräfte das Feuer auf vertriebene Palästinenser, die auf dem Campus Schutz gesucht hatten.",
INC-003,Al-Aqsa University,FAC-004,Verbrennung,Bibliotheksbücher verbrannt,"Ein Instagram-Post zeigt einen IDF-Soldaten, der vor einem Bücherregal in einer Bibliothek Bücher verbrennt.",Israelische Soldaten zündeten die Bibliothek der Al-Aqsa-Universität in Gaza-Stadt an und fotografierten sich vor den Flammen.
INC-004,Al-Aqsa University,FAC-004,Bombardierung,Die Al-Aqsa-Universität wurde zerstört,"Israelische Streitkräfte beschossen die Al-Aqsa-Universität, die zu diesem Zeitpunkt als Zufluchtsort für Binnenvertriebene diente.",Aufnahmen zeigen die Zerstörung der Al-Aqsa-Universität in Chan Younis im Gazastreifen nach einem gezielten Bombenangriff der israelischen Armee.
INC-005,Al-Aqsa University,FAC-004,Luftangriff,"20 Menschen wurden getötet, als sie in der Al-Aqsa-Universität Schutz suchten.","Zeugen berichteten, dass bei dem Angriff 20 Menschen getötet wurden, die in der Al-Aqsa-Universität Schutz gesucht hatten.",
INC-006,Al-Aqsa University,FAC-004,Luftangriff,"Der Campus der Al-Aqsa-Universität wurde getroffen, 20 Menschen starben.","Bei einem weiteren Angriff kamen 20 Menschen ums Leben, die in der Al-Aqsa-Universität im Westen von Gaza-Stadt Schutz gesucht hatten, wie Augenzeugen berichteten.",
INC-007,Al-Aqsa University - Khan Younis,FAC-012,Luftangriff (Umgebung),"Kampfflugzeuge griffen das Gebiet um die Al-Aqsa-Universität in Khan Younis an. Das Universitätsgebäude diente zu dieser Zeit als Notunterkunft, in der die Menschen unter schwierigen Bedingungen litten, mit überlaufenden Abwasserkanälen und nur eingeschränktem Zugang zu sauberem Trinkwasser.",,"Kampfflugzeuge griffen das Gebiet um die Al-Aqsa-Universität in Khan Younis an. Das Universitätsgebäude diente zu dieser Zeit als Notunterkunft, in der die Menschen unter schwierigen Bedingungen litten, mit überlaufenden Abwasserkanälen und nur eingeschränktem Zugang zu sauberem Trinkwasser."
INC-008,Al-Aqsa University - Khan Younis,FAC-012,Zwangsevakuierung,"Während der Bodeninvasion von Khan Younis belagerte und bombardierte die israelische Besatzungsmacht die Al-Aqsa-Universität und zwang vertriebene palästinensische Familien, das Gelände zu verlassen, nachdem sie dort Schutz gesucht hatten.",,"Die Besatzungstruppen rissen den äußeren Zaun der Universität nieder und gaben Dieben so genügend Zeit, den gesamten Inhalt zu stehlen."
INC-009,Al-Aqsa University - Khan Younis,FAC-012,Zerstört,Panzer fuhren auf den Campus und richteten Zerstörung an.,"25. Januar – Middle East Eye veröffentlicht Aufnahmen, die schwere Schäden am Khan-Yunis-Campus der Al-Aqsa-Universität zeigen. Augenzeugen berichten, dass israelische Panzer den Campus gestürmt und Plünderungen angestiftet hätten.",
INC-010,Al-Azhar University – Gaza,FAC-003,Luftangriff,Universitätsgelände praktisch zerstört,Angriff auf die neuen Gebäude der Al-Azhar-Universität in al-Mughraqa im südlichen Gazastreifen,"Kampfflugzeuge griffen den Campus der Al-Azhar-Universität in al-Maghraqa, östlich von Gaza-Stadt, an und zerstörten ihn beinahe vollständig. Der Campus besteht aus zwei Hauptgebäuden: Im ersten sind die Fakultäten für Geisteswissenschaften, Scharia und Pädagogik untergebracht, im zweiten das König-Hassan-II.-Gebäude mit den Fakultäten für Landwirtschaft, Veterinärmedizin und Rechtswissenschaften. Außerdem befinden sich auf dem Campus Labore sowie der Radio- und Fernsehsender der Universität. Der Versuchsbetrieb der Fakultät für Landwirtschaft in Beit Hanoun wurde zerstört, und das Gebäude der Haider-Abdel-Shafi-Medizinschule in Tal al-Hawa wurde teilweise beschädigt."
