id,village_name,period,date,district,population,current_status,displacement_method,coordinates_lat,coordinates_lng,additional_notes
1,Abil AL Qamh,1948-1949,1948-05-10,Safad,450,destroyed,fear_of_attack,33.0833,35.5667,Fear and capitulation
2,Zuq Al Fauqani,1948-1949,1948-05-21,Safad,1000,destroyed,military_assault,33.1667,35.5333,Whispering campaign and military assault
3,Sanbariya,1948-1949,1948-05-01,Safad,350,destroyed,unknown,33.0500,35.5500,Date uncertain
4,Shauqa Al Tahta,1948-1949,1948-05-14,Safad,200,destroyed,fear_of_attack,33.0667,35.5833,Fear of attack
5,Khisas,1948-1949,1948-05-25,Safad,530,destroyed,forced_expulsion,33.2333,35.6167,Multiple methods over time
6,Hunin,1948-1949,1948-05-03,Safad,1700,destroyed,forced_expulsion,33.2333,35.6000,Fear and expulsion
7,Mansura,1948-1949,1948-05-25,Acre,850,destroyed,whispering_campaign,33.0833,35.4667,Whispering campaign
8,Lazzaza,1948-1949,1948-05-21,Safad,230,destroyed,whispering_campaign,33.1000,35.5500,Whispering campaign
9,Zuq Al Tahtanii,1948-1949,1948-05-11,Safad,1050,destroyed,fear_of_attack,33.1500,35.5500,Capitulation
10,Khalisa,1948-1949,1948-05-11,Safad,1840,destroyed,whispering_campaign,33.2167,35.5833,Capitulation and whispering
11,Madahil,1948-1949,1948-04-30,Safad,280,destroyed,fear_of_attack,33.0333,35.5667,Fear of attack
12,Qeitiya,1948-1949,1948-05-19,Safad,940,destroyed,forced_expulsion,33.1833,35.5667,Whispering and expulsion
13,Abisiyya,1948-1949,1948-05-25,Safad,830,destroyed,fear_of_attack,33.0833,35.5333,Capitulation
14,Dawwara,1948-1949,1948-05-25,Safad,700,destroyed,whispering_campaign,33.1333,35.5667,Whispering campaign
15,Salihiya,1948-1949,1948-05-25,Safad,1420,destroyed,fear_of_attack,33.0667,35.6000,Fear and whispering
16,Muftakhira,1948-1949,1948-05-16,Safad,360,destroyed,fear_of_attack,33.0500,35.5833,Fear of attack
17,Zawiya,1948-1949,1948-05-24,Safad,760,destroyed,military_assault,33.1167,35.5833,Military assault and expulsion
18,Buweiziya,1948-1949,1948-05-11,Safad,510,destroyed,fear_of_attack,33.1667,35.5667,Capitulation
19,Na'ima,1948-1949,1948-05-14,Safad,1420,destroyed,fear_of_attack,33.1000,35.5333,Capitulation
20,Hamra,1948-1949,1948-05-01,Tiberias,730,destroyed,military_assault,32.8333,35.5333,Fear and military assault
21,Ghuraba,1948-1949,1948-05-28,Safad,250,destroyed,fear_of_attack,33.0667,35.5500,Fear of attack
22,Khirbet Khiyam Al Walid,1948-1949,1948-05-01,Safad,280,destroyed,fear_of_attack,32.9667,35.5333,Influenced by neighbors
23,Jahula,1948-1949,1948-05-15,Safad,1030,destroyed,unknown,33.0333,35.6333,Date uncertain
24,Qadas,1948-1949,1948-05-28,Safad,240,destroyed,fear_of_attack,33.1167,35.6167,Capitulation
25,Malikiya,1948-1949,1948-05-28,Safad,360,destroyed,military_assault,33.2833,35.6333,Military assault and expulsion
